...1,replicate_name,precursor_ion_name,retention_time,area,background,height,mass_error_ppm,flags,QC_area
609,220302_Std_H2OinMatrix_1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
610,220302_Std_H2OinMatrix_2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
611,220302_Poo_TruePooBacteria_Full1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
612,220302_Poo_TruePooBacteria_Full2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
613,220302_Poo_TruePooBacteria_Full3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
614,220302_Poo_TruePooBacteria_Half1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
615,220302_Poo_TruePooBacteria_Half2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
616,220302_Poo_TruePooBacteria_Half3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
617,220302_Smp_MQBlk1_A,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
618,220302_Smp_MQBlk1_B,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
619,220302_Smp_MQBlk1_C,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
620,220302_Smp_MQBlk2_A,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
621,220302_Smp_MQBlk2_B,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
622,220302_Smp_MQBlk2_C,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
623,220302_Smp_MQBlk3_A,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
624,220302_Smp_MQBlk3_B,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
625,220302_Smp_MQBlk3_C,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
626,220302_Smp_SupernatBlk_1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
627,220302_Smp_SupernatBlk_2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
628,220302_Smp_SupernatBlk_3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
629,220302_Smp_SWBlk_1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
630,220302_Smp_SWBlk_2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
631,220302_Smp_SWBlk_3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
632,220302_Smp_OBi1_1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
633,220302_Smp_OBi1_2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
634,220302_Smp_OBi1_3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
635,220302_Smp_OBi1_4,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
636,220302_Smp_OBi1_5,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
637,220302_Smp_OBi1_6,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
638,220302_Smp_OBi1_7,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
639,220302_Smp_OBi1_8,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
640,220302_Smp_OBi1_9,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
641,220302_Smp_OBi1small_1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
642,220302_Smp_OBi1small_2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
643,220302_Smp_OBi1small_3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
644,220302_Smp_OBi1small_4,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
645,220302_Smp_RWi2_1,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
646,220302_Smp_RWi2_2,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
647,220302_Smp_RWi2_3,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
648,220302_Smp_RWi2_4,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
649,220302_Smp_RWi2_5,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
650,220302_Smp_RWi2_6,"3',5'-Cyclic GMP",NA,NA,NA,NA,NA,NA,NA
651,220302_Std_4uMStdsMix1InH2O_1,Citric acid,15.01,167104832,1208100,12407179,-0.6,NA,167104832
652,220302_Std_4uMStdsMix1InH2O_2,Citric acid,14.87,598548480,5957822,39747180,0.7,NA,598548480
653,220302_Std_4uMStdsMix1InMatrix_1,Citric acid,15.03,158105584,315865,11501846,-0.2,NA,158105584
654,220302_Std_4uMStdsMix1InMatrix_2,Citric acid,14.91,523572928,10606733,38933176,0.8,NA,523572928
655,220302_Std_4uMStdsMix2InH2O_1,Citric acid,14.28,135866608,0,9810446,-0.4,NA,135866608
656,220302_Std_4uMStdsMix2InH2O_2,Citric acid,14.43,491027776,4628479,29324464,0.6,NA,491027776
657,220302_Std_4uMStdsMix2InMatrix_1,Citric acid,14.32,145254288,0,20648282,-0.1,NA,145254288
658,220302_Std_4uMStdsMix2InMatrix_2,Citric acid,14.49,394155584,13405971,24137580,1,NA,394155584
659,220302_Std_H2OinMatrix_1,Citric acid,NA,NA,NA,NA,NA,NA,NA
660,220302_Std_H2OinMatrix_2,Citric acid,15.08,111880,0,103820,4.7,blank_flag,NA
661,220302_Poo_TruePooBacteria_Full1,Citric acid,NA,NA,NA,NA,NA,NA,NA
662,220302_Poo_TruePooBacteria_Full2,Citric acid,NA,NA,NA,NA,NA,NA,NA
663,220302_Poo_TruePooBacteria_Full3,Citric acid,15.21,106766,0,75305,2.2,blank_flag,NA
664,220302_Poo_TruePooBacteria_Half1,Citric acid,NA,NA,NA,NA,NA,NA,NA
665,220302_Poo_TruePooBacteria_Half2,Citric acid,NA,NA,NA,NA,NA,NA,NA
666,220302_Poo_TruePooBacteria_Half3,Citric acid,NA,NA,NA,NA,NA,NA,NA
667,220302_Smp_MQBlk1_A,Citric acid,15.97,140716,0,104181,1.8,blank_flag,NA
668,220302_Smp_MQBlk1_B,Citric acid,15.49,108595,0,70602,1,blank_flag,NA
669,220302_Smp_MQBlk1_C,Citric acid,15.34,NA,0,0,NA,NA,NA
670,220302_Smp_MQBlk2_A,Citric acid,15.33,NA,0,0,NA,NA,NA
671,220302_Smp_MQBlk2_B,Citric acid,14.83,NA,0,0,NA,NA,NA
672,220302_Smp_MQBlk2_C,Citric acid,15.57,NA,0,0,NA,NA,NA
673,220302_Smp_MQBlk3_A,Citric acid,15.75,191412,0,196649,1,blank_flag,NA
674,220302_Smp_MQBlk3_B,Citric acid,15.11,147195,0,142328,0.8,blank_flag,NA
675,220302_Smp_MQBlk3_C,Citric acid,15.47,119026,0,77639,0.1,blank_flag,NA
676,220302_Smp_SupernatBlk_1,Citric acid,NA,NA,NA,NA,NA,NA,NA
677,220302_Smp_SupernatBlk_2,Citric acid,NA,NA,NA,NA,NA,NA,NA
678,220302_Smp_SupernatBlk_3,Citric acid,14.84,111235,0,72037,-0.5,blank_flag,NA
679,220302_Smp_SWBlk_1,Citric acid,NA,NA,NA,NA,NA,NA,NA
680,220302_Smp_SWBlk_2,Citric acid,NA,NA,NA,NA,NA,NA,NA
681,220302_Smp_SWBlk_3,Citric acid,NA,NA,NA,NA,NA,NA,NA
682,220302_Smp_OBi1_1,Citric acid,15.61,81724,0,50377,-1.3,blank_flag,NA
683,220302_Smp_OBi1_2,Citric acid,NA,NA,NA,NA,NA,NA,NA
684,220302_Smp_OBi1_3,Citric acid,15.52,123512,0,88415,0.7,blank_flag,NA
685,220302_Smp_OBi1_4,Citric acid,15.66,122739,0,103300,-0.6,blank_flag,NA
686,220302_Smp_OBi1_5,Citric acid,NA,NA,NA,NA,NA,NA,NA
687,220302_Smp_OBi1_6,Citric acid,NA,NA,NA,NA,NA,NA,NA
688,220302_Smp_OBi1_7,Citric acid,NA,NA,NA,NA,NA,NA,NA
689,220302_Smp_OBi1_8,Citric acid,NA,NA,NA,NA,NA,NA,NA
690,220302_Smp_OBi1_9,Citric acid,15.6,129013,0,77501,1.4,blank_flag,NA
691,220302_Smp_OBi1small_1,Citric acid,NA,NA,NA,NA,NA,NA,NA
692,220302_Smp_OBi1small_2,Citric acid,NA,NA,NA,NA,NA,NA,NA
693,220302_Smp_OBi1small_3,Citric acid,NA,NA,NA,NA,NA,NA,NA
694,220302_Smp_OBi1small_4,Citric acid,15.69,110257,0,81732,0.5,blank_flag,NA
695,220302_Smp_RWi2_1,Citric acid,NA,NA,NA,NA,NA,NA,NA
696,220302_Smp_RWi2_2,Citric acid,NA,NA,NA,NA,NA,NA,NA
697,220302_Smp_RWi2_3,Citric acid,NA,NA,NA,NA,NA,NA,NA
698,220302_Smp_RWi2_4,Citric acid,16.11,120632,0,76300,0,blank_flag,NA
699,220302_Smp_RWi2_5,Citric acid,NA,NA,NA,NA,NA,NA,NA
700,220302_Smp_RWi2_6,Citric acid,NA,NA,NA,NA,NA,NA,NA
701,220302_Std_4uMStdsMix1InH2O_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
702,220302_Std_4uMStdsMix1InH2O_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
703,220302_Std_4uMStdsMix1InMatrix_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
704,220302_Std_4uMStdsMix1InMatrix_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
705,220302_Std_4uMStdsMix2InH2O_1,"3',5'-Cyclic diGMP",14.15,58880040,0,4335383,1.2,NA,58880040
706,220302_Std_4uMStdsMix2InH2O_2,"3',5'-Cyclic diGMP",13.85,122698280,0,8598507,2.2,NA,122698280
707,220302_Std_4uMStdsMix2InMatrix_1,"3',5'-Cyclic diGMP",14.17,55527868,0,4332120,1.3,NA,55527868
708,220302_Std_4uMStdsMix2InMatrix_2,"3',5'-Cyclic diGMP",13.85,107615144,0,7909132,2.6,NA,107615144
709,220302_Std_H2OinMatrix_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
710,220302_Std_H2OinMatrix_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
711,220302_Poo_TruePooBacteria_Full1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
712,220302_Poo_TruePooBacteria_Full2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
713,220302_Poo_TruePooBacteria_Full3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
714,220302_Poo_TruePooBacteria_Half1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
715,220302_Poo_TruePooBacteria_Half2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
716,220302_Poo_TruePooBacteria_Half3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
717,220302_Smp_MQBlk1_A,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
718,220302_Smp_MQBlk1_B,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
719,220302_Smp_MQBlk1_C,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
720,220302_Smp_MQBlk2_A,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
721,220302_Smp_MQBlk2_B,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
722,220302_Smp_MQBlk2_C,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
723,220302_Smp_MQBlk3_A,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
724,220302_Smp_MQBlk3_B,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
725,220302_Smp_MQBlk3_C,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
726,220302_Smp_SupernatBlk_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
727,220302_Smp_SupernatBlk_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
728,220302_Smp_SupernatBlk_3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
729,220302_Smp_SWBlk_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
730,220302_Smp_SWBlk_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
731,220302_Smp_SWBlk_3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
732,220302_Smp_OBi1_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
733,220302_Smp_OBi1_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
734,220302_Smp_OBi1_3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
735,220302_Smp_OBi1_4,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
736,220302_Smp_OBi1_5,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
737,220302_Smp_OBi1_6,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
738,220302_Smp_OBi1_7,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
739,220302_Smp_OBi1_8,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
740,220302_Smp_OBi1_9,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
741,220302_Smp_OBi1small_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
742,220302_Smp_OBi1small_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
743,220302_Smp_OBi1small_3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
744,220302_Smp_OBi1small_4,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
745,220302_Smp_RWi2_1,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
746,220302_Smp_RWi2_2,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
747,220302_Smp_RWi2_3,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
748,220302_Smp_RWi2_4,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
749,220302_Smp_RWi2_5,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
750,220302_Smp_RWi2_6,"3',5'-Cyclic diGMP",NA,NA,NA,NA,NA,NA,NA
751,220302_Std_4uMStdsMix1InH2O_1,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
752,220302_Std_4uMStdsMix1InH2O_2,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
753,220302_Std_4uMStdsMix1InMatrix_1,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
754,220302_Std_4uMStdsMix1InMatrix_2,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
755,220302_Std_4uMStdsMix2InH2O_1,L-Cysteic acid,12.26,175037136,1045400,12928251,-0.8,NA,175037136
756,220302_Std_4uMStdsMix2InH2O_2,L-Cysteic acid,11.65,652864704,0,28849012,-0.5,NA,652864704
757,220302_Std_4uMStdsMix2InMatrix_1,L-Cysteic acid,12.24,181062240,0,14797606,-0.6,NA,181062240
758,220302_Std_4uMStdsMix2InMatrix_2,L-Cysteic acid,11.65,607860032,0,38976920,-0.2,NA,607860032
759,220302_Std_H2OinMatrix_1,L-Cysteic acid,12.32,99792,0,97590,-2.9,blank_flag,NA
760,220302_Std_H2OinMatrix_2,L-Cysteic acid,11.67,385283,0,182795,-0.1,blank_flag,NA
761,220302_Poo_TruePooBacteria_Full1,L-Cysteic acid,12.15,159785,0,131519,-0.1,blank_flag,NA
762,220302_Poo_TruePooBacteria_Full2,L-Cysteic acid,12.06,719775,0,156990,-0.6,blank_flag,NA
763,220302_Poo_TruePooBacteria_Full3,L-Cysteic acid,11.84,1330117,0,207458,-0.7,NA,1330117
764,220302_Poo_TruePooBacteria_Half1,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
765,220302_Poo_TruePooBacteria_Half2,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
766,220302_Poo_TruePooBacteria_Half3,L-Cysteic acid,11.87,193257,0,149031,0.4,blank_flag,NA
767,220302_Smp_MQBlk1_A,L-Cysteic acid,11.24,127154,0,122291,-2.1,blank_flag,NA
768,220302_Smp_MQBlk1_B,L-Cysteic acid,12.23,459356,0,169252,-1.7,blank_flag,NA
769,220302_Smp_MQBlk1_C,L-Cysteic acid,12.04,NA,0,0,NA,NA,NA
770,220302_Smp_MQBlk2_A,L-Cysteic acid,12.26,NA,0,0,NA,NA,NA
771,220302_Smp_MQBlk2_B,L-Cysteic acid,11.85,NA,0,0,NA,NA,NA
772,220302_Smp_MQBlk2_C,L-Cysteic acid,12.01,172823,0,162062,-0.2,blank_flag,NA
773,220302_Smp_MQBlk3_A,L-Cysteic acid,11.98,258456,0,93800,-0.4,blank_flag,NA
774,220302_Smp_MQBlk3_B,L-Cysteic acid,11.92,739985,0,166318,-0.5,blank_flag,NA
775,220302_Smp_MQBlk3_C,L-Cysteic acid,11.87,416748,0,179150,-0.1,blank_flag,NA
776,220302_Smp_SupernatBlk_1,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
777,220302_Smp_SupernatBlk_2,L-Cysteic acid,11.92,143652,0,88352,0.7,blank_flag,NA
778,220302_Smp_SupernatBlk_3,L-Cysteic acid,11.93,321801,0,185820,0.3,blank_flag,NA
779,220302_Smp_SWBlk_1,L-Cysteic acid,12.23,100984,0,79922,-0.2,blank_flag,NA
780,220302_Smp_SWBlk_2,L-Cysteic acid,12.18,115939,0,69215,1.2,blank_flag,NA
781,220302_Smp_SWBlk_3,L-Cysteic acid,12.19,147950,0,139048,0.8,blank_flag,NA
782,220302_Smp_OBi1_1,L-Cysteic acid,12.07,1725346,0,243414,0.5,NA,1725346
783,220302_Smp_OBi1_2,L-Cysteic acid,11.85,501145,0,211968,-0.2,blank_flag,NA
784,220302_Smp_OBi1_3,L-Cysteic acid,11.86,2632630,0,288065,-0.2,NA,2632630
785,220302_Smp_OBi1_4,L-Cysteic acid,12.06,181681,0,118303,-0.1,blank_flag,NA
786,220302_Smp_OBi1_5,L-Cysteic acid,12.27,1381530,0,258249,0.1,NA,1381530
787,220302_Smp_OBi1_6,L-Cysteic acid,12.07,324736,0,132673,0.1,blank_flag,NA
788,220302_Smp_OBi1_7,L-Cysteic acid,11.92,244662,0,227495,0,blank_flag,NA
789,220302_Smp_OBi1_8,L-Cysteic acid,11.99,224880,0,156587,-1.3,blank_flag,NA
790,220302_Smp_OBi1_9,L-Cysteic acid,11.98,757490,0,174932,-0.4,blank_flag,NA
791,220302_Smp_OBi1small_1,L-Cysteic acid,12.29,1306123,0,222997,1,NA,1306123
792,220302_Smp_OBi1small_2,L-Cysteic acid,11.98,404233,0,239608,-0.1,blank_flag,NA
793,220302_Smp_OBi1small_3,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
794,220302_Smp_OBi1small_4,L-Cysteic acid,12.06,1083100,0,180465,0.3,blank_flag,NA
795,220302_Smp_RWi2_1,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
796,220302_Smp_RWi2_2,L-Cysteic acid,11.88,554345,0,253243,0.2,blank_flag,NA
797,220302_Smp_RWi2_3,L-Cysteic acid,NA,NA,NA,NA,NA,NA,NA
798,220302_Smp_RWi2_4,L-Cysteic acid,12.01,761132,0,180446,0.1,blank_flag,NA
799,220302_Smp_RWi2_5,L-Cysteic acid,12.15,109073,0,65040,-0.3,blank_flag,NA
800,220302_Smp_RWi2_6,L-Cysteic acid,12.16,144795,0,104398,-0.4,blank_flag,NA
801,220302_Std_4uMStdsMix1InH2O_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
802,220302_Std_4uMStdsMix1InH2O_2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
803,220302_Std_4uMStdsMix1InMatrix_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
804,220302_Std_4uMStdsMix1InMatrix_2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
805,220302_Std_4uMStdsMix2InH2O_1,L-Cysteinesulfinic acid,11.41,90788904,0,6911454,-1.5,NA,90788904
806,220302_Std_4uMStdsMix2InH2O_2,L-Cysteinesulfinic acid,10.71,290664832,0,16075220,-1.2,NA,290664832
807,220302_Std_4uMStdsMix2InMatrix_1,L-Cysteinesulfinic acid,11.44,103427088,1117324,9456920,-1.2,NA,103427088
808,220302_Std_4uMStdsMix2InMatrix_2,L-Cysteinesulfinic acid,10.75,276970432,894231,19743190,-1,NA,276970432
809,220302_Std_H2OinMatrix_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
810,220302_Std_H2OinMatrix_2,L-Cysteinesulfinic acid,9.76,131312,0,93588,0.9,blank_flag,NA
811,220302_Poo_TruePooBacteria_Full1,L-Cysteinesulfinic acid,11.09,116010,0,102701,-2,blank_flag,NA
812,220302_Poo_TruePooBacteria_Full2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
813,220302_Poo_TruePooBacteria_Full3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
814,220302_Poo_TruePooBacteria_Half1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
815,220302_Poo_TruePooBacteria_Half2,L-Cysteinesulfinic acid,10.96,104485,0,91200,-2.6,blank_flag,NA
816,220302_Poo_TruePooBacteria_Half3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
817,220302_Smp_MQBlk1_A,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
818,220302_Smp_MQBlk1_B,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
819,220302_Smp_MQBlk1_C,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
820,220302_Smp_MQBlk2_A,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
821,220302_Smp_MQBlk2_B,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
822,220302_Smp_MQBlk2_C,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
823,220302_Smp_MQBlk3_A,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
824,220302_Smp_MQBlk3_B,L-Cysteinesulfinic acid,10.87,122855,0,97074,-0.7,blank_flag,NA
825,220302_Smp_MQBlk3_C,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
826,220302_Smp_SupernatBlk_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
827,220302_Smp_SupernatBlk_2,L-Cysteinesulfinic acid,11.33,133152,0,143199,0.7,blank_flag,NA
828,220302_Smp_SupernatBlk_3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
829,220302_Smp_SWBlk_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
830,220302_Smp_SWBlk_2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
831,220302_Smp_SWBlk_3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
832,220302_Smp_OBi1_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
833,220302_Smp_OBi1_2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
834,220302_Smp_OBi1_3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
835,220302_Smp_OBi1_4,L-Cysteinesulfinic acid,10.85,159488,0,143623,0.3,blank_flag,NA
836,220302_Smp_OBi1_5,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
837,220302_Smp_OBi1_6,L-Cysteinesulfinic acid,10.73,139018,0,144319,0.1,blank_flag,NA
838,220302_Smp_OBi1_7,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
839,220302_Smp_OBi1_8,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
840,220302_Smp_OBi1_9,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
841,220302_Smp_OBi1small_1,L-Cysteinesulfinic acid,9.92,95942,0,62269,-1.6,blank_flag,NA
842,220302_Smp_OBi1small_2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
843,220302_Smp_OBi1small_3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
844,220302_Smp_OBi1small_4,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
845,220302_Smp_RWi2_1,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
846,220302_Smp_RWi2_2,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
847,220302_Smp_RWi2_3,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
848,220302_Smp_RWi2_4,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
849,220302_Smp_RWi2_5,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
850,220302_Smp_RWi2_6,L-Cysteinesulfinic acid,NA,NA,NA,NA,NA,NA,NA
851,220302_Std_4uMStdsMix1InH2O_1,Dihydroxyacetone phosphate,12.96,10513631,0,646099,-1.4,NA,10513631
852,220302_Std_4uMStdsMix1InH2O_2,Dihydroxyacetone phosphate,12.54,23358424,0,1086185,-0.1,NA,23358424
853,220302_Std_4uMStdsMix1InMatrix_1,Dihydroxyacetone phosphate,12.97,11148885,0,677445,-1.1,NA,11148885
854,220302_Std_4uMStdsMix1InMatrix_2,Dihydroxyacetone phosphate,12.87,3029254,0,309118,-0.2,NA,3029254
855,220302_Std_4uMStdsMix2InH2O_1,Dihydroxyacetone phosphate,12.38,32086622,0,2623196,-1.3,NA,32086622
856,220302_Std_4uMStdsMix2InH2O_2,Dihydroxyacetone phosphate,11.9,79950336,0,4485143,-0.1,NA,79950336
857,220302_Std_4uMStdsMix2InMatrix_1,Dihydroxyacetone phosphate,12.4,28712016,0,2491293,-0.8,NA,28712016
858,220302_Std_4uMStdsMix2InMatrix_2,Dihydroxyacetone phosphate,11.93,75546784,0,5333521,0.1,NA,75546784
859,220302_Std_H2OinMatrix_1,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
860,220302_Std_H2OinMatrix_2,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
861,220302_Poo_TruePooBacteria_Full1,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
862,220302_Poo_TruePooBacteria_Full2,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
863,220302_Poo_TruePooBacteria_Full3,Dihydroxyacetone phosphate,12.27,85990,0,59689,-1.7,blank_flag,NA
864,220302_Poo_TruePooBacteria_Half1,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
865,220302_Poo_TruePooBacteria_Half2,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
866,220302_Poo_TruePooBacteria_Half3,Dihydroxyacetone phosphate,NA,NA,NA,NA,NA,NA,NA
