replicate_name,sample_set,treatment,sample_fraction,(3-Carboxypropyl)trimethylammonium,2-Hydroxy-4-(methylthio)butyric acid,2-Ketoglutaric acid,3-Phosphoglycerate,5-Hydroxyectoine,5-Oxoproline,Adenine,Adenosine,Adenosine diphosphate,Adenosine monophosphate,Adenosine triphosphate,Citric acid,Citrulline,Creatine,"Cys-Gly, oxidized",Cytidine,Cytosine,D-Fructose 6-phosphate,D-Gluconic acid,D-Glucose 1-phosphate,D-Glucose 6-phosphate,D-Ribose 5-phosphate,Deoxyadenosine,Dihydroxyacetone phosphate,Dimethylsulfoniopropionate,Ectoine,Fumaric acid,Glucosamine,Glutamylphenylalanine,Glutathione,Glutathione disulfide,Glycerophosphocholine,Glycerophosphoric acid,Glycine,Gonyol,Guanine,Guanosine,Guanosine monophosphate,Homarine,Hydroxyproline,Hypoxanthine,Inosine,Isocitric acid,L-Alanine,L-Arginine,L-Arginosuccinic acid,L-Aspartic acid,L-Cystathionine,L-Cysteic acid,L-Cystine,L-Glutamic acid,L-Glutamine,L-Histidine,L-Homoserine,L-Isoleucine,L-Leucine,L-Lysine,L-Methionine,L-Methionine S-oxide,L-Ornithine,L-Proline,L-Serine,L-Threonine,L-Tyrosine,Malic acid,N-Acetyl-D-glucosamine,N-Acetyl-L-glutamic acid,N-Acetylmuramic acid,N6-Methyladenine,NAD,NADH,NADP,NADPH,Ophthalmic acid,Orotic acid,Phosphoenolpyruvic acid,Pipecolic acid,Propionylglycine,Succinic acid,Taurine,Thiamine diphosphate,Thymidine,Thymine,UDP-N-acetylglucosamine,UDP-glucose,Uracil,Uridine,cis-Aconitic acid,n-methyl glutamic acid,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"2,5-Dihydroxybenzoic acid",Allantoin,Melamine
220302_Smp_OBi1_3,OBi1_set2,Glucose + NH4,Dissolved,NA,NA,NA,NA,314322368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6080292352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217844910.16330245,74305521.93078673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16940916.387046628,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1_4,OBi1_set2,Homarine,Dissolved,NA,NA,NA,NA,361343520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071968320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2992577084183.031,2693833,16160859.305065814,NA,NA,NA,NA,NA,NA,NA,NA,NA,95954319.6719907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152543408.7470999,161404240.77956036,2862458.0019020364,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1_5,OBi1_set2,Homarine,Dissolved,NA,NA,NA,NA,365248128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031413312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2980720975788.667,NA,24261859.023021106,NA,NA,NA,NA,NA,NA,NA,NA,NA,84487477.68961449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150054824.9655003,208382630.51435733,3263231.1415667012,NA,NA,NA,NA,NA,NA,427302720
220302_Smp_OBi1_6,OBi1_set2,Homarine,Dissolved,NA,NA,NA,NA,350087360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948002752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2825717994149.5864,1335685,10428042.98739135,NA,NA,NA,NA,NA,NA,NA,NA,NA,80333632.451210707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84561618.18082358,55259682.17726505,2686301.159222163,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1_7,OBi1_set2,Glucose + NH4 + Homarine,Dissolved,NA,NA,NA,NA,289634112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2681739776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128677922463.3421,1430083,5610243.51461517,NA,NA,NA,NA,NA,NA,NA,NA,NA,220873745.2317503,62932059.63779231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083139.7188875484,36729174.19141162,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1_8,OBi1_set2,Glucose + NH4 + Homarine,Dissolved,NA,NA,NA,NA,299466720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2393329920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103011209188.52995,1793185,7534720.931396281,NA,NA,NA,NA,NA,NA,NA,NA,NA,308261849.32288706,141346457.48095664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300761.159098869,62271743.87901281,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1_9,OBi1_set2,Glucose + NH4 + Homarine,Dissolved,NA,NA,NA,NA,592683520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4833483264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95599318218.41151,1851489,2899486.5689438824,NA,NA,NA,NA,NA,NA,NA,NA,NA,407914432.5573201,124227496.70103404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4197056.287718411,64138376.96264205,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1small_1,Obi1_set1,Glucose + NH4,Dissolved,NA,NA,NA,NA,19121092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744246464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_OBi1small_2,Obi1_set1,Glucose + NH4,Dissolved,NA,NA,NA,NA,39163212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639588096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275941216.65458065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229168336
220302_Smp_OBi1small_3,Obi1_set1,Homarine,Dissolved,NA,NA,NA,NA,24304094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691538560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4248856597080.648,NA,13838451.823643724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133559360
220302_Smp_OBi1small_4,Obi1_set1,Homarine,Dissolved,NA,NA,NA,NA,31514732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624080256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4178088813497.3247,1877699,14156711.24374896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10546490.887503523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_RWi2_1,Rwi_set1,Glycerol + NH4,Dissolved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98032400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120351232
220302_Smp_RWi2_2,Rwi_set1,Glycerol + NH4,Dissolved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159522400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_RWi2_3,Rwi_set1,Homarine,Dissolved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19863102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4747815016353.549,NA,19632376.913241863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_RWi2_4,Rwi_set1,Homarine,Dissolved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19524322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5193865288306.186,NA,17094473.910665877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_RWi2_5,Rwi_set1,Glycerol + NH4 + Homarine,Dissolved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8559869440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289653185120.4715,NA,6061639.152298328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220302_Smp_RWi2_6,Rwi_set1,Glycerol + NH4 + Homarine,Dissolved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8853207040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258441937703.2624,NA,2278665.370660592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
