Gene of interest	Reciprocal Best Hit
ACFI6H_01550	gene-SPO3186
ACFI6H_06050	gene-SPO1585
ACFI6H_06055	gene-SPO1586
ACFI6H_06060	gene-SPO1587
ACFI6H_06065	gene-SPO1588
ACFI6H_16510	gene-SPO3192
ACFI6H_16515	gene-SPO3191
ACFI6H_16520	gene-SPO3190
ACFI6H_16530	gene-SPO3189
ACFI6H_16535	gene-SPO3188
ACFLL8_11500	ACFI5Q_16680
ACFLL8_11510	ACFI5Q_16690
ACFLL8_11515	ACFI5Q_16695
ACFLL8_11520	ACFI5Q_16700
ACFI8U_16020	ACFLL8_11515
gene-SPO1585	ACFI4X_16545
gene-SPO1586	ACFI4X_16540
gene-SPO1587	ACFI4X_16535
gene-SPO1588	ACFI4X_16530
gene-SPO3186	ACFI4X_15315
gene-SPO3188	ACFI4X_16580
gene-SPO3189	ACFI4X_16575
gene-SPO3190	ACFI4X_16565
gene-SPO3191	ACFI4X_16560
gene-SPO3192	ACFI4X_16555
gene-SPO1585	ACFI4Y_02555
gene-SPO1586	ACFI4Y_02550
gene-SPO1587	ACFI4Y_02545
gene-SPO1588	ACFI4Y_02540
gene-SPO3186	ACFI4Y_00110
gene-SPO3188	ACFI4Y_14365
gene-SPO3189	ACFI4Y_14370
gene-SPO3190	ACFI4Y_14375
gene-SPO3191	ACFI4Y_14380
gene-SPO3192	ACFI4Y_10005
gene-SPO3186	ACFJAA_03915
gene-SPO3188	ACFJAA_05140
gene-SPO3189	ACFJAA_05135
gene-SPO3190	ACFJAA_05125
gene-SPO3191	ACFJAA_05120
gene-SPO3192	ACFJAA_05115
ACFI8U_03540	gene-SPO1587
ACFI8U_03545	gene-SPO1588
ACFI8U_11735	gene-SPO3186
ACFI8U_16020	gene-SPO3191
ACFI7D_11905	ACFLL8_11495
ACFI7D_11910	ACFLL8_11500
ACFI7D_11920	ACFLL8_11510
ACFI7D_11925	ACFLL8_11515
ACFI7D_11930	ACFLL8_11490
ACFI7D_11935	ACFLL8_11520
ACFI7D_18325	ACFLL8_07305
ACFI7D_18330	ACFLL8_07300
ACFI7D_18335	ACFLL8_07295
ACFI7D_18340	ACFLL8_07290
gene-SPO3186	ACFI8T_24845
gene-SPO3188	ACFI8T_11205
gene-SPO3189	ACFI8T_11210
gene-SPO3190	ACFI8T_11220
gene-SPO3191	ACFI8T_11225
gene-SPO3192	ACFI8T_11230
ACFI8T_11200	ACFLL8_11490
ACFI8T_11205	ACFLL8_11495
ACFI8T_11210	ACFLL8_11500
ACFI8T_11220	ACFLL8_11510
ACFI8T_11225	ACFLL8_11515
ACFI8T_11230	ACFLL8_11520
WP_008064110.1	ACFI7D_18340
ACFJAB_15825	WP_008064110.1
ACFI7D_11910	gene-SPO3189
ACFI7D_11920	gene-SPO3190
ACFI7D_11925	gene-SPO3191
ACFI7D_11935	gene-SPO3192
ACFI7D_16685	gene-SPO3186
ACFI8T_11205	gene-SPO3188
ACFI8T_11210	gene-SPO3189
ACFI8T_11220	gene-SPO3190
ACFI8T_11225	gene-SPO3191
ACFI8T_11230	gene-SPO3192
ACFI8T_24845	gene-SPO3186
gene-SPO1585	ACFI4W_08965
gene-SPO1586	ACFI4W_08970
gene-SPO1587	ACFI4W_08975
gene-SPO1588	ACFI4W_08980
gene-SPO3186	ACFI4W_03350
gene-SPO3188	ACFI4W_17165
gene-SPO3189	ACFI4W_17160
gene-SPO3190	ACFI4W_17150
gene-SPO3191	ACFI4W_17145
gene-SPO3192	ACFI4W_17140
gene-SPO1585	ACFI4U_05680
gene-SPO1586	ACFI4U_05685
gene-SPO1587	ACFI4U_05690
gene-SPO1588	ACFI4U_05695
gene-SPO3186	ACFI4U_03350
gene-SPO3188	ACFI4U_16660
gene-SPO3189	ACFI4U_16665
gene-SPO3190	ACFI4U_16675
gene-SPO3191	ACFI4U_16680
gene-SPO3192	ACFI4U_16685
ACFI6J_19845	gene-SPO3186
ACFI7D_11905	ACFLL8_11495
ACFI7D_11910	ACFLL8_11500
ACFI7D_11920	ACFLL8_11510
ACFI7D_11925	ACFLL8_11515
ACFI7D_11930	ACFLL8_11490
ACFI7D_11935	ACFLL8_11520
ACFI7D_18325	ACFLL8_07305
ACFI7D_18330	ACFLL8_07300
ACFI7D_18335	ACFLL8_07295
ACFI7D_18340	ACFLL8_07290
gene-SPO1586	WP_012591630.1
gene-SPO1587	WP_012591629.1
gene-SPO1588	WP_012591628.1
ACFI8T_11200	ACFLL8_11490
ACFI8T_11205	ACFLL8_11495
ACFI8T_11210	ACFLL8_11500
ACFI8T_11220	ACFLL8_11510
ACFI8T_11225	ACFLL8_11515
ACFI8T_11230	ACFLL8_11520
gene-SPO3186	ACFI8T_24845
gene-SPO3188	ACFI8T_11205
gene-SPO3189	ACFI8T_11210
gene-SPO3190	ACFI8T_11220
gene-SPO3191	ACFI8T_11225
gene-SPO3192	ACFI8T_11230
ACFI7C_19140	WP_008064110.1
gene-SPO3186	ACFI34_12520
gene-SPO3186	ACFI5P_19285
WP_012591628.1	gene-SPO1588
WP_012591629.1	gene-SPO1587
WP_012591630.1	gene-SPO1586
ACFLL8_11500	ACFI4V_17390
ACFLL8_11510	ACFI4V_17380
ACFLL8_11515	ACFI4V_17375
ACFLL8_11520	ACFI4V_17370
ACFI7C_00140	ACFLL8_11490
ACFI7C_00145	ACFLL8_11495
ACFI7C_00150	ACFLL8_11500
ACFI7C_00160	ACFLL8_11510
ACFI7C_00165	ACFLL8_11515
ACFI7C_00170	ACFLL8_11520
ACFI7C_19125	ACFLL8_07305
ACFI7C_19130	ACFLL8_07300
ACFI7C_19135	ACFLL8_07295
ACFI7C_19140	ACFLL8_07290
gene-SPO3186	ACFI32_05360
ACFI4Y_00110	gene-SPO3186
ACFI4Y_02540	gene-SPO1588
ACFI4Y_02545	gene-SPO1587
ACFI4Y_02550	gene-SPO1586
ACFI4Y_02555	gene-SPO1585
ACFI4Y_10005	gene-SPO3192
ACFI4Y_14365	gene-SPO3188
ACFI4Y_14370	gene-SPO3189
ACFI4Y_14375	gene-SPO3190
ACFI4Y_14380	gene-SPO3191
ACFI6U_15005	ACFLL8_11500
ACFI6U_15010	ACFLL8_11510
ACFI6U_15015	ACFLL8_11515
ACFI6U_15020	ACFLL8_11520
ACFI6U_20790	ACFLL8_11490
ACFLL8_11500	ACFI4W_17160
ACFLL8_11510	ACFI4W_17150
ACFLL8_11515	ACFI4W_17145
ACFLL8_11520	ACFI4W_17140
ACFLL8_11500	ACFI5Q_16680
ACFLL8_11510	ACFI5Q_16690
ACFLL8_11515	ACFI5Q_16695
ACFLL8_11520	ACFI5Q_16700
ACFI33_03145	gene-SPO3186
gene-SPO1585	ACFI4X_16545
gene-SPO1586	ACFI4X_16540
gene-SPO1587	ACFI4X_16535
gene-SPO1588	ACFI4X_16530
gene-SPO3186	ACFI4X_15315
gene-SPO3188	ACFI4X_16580
gene-SPO3189	ACFI4X_16575
gene-SPO3190	ACFI4X_16565
gene-SPO3191	ACFI4X_16560
gene-SPO3192	ACFI4X_16555
ACFI4W_03350	gene-SPO3186
ACFI4W_08965	gene-SPO1585
ACFI4W_08970	gene-SPO1586
ACFI4W_08975	gene-SPO1587
ACFI4W_08980	gene-SPO1588
ACFI4W_17140	gene-SPO3192
ACFI4W_17145	gene-SPO3191
ACFI4W_17150	gene-SPO3190
ACFI4W_17160	gene-SPO3189
ACFI4W_17165	gene-SPO3188
ACFJAA_00800	ACFLL8_07300
ACFJAA_05115	ACFLL8_11520
ACFJAA_05120	ACFLL8_11515
ACFJAA_05125	ACFLL8_11510
ACFJAA_05135	ACFLL8_11500
ACFJAA_05140	ACFLL8_11495
ACFJAA_05145	ACFLL8_11490
ACFJAA_15410	ACFLL8_07305
ACFJAA_15420	ACFLL8_07295
ACFJAA_15425	ACFLL8_07290
gene-SPO3186	ACFI6J_19845
gene-SPO3186	ACFI4Z_00130
ACFLL8_07290	ACFJAB_15825
ACFLL8_07295	ACFJAB_15830
ACFLL8_07300	ACFJAB_04235
ACFLL8_07305	ACFJAB_15840
ACFLL8_11490	ACFJAB_00930
ACFLL8_11495	ACFJAB_00925
ACFLL8_11500	ACFJAB_00920
ACFLL8_11510	ACFJAB_00910
ACFLL8_11515	ACFJAB_00905
ACFLL8_11520	ACFJAB_00900
gene-SPO3186	ACFI6G_06270
gene-SPO3189	ACFI6G_14505
gene-SPO3190	ACFI6G_14495
gene-SPO3191	ACFI6G_14490
gene-SPO3192	ACFI6G_14480
ACFJAA_15425	WP_008064110.1
gene-SPO3186	ACFI7D_16685
gene-SPO3189	ACFI7D_11910
gene-SPO3190	ACFI7D_11920
gene-SPO3191	ACFI7D_11925
gene-SPO3192	ACFI7D_11935
gene-SPO3186	ACFI7E_03920
gene-SPO3189	ACFI7E_12240
gene-SPO3190	ACFI7E_12250
gene-SPO3191	ACFI7E_12255
gene-SPO3192	ACFI7E_12265
gene-SPO3186	ACFI9K_18570
ACFI7E_03920	gene-SPO3186
ACFI7E_12240	gene-SPO3189
ACFI7E_12250	gene-SPO3190
ACFI7E_12255	gene-SPO3191
ACFI7E_12265	gene-SPO3192
gene-SPO3186	ACFJAA_03915
gene-SPO3188	ACFJAA_05140
gene-SPO3189	ACFJAA_05135
gene-SPO3190	ACFJAA_05125
gene-SPO3191	ACFJAA_05120
gene-SPO3192	ACFJAA_05115
ACFI5Q_16680	ACFLL8_11500
ACFI5Q_16690	ACFLL8_11510
ACFI5Q_16695	ACFLL8_11515
ACFI5Q_16700	ACFLL8_11520
ACFLL8_11515	ACFI8U_16020
WP_008064110.1	ACFJAB_15825
ACFI6H_01550	gene-SPO3186
ACFI6H_06050	gene-SPO1585
ACFI6H_06055	gene-SPO1586
ACFI6H_06060	gene-SPO1587
ACFI6H_06065	gene-SPO1588
ACFI6H_16510	gene-SPO3192
ACFI6H_16515	gene-SPO3191
ACFI6H_16520	gene-SPO3190
ACFI6H_16530	gene-SPO3189
ACFI6H_16535	gene-SPO3188
gene-SPO3186	ACFI7C_06785
gene-SPO3188	ACFI7C_00145
gene-SPO3189	ACFI7C_00150
gene-SPO3190	ACFI7C_00160
gene-SPO3191	ACFI7C_00165
gene-SPO3192	ACFI7C_00170
ACFI32_05360	gene-SPO3186
ACFLL8_07290	WP_008064110.1
ACFLL8_07295	WP_008064108.1
ACFLL8_07300	WP_008064106.1
ACFLL8_07305	WP_026187787.1
ACFLL8_11500	ACFI6H_16530
ACFLL8_11510	ACFI6H_16520
ACFLL8_11515	ACFI6H_16515
ACFLL8_11520	ACFI6H_16510
ACFJAB_00900	gene-SPO3192
ACFJAB_00905	gene-SPO3191
ACFJAB_00910	gene-SPO3190
ACFJAB_00920	gene-SPO3189
ACFJAB_00925	gene-SPO3188
ACFJAB_01370	gene-SPO3186
gene-SPO1585	ACFI4Y_02555
gene-SPO1586	ACFI4Y_02550
gene-SPO1587	ACFI4Y_02545
gene-SPO1588	ACFI4Y_02540
gene-SPO3186	ACFI4Y_00110
gene-SPO3188	ACFI4Y_14365
gene-SPO3189	ACFI4Y_14370
gene-SPO3190	ACFI4Y_14375
gene-SPO3191	ACFI4Y_14380
gene-SPO3192	ACFI4Y_10005
ACFI6G_06270	gene-SPO3186
ACFI6G_14480	gene-SPO3192
ACFI6G_14490	gene-SPO3191
ACFI6G_14495	gene-SPO3190
ACFI6G_14505	gene-SPO3189
ACFI4U_16665	ACFLL8_11500
ACFI4U_16675	ACFLL8_11510
ACFI4U_16680	ACFLL8_11515
ACFI4U_16685	ACFLL8_11520
ACFLL8_11490	ACFI6U_20790
ACFLL8_11500	ACFI6U_15005
ACFLL8_11510	ACFI6U_15010
ACFLL8_11515	ACFI6U_15015
ACFLL8_11520	ACFI6U_15020
ACFI8U_16020	ACFLL8_11515
ACFI4X_15315	gene-SPO3186
ACFI4X_16530	gene-SPO1588
ACFI4X_16535	gene-SPO1587
ACFI4X_16540	gene-SPO1586
ACFI4X_16545	gene-SPO1585
ACFI4X_16555	gene-SPO3192
ACFI4X_16560	gene-SPO3191
ACFI4X_16565	gene-SPO3190
ACFI4X_16575	gene-SPO3189
ACFI4X_16580	gene-SPO3188
ACFI7D_18340	WP_008064110.1
gene-SPO3186	ACFI33_03145
gene-SPO3186	ACFI6K_05175
gene-SPO3192	ACFI6K_06480
ACFLL8_11500	ACFI4U_16665
ACFLL8_11510	ACFI4U_16675
ACFLL8_11515	ACFI4U_16680
ACFLL8_11520	ACFI4U_16685
ACFI4V_03360	gene-SPO3186
ACFI4V_06745	gene-SPO1588
ACFI4V_06750	gene-SPO1587
ACFI4V_06755	gene-SPO1586
ACFI4V_06760	gene-SPO1585
ACFI4V_17370	gene-SPO3192
ACFI4V_17375	gene-SPO3191
ACFI4V_17380	gene-SPO3190
ACFI4V_17390	gene-SPO3189
ACFI4V_17395	gene-SPO3188
ACFI4Y_03075	ACFLL8_11500
ACFI4Y_14375	ACFLL8_11510
ACFI4Y_14380	ACFLL8_11515
ACFI4Y_14385	ACFLL8_11520
ACFI7C_00145	gene-SPO3188
ACFI7C_00150	gene-SPO3189
ACFI7C_00160	gene-SPO3190
ACFI7C_00165	gene-SPO3191
ACFI7C_00170	gene-SPO3192
ACFI7C_06785	gene-SPO3186
ACFLL8_11500	ACFI4Y_03075
ACFLL8_11510	ACFI4Y_14375
ACFLL8_11515	ACFI4Y_14380
ACFLL8_11520	ACFI4Y_14385
gene-SPO1585	ACFI6H_06050
gene-SPO1586	ACFI6H_06055
gene-SPO1587	ACFI6H_06060
gene-SPO1588	ACFI6H_06065
gene-SPO3186	ACFI6H_01550
gene-SPO3188	ACFI6H_16535
gene-SPO3189	ACFI6H_16530
gene-SPO3190	ACFI6H_16520
gene-SPO3191	ACFI6H_16515
gene-SPO3192	ACFI6H_16510
gene-SPO1585	ACFI4U_05680
gene-SPO1586	ACFI4U_05685
gene-SPO1587	ACFI4U_05690
gene-SPO1588	ACFI4U_05695
gene-SPO3186	ACFI4U_03350
gene-SPO3188	ACFI4U_16660
gene-SPO3189	ACFI4U_16665
gene-SPO3190	ACFI4U_16675
gene-SPO3191	ACFI4U_16680
gene-SPO3192	ACFI4U_16685
ACFI8T_11205	gene-SPO3188
ACFI8T_11210	gene-SPO3189
ACFI8T_11220	gene-SPO3190
ACFI8T_11225	gene-SPO3191
ACFI8T_11230	gene-SPO3192
ACFI8T_24845	gene-SPO3186
gene-SPO3186	ACFI6L_13465
ACFI7D_11910	gene-SPO3189
ACFI7D_11920	gene-SPO3190
ACFI7D_11925	gene-SPO3191
ACFI7D_11935	gene-SPO3192
ACFI7D_16685	gene-SPO3186
ACFLL8_07290	ACFI7D_18340
ACFLL8_07295	ACFI7D_18335
ACFLL8_07300	ACFI7D_18330
ACFLL8_07305	ACFI7D_18325
ACFLL8_11490	ACFI7D_11930
ACFLL8_11495	ACFI7D_11905
ACFLL8_11500	ACFI7D_11910
ACFLL8_11510	ACFI7D_11920
ACFLL8_11515	ACFI7D_11925
ACFLL8_11520	ACFI7D_11935
ACFLL8_11490	ACFI6G_14485
ACFLL8_11495	ACFI6G_14510
ACFLL8_11500	ACFI6G_14505
ACFLL8_11510	ACFI6G_14495
ACFLL8_11515	ACFI6G_14490
ACFLL8_11520	ACFI6G_14480
ACFJAB_15825	WP_008064110.1
ACFJAA_03915	gene-SPO3186
ACFJAA_05115	gene-SPO3192
ACFJAA_05120	gene-SPO3191
ACFJAA_05125	gene-SPO3190
ACFJAA_05135	gene-SPO3189
ACFJAA_05140	gene-SPO3188
ACFLL8_07290	ACFI7C_19140
ACFLL8_07295	ACFI7C_19135
ACFLL8_07300	ACFI7C_19130
ACFLL8_07305	ACFI7C_19125
ACFLL8_11490	ACFI7C_00140
ACFLL8_11495	ACFI7C_00145
ACFLL8_11500	ACFI7C_00150
ACFLL8_11510	ACFI7C_00160
ACFLL8_11515	ACFI7C_00165
ACFLL8_11520	ACFI7C_00170
ACFI4W_17140	ACFLL8_11520
ACFI4W_17145	ACFLL8_11515
ACFI4W_17150	ACFLL8_11510
ACFI4W_17160	ACFLL8_11500
gene-SPO1587	ACFI8U_03540
gene-SPO1588	ACFI8U_03545
gene-SPO3186	ACFI8U_11735
gene-SPO3191	ACFI8U_16020
ACFLL8_07290	ACFJAA_15425
ACFLL8_07295	ACFJAA_15420
ACFLL8_07300	ACFJAA_00800
ACFLL8_07305	ACFJAA_15410
ACFLL8_11490	ACFJAA_05145
ACFLL8_11495	ACFJAA_05140
ACFLL8_11500	ACFJAA_05135
ACFLL8_11510	ACFJAA_05125
ACFLL8_11515	ACFJAA_05120
ACFLL8_11520	ACFJAA_05115
ACFI6U_14990	gene-SPO3186
ACFI6U_15000	gene-SPO3188
ACFI6U_15005	gene-SPO3189
ACFI6U_15010	gene-SPO3190
ACFI6U_15015	gene-SPO3191
ACFI6U_15020	gene-SPO3192
ACFI6U_18075	gene-SPO1588
ACFI6U_18080	gene-SPO1587
ACFI6U_18085	gene-SPO1586
ACFI6U_18090	gene-SPO1585
ACFI32_07270	ACFLL8_11510
ACFI6H_16510	ACFLL8_11520
ACFI6H_16515	ACFLL8_11515
ACFI6H_16520	ACFLL8_11510
ACFI6H_16530	ACFLL8_11500
WP_008064110.1	ACFI7D_18340
ACFI5Q_01545	gene-SPO3186
ACFI5Q_07090	gene-SPO1585
ACFI5Q_07095	gene-SPO1586
ACFI5Q_07100	gene-SPO1587
ACFI5Q_07105	gene-SPO1588
ACFI5Q_16675	gene-SPO3188
ACFI5Q_16680	gene-SPO3189
ACFI5Q_16690	gene-SPO3190
ACFI5Q_16695	gene-SPO3191
ACFI5Q_16700	gene-SPO3192
ACFI7E_12235	ACFLL8_11495
ACFI7E_12240	ACFLL8_11500
ACFI7E_12250	ACFLL8_11510
ACFI7E_12255	ACFLL8_11515
ACFI7E_12260	ACFLL8_11490
ACFI7E_12265	ACFLL8_11520
ACFLL8_11490	ACFI4X_05575
ACFLL8_11500	ACFI4X_16575
ACFLL8_11510	ACFI4X_16565
ACFLL8_11515	ACFI4X_16560
ACFLL8_11520	ACFI4X_16555
gene-SPO1585	ACFI4W_08965
gene-SPO1586	ACFI4W_08970
gene-SPO1587	ACFI4W_08975
gene-SPO1588	ACFI4W_08980
gene-SPO3186	ACFI4W_03350
gene-SPO3188	ACFI4W_17165
gene-SPO3189	ACFI4W_17160
gene-SPO3190	ACFI4W_17150
gene-SPO3191	ACFI4W_17145
gene-SPO3192	ACFI4W_17140
gene-SPO1585	ACFI5Q_07090
gene-SPO1586	ACFI5Q_07095
gene-SPO1587	ACFI5Q_07100
gene-SPO1588	ACFI5Q_07105
gene-SPO3186	ACFI5Q_01545
gene-SPO3188	ACFI5Q_16675
gene-SPO3189	ACFI5Q_16680
gene-SPO3190	ACFI5Q_16690
gene-SPO3191	ACFI5Q_16695
gene-SPO3192	ACFI5Q_16700
ACFI6K_05175	gene-SPO3186
ACFI6K_06480	gene-SPO3192
WP_008064110.1	ACFJAA_15425
ACFI9K_18570	gene-SPO3186
WP_008064110.1	ACFI7C_19140
gene-SPO3186	ACFJAB_01370
gene-SPO3188	ACFJAB_00925
gene-SPO3189	ACFJAB_00920
gene-SPO3190	ACFJAB_00910
gene-SPO3191	ACFJAB_00905
gene-SPO3192	ACFJAB_00900
gene-SPO1585	ACFI6U_18090
gene-SPO1586	ACFI6U_18085
gene-SPO1587	ACFI6U_18080
gene-SPO1588	ACFI6U_18075
gene-SPO3186	ACFI6U_14990
gene-SPO3188	ACFI6U_15000
gene-SPO3189	ACFI6U_15005
gene-SPO3190	ACFI6U_15010
gene-SPO3191	ACFI6U_15015
gene-SPO3192	ACFI6U_15020
ACFI4Z_00130	gene-SPO3186
ACFLL8_10530	gene-SPO3186
ACFLL8_11500	gene-SPO3189
ACFLL8_11510	gene-SPO3190
ACFLL8_11515	gene-SPO3191
ACFLL8_11520	gene-SPO3192
ACFI4V_17370	ACFLL8_11520
ACFI4V_17375	ACFLL8_11515
ACFI4V_17380	ACFLL8_11510
ACFI4V_17390	ACFLL8_11500
ACFI5P_19285	gene-SPO3186
ACFLL8_11490	ACFI8T_11200
ACFLL8_11495	ACFI8T_11205
ACFLL8_11500	ACFI8T_11210
ACFLL8_11510	ACFI8T_11220
ACFLL8_11515	ACFI8T_11225
ACFLL8_11520	ACFI8T_11230
ACFI6L_13465	gene-SPO3186
ACFI34_12520	gene-SPO3186
ACFLL8_11490	ACFI7E_12260
ACFLL8_11495	ACFI7E_12235
ACFLL8_11500	ACFI7E_12240
ACFLL8_11510	ACFI7E_12250
ACFLL8_11515	ACFI7E_12255
ACFLL8_11520	ACFI7E_12265
ACFI4X_05575	ACFLL8_11490
ACFI4X_16555	ACFLL8_11520
ACFI4X_16560	ACFLL8_11515
ACFI4X_16565	ACFLL8_11510
ACFI4X_16575	ACFLL8_11500
WP_008064106.1	ACFLL8_07300
WP_008064108.1	ACFLL8_07295
WP_008064110.1	ACFLL8_07290
WP_026187787.1	ACFLL8_07305
ACFI8U_03540	gene-SPO1587
ACFI8U_03545	gene-SPO1588
ACFI8U_11735	gene-SPO3186
ACFI8U_16020	gene-SPO3191
ACFLL8_11510	ACFI32_07270
ACFI4U_03350	gene-SPO3186
ACFI4U_05680	gene-SPO1585
ACFI4U_05685	gene-SPO1586
ACFI4U_05690	gene-SPO1587
ACFI4U_05695	gene-SPO1588
ACFI4U_16660	gene-SPO3188
ACFI4U_16665	gene-SPO3189
ACFI4U_16675	gene-SPO3190
ACFI4U_16680	gene-SPO3191
ACFI4U_16685	gene-SPO3192
gene-SPO1585	ACFI4V_06760
gene-SPO1586	ACFI4V_06755
gene-SPO1587	ACFI4V_06750
gene-SPO1588	ACFI4V_06745
gene-SPO3186	ACFI4V_03360
gene-SPO3188	ACFI4V_17395
gene-SPO3189	ACFI4V_17390
gene-SPO3190	ACFI4V_17380
gene-SPO3191	ACFI4V_17375
gene-SPO3192	ACFI4V_17370
ACFI6G_14480	ACFLL8_11520
ACFI6G_14485	ACFLL8_11490
ACFI6G_14490	ACFLL8_11515
ACFI6G_14495	ACFLL8_11510
ACFI6G_14505	ACFLL8_11500
ACFI6G_14510	ACFLL8_11495
gene-SPO3186	ACFLL8_10530
gene-SPO3189	ACFLL8_11500
gene-SPO3190	ACFLL8_11510
gene-SPO3191	ACFLL8_11515
gene-SPO3192	ACFLL8_11520
ACFJAB_00900	ACFLL8_11520
ACFJAB_00905	ACFLL8_11515
ACFJAB_00910	ACFLL8_11510
ACFJAB_00920	ACFLL8_11500
ACFJAB_00925	ACFLL8_11495
ACFJAB_00930	ACFLL8_11490
ACFJAB_04235	ACFLL8_07300
ACFJAB_15825	ACFLL8_07290
ACFJAB_15830	ACFLL8_07295
ACFJAB_15840	ACFLL8_07305
gene-SPO3186	ACFI5P_19285
gene-SPO3186	ACFI6L_13465
ACFI33_03145	gene-SPO3186
gene-SPO1587	ACFI8U_03540
gene-SPO1588	ACFI8U_03545
gene-SPO3186	ACFI8U_11735
gene-SPO3191	ACFI8U_16020
ACFI6U_15005	ACFLL8_11500
ACFI6U_15010	ACFLL8_11510
ACFI6U_15015	ACFLL8_11515
ACFI6U_15020	ACFLL8_11520
ACFI6U_20790	ACFLL8_11490
gene-SPO1585	ACFI6H_06050
gene-SPO1586	ACFI6H_06055
gene-SPO1587	ACFI6H_06060
gene-SPO1588	ACFI6H_06065
gene-SPO3186	ACFI6H_01550
gene-SPO3188	ACFI6H_16535
gene-SPO3189	ACFI6H_16530
gene-SPO3190	ACFI6H_16520
gene-SPO3191	ACFI6H_16515
gene-SPO3192	ACFI6H_16510
gene-SPO3186	ACFI7C_06785
gene-SPO3188	ACFI7C_00145
gene-SPO3189	ACFI7C_00150
gene-SPO3190	ACFI7C_00160
gene-SPO3191	ACFI7C_00165
gene-SPO3192	ACFI7C_00170
gene-SPO3186	ACFI6J_19845
ACFLL8_10530	gene-SPO3186
ACFLL8_11500	gene-SPO3189
ACFLL8_11510	gene-SPO3190
ACFLL8_11515	gene-SPO3191
ACFLL8_11520	gene-SPO3192
ACFI32_05360	gene-SPO3186
gene-SPO3186	ACFJAB_01370
gene-SPO3188	ACFJAB_00925
gene-SPO3189	ACFJAB_00920
gene-SPO3190	ACFJAB_00910
gene-SPO3191	ACFJAB_00905
gene-SPO3192	ACFJAB_00900
ACFI32_07270	ACFLL8_11510
gene-SPO1585	ACFI4V_06760
gene-SPO1586	ACFI4V_06755
gene-SPO1587	ACFI4V_06750
gene-SPO1588	ACFI4V_06745
gene-SPO3186	ACFI4V_03360
gene-SPO3188	ACFI4V_17395
gene-SPO3189	ACFI4V_17390
gene-SPO3190	ACFI4V_17380
gene-SPO3191	ACFI4V_17375
gene-SPO3192	ACFI4V_17370
gene-SPO1585	ACFI5Q_07090
gene-SPO1586	ACFI5Q_07095
gene-SPO1587	ACFI5Q_07100
gene-SPO1588	ACFI5Q_07105
gene-SPO3186	ACFI5Q_01545
gene-SPO3188	ACFI5Q_16675
gene-SPO3189	ACFI5Q_16680
gene-SPO3190	ACFI5Q_16690
gene-SPO3191	ACFI5Q_16695
gene-SPO3192	ACFI5Q_16700
ACFI7E_03920	gene-SPO3186
ACFI7E_12240	gene-SPO3189
ACFI7E_12250	gene-SPO3190
ACFI7E_12255	gene-SPO3191
ACFI7E_12265	gene-SPO3192
ACFLL8_07290	ACFI7D_18340
ACFLL8_07295	ACFI7D_18335
ACFLL8_07300	ACFI7D_18330
ACFLL8_07305	ACFI7D_18325
ACFLL8_11490	ACFI7D_11930
ACFLL8_11495	ACFI7D_11905
ACFLL8_11500	ACFI7D_11910
ACFLL8_11510	ACFI7D_11920
ACFLL8_11515	ACFI7D_11925
ACFLL8_11520	ACFI7D_11935
gene-SPO3186	ACFI4Z_00130
WP_008064110.1	ACFJAA_15425
ACFLL8_11510	ACFI32_07270
ACFI6J_19845	gene-SPO3186
ACFJAB_00900	ACFLL8_11520
ACFJAB_00905	ACFLL8_11515
ACFJAB_00910	ACFLL8_11510
ACFJAB_00920	ACFLL8_11500
ACFJAB_00925	ACFLL8_11495
ACFJAB_00930	ACFLL8_11490
ACFJAB_04235	ACFLL8_07300
ACFJAB_15825	ACFLL8_07290
ACFJAB_15830	ACFLL8_07295
ACFJAB_15840	ACFLL8_07305
ACFI4U_03350	gene-SPO3186
ACFI4U_05680	gene-SPO1585
ACFI4U_05685	gene-SPO1586
ACFI4U_05690	gene-SPO1587
ACFI4U_05695	gene-SPO1588
ACFI4U_16660	gene-SPO3188
ACFI4U_16665	gene-SPO3189
ACFI4U_16675	gene-SPO3190
ACFI4U_16680	gene-SPO3191
ACFI4U_16685	gene-SPO3192
ACFI5P_19285	gene-SPO3186
ACFI34_12520	gene-SPO3186
ACFLL8_11490	ACFI6G_14485
ACFLL8_11495	ACFI6G_14510
ACFLL8_11500	ACFI6G_14505
ACFLL8_11510	ACFI6G_14495
ACFLL8_11515	ACFI6G_14490
ACFLL8_11520	ACFI6G_14480
ACFJAA_15425	WP_008064110.1
ACFI4U_16665	ACFLL8_11500
ACFI4U_16675	ACFLL8_11510
ACFI4U_16680	ACFLL8_11515
ACFI4U_16685	ACFLL8_11520
ACFJAB_00900	gene-SPO3192
ACFJAB_00905	gene-SPO3191
ACFJAB_00910	gene-SPO3190
ACFJAB_00920	gene-SPO3189
ACFJAB_00925	gene-SPO3188
ACFJAB_01370	gene-SPO3186
gene-SPO1585	ACFI6U_18090
gene-SPO1586	ACFI6U_18085
gene-SPO1587	ACFI6U_18080
gene-SPO1588	ACFI6U_18075
gene-SPO3186	ACFI6U_14990
gene-SPO3188	ACFI6U_15000
gene-SPO3189	ACFI6U_15005
gene-SPO3190	ACFI6U_15010
gene-SPO3191	ACFI6U_15015
gene-SPO3192	ACFI6U_15020
ACFI6K_05175	gene-SPO3186
ACFI6K_06480	gene-SPO3192
ACFLL8_11490	ACFI6U_20790
