Nucleotide.Accession	Organism.Name	Organism.Taxonomic.ID	BioSample	contig.length	Assembly.Accession	Assembly.Name
NZ_CP018311.1	Vibrio rotiferianus	190895	SAMN06076929	1951588	GCF_002214395.1	ASM221439v1
NZ_CP018632.1	Granulosicoccus antarcticus IMCC3135	1192854	SAMN06112367	7783862	GCF_002215215.1	ASM221521v1
NZ_MTHB01000301.1	Caballeronia sordidicola	196367	SAMN06075480	58579	GCF_002220365.1	ASM222036v1
NZ_NIXW01000016.1	Vibrio parahaemolyticus	670	SAMN06917276	152346	GCF_002221425.1	ASM222142v1
NZ_NEXU01000024.1	Psychrobacter sp. DAB_AL32B	1028414	SAMN06888379	30578	GCF_002224105.1	ASM222410v1
NZ_NIWU01000001.1	Pseudomonas umsongensis	198618	SAMN07236649	2245851	GCF_002236105.1	ASM223610v1
NZ_NJAN01000011.1	Vibrio parahaemolyticus	670	SAMN06917281	166456	GCF_002238235.1	ASM223823v1
NZ_NBIM01000001.1	Oceanimonas doudoroffii	84158	SAMN06648056	2085155	GCF_002242685.1	ASM224268v1
NZ_NOIF01000091.1	Photobacterium sanguinicancri	875932	SAMN04252530	18495	GCF_002265265.1	ASM226526v1
NZ_NQMR01000016.1	Pseudoalteromonas sp. NBT06-2	2025950	SAMN07490266	96968	GCF_002276045.1	ASM227604v1
NZ_NRHV01000010.1	Vibrio coralliilyticus	190893	SAMN07522471	171316	GCF_002286405.1	ASM228640v1
NZ_NRHY01000002.1	Vibrio coralliilyticus	190893	SAMN07536091	853784	GCF_002286655.1	ASM228665v1
NZ_NRQO01000006.1	Vibrio coralliilyticus	190893	SAMN07540309	274022	GCF_002287625.1	ASM228762v1
NZ_NRQQ01000054.1	Vibrio sp. V1B	2047825	SAMN06843738	33944	GCF_002290005.1	V1B
NZ_NSGH01000001.1	Salimicrobium humidisoli	2029857	SAMN07563698	277350	GCF_002295105.1	ASM229510v1
NZ_MRCS01000054.1	Pseudomonas sp. ACN8	1920428	SAMN05967358	43239	GCF_002303925.1	ASM230392v1
NZ_MRCP01000021.1	Pseudomonas sp. ACN5	1920427	SAMN05954930	89537	GCF_002303975.1	ASM230397v1
NZ_DELY01000039.1	Pseudomonas sp. UBA2684	1947311	SAMN06453897	45095	GCF_002354655.1	ASM235465v1
NZ_AP015029.1	Pseudomonas putida	303	SAMD00023463	6583377	GCF_002356095.1	ASM235609v1
NZ_NWTO01000001.1	Vibrio mediterranei	689	SAMN07665718	1033216	GCF_002358135.1	ASM235813v1
NZ_DFQV01000026.1	Psychrobacter sp. UBA3480	1947350	SAMN06452289	100645	GCF_002377945.1	ASM237794v1
NZ_CP010674.1	Phaeobacter gallaeciensis	60890	SAMN03294491	256057	GCF_002381285.1	ASM238128v1
NZ_CP010589.1	Phaeobacter gallaeciensis	60890	SAMN03292294	256057	GCF_002381305.1	ASM238130v1
NZ_CP010637.1	Phaeobacter gallaeciensis	60890	SAMN03294489	256057	GCF_002381325.1	ASM238132v1
NZ_CP021048.1	Phaeobacter gallaeciensis	60890	SAMN06834800	256560	GCF_002381365.1	ASM238136v1
NZ_CP021041.1	Phaeobacter gallaeciensis	60890	SAMN06834809	256560	GCF_002381385.1	ASM238138v1
NZ_DGNN01000005.1	Leisingera sp. UBA4491	1946748	SAMN06450414	146268	GCF_002388965.1	ASM238896v1
NZ_DGNP01000008.1	Marinobacter sp. UBA4489	1946822	SAMN06455146	419564	GCF_002388985.1	ASM238898v1
NZ_CP010785.1	Phaeobacter gallaeciensis	60890	SAMN03294483	256057	GCF_002393525.1	ASM239352v1
NZ_CP010682.1	Phaeobacter piscinae	1580596	SAMN03294467	221388	GCF_002407245.1	ASM240724v1
NZ_CP010644.1	Phaeobacter piscinae	1580596	SAMN03294472	221490	GCF_002412025.1	ASM241202v1
NZ_CP010768.1	Phaeobacter piscinae	1580596	SAMN03292295	205383	GCF_002412045.1	ASM241204v1
NZ_DJTF01000007.1	Pseudomonas sp. UBA6315	1947328	SAMN06453133	47712	GCF_002438125.1	ASM243812v1
NZ_DKHR01000056.1	Psychrobacter sp. UBA6739	1947360	SAMN06452001	32046	GCF_002453835.1	ASM245383v1
NZ_DKIA01000038.1	Psychrobacter sp. UBA6730	1947359	SAMN06451994	17732	GCF_002454035.1	ASM245403v1
NZ_CP021435.1	Halomonas beimenensis	475662	SAMN07135858	4053030	GCF_002549795.1	ASM254979v1
NZ_PDEH01000001.1	Pseudomonas putida	303	SAMN07312453	6099642	GCF_002554535.1	ASM255453v1
NZ_PDJL01000003.1	Vibrio sp. ES.051	1761909	SAMN04487882	1236292	GCF_002563795.1	ASM256379v1
NZ_NZXT01000085.1	Halomonas sp.	1486246	SAMN07619222	22394	GCF_002697735.1	ASM269773v1
NZ_PALQ01000003.1	Roseovarius sp.	1486281	SAMN07620063	237622	GCF_002706495.1	ASM270649v1
NZ_PAYB01000036.1	Cobetia sp.	1873876	SAMN07618554	95334	GCF_002714685.1	ASM271468v1
NZ_PBJT01000048.1	Cobetia sp.	1873876	SAMN07618555	41808	GCF_002721215.1	ASM272121v1
NZ_PDUS01000015.1	Pseudoalteromonas sp. 3D05	2045444	SAMN07809271	104798	GCF_002723455.1	ASM272345v1
NZ_KZ304955.1	Limimaricola cinnabarinus	1125964	SAMN07514173	195357	GCF_002723615.1	ASM272361v1
NZ_PDMZ01000007.1	Vibrio splendidus	29497	SAMN07709073	300419	GCF_002737025.1	ASM273702v1
NZ_APHW01000104.1	Vibrio rotiferianus CAIM 577 = LMG 21460	1224743	SAMN07819046	305545	GCF_002741985.1	ASM274198v1
NZ_AUTV01000001.1	Vibrio coralliilyticus NA0301	1353535	SAMN07961445	1440145	GCF_002742585.1	ASM274258v1
NZ_PDYK01000004.1	Sporosarcina sp. P10	2048264	SAMN07818975	226596	GCF_002742995.1	ASM274299v1
NZ_PDYL01000005.1	Sporosarcina sp. P12(2017)	2048561	SAMN07818974	191060	GCF_002743035.1	ASM274303v1
NZ_PDYM01000009.1	Sporosarcina sp. P13	2048263	SAMN07818973	96338	GCF_002743055.1	ASM274305v1
NZ_PDYR01000013.1	Sporosarcina sp. P19	2048258	SAMN07818968	88148	GCF_002743165.1	ASM274316v1
NZ_CP011797.1	Reinekea forsetii	1336806	SAMN03652921	3660060	GCF_002795845.1	ASM279584v1
NZ_PHJF01000004.1	Epibacterium ulvae	1156985	SAMN08054670	376756	GCF_002796795.1	ASM279679v1
NZ_PGFI01000011.1	Brevirhabdus pacifica	1267768	SAMN07620883	1981690	GCF_002797755.1	ASM279775v1
NZ_NVPT01000119.1	Geodermatophilus chilensis	2035835	SAMN07633136	16909	GCF_002802985.1	B12
NZ_PIJT01000005.1	Pseudomonas putida	303	SAMN07735254	299321	GCF_002810225.1	ASM281022v1
NZ_PIZL01000001.1	Vibrio sp. vnigr-6D03	2058088	SAMN08130373	736258	GCF_002835515.1	ASM283551v1
NZ_PJCG01000061.1	Pseudomonas monteilii	76759	SAMN08142019	284431	GCF_002835905.1	ASM283590v1
NZ_PJBZ01000070.1	Psychromonas sp. Urea-02u-13	2058326	SAMN08125777	104799	GCF_002835995.1	ASM283599v1
NZ_PJBA01000006.1	Colwellia sp. Bg11-28	2058305	SAMN08125749	2027474	GCF_002836245.1	ASM283624v1
NZ_PJCA01000027.1	Moritella sp. Urea-trap-13	2058327	SAMN08125779	707271	GCF_002836355.1	ASM283635v1
NZ_PJBP01000185.1	Psychromonas sp. MB-3u-54	2058319	SAMN08125766	70505	GCF_002836415.1	ASM283641v1
NZ_PJAS01000067.1	Psychrobacter sp. 4Bb	888436	SAMN08125736	46909	GCF_002836735.1	ASM283673v1
NZ_CP025538.1	Vibrio harveyi	669	SAMN08013468	2220396	GCF_002850295.1	ASM285029v1
NZ_PKOJ01000001.1	Neptunicoccus cionae	2035344	SAMN08272062	1213590	GCF_002860325.1	ASM286032v1
NZ_PKDF01000053.1	Pseudomonas sp.	306	SAMN08158039	53747	GCF_002862505.1	ASM286250v1
NZ_NISD01000010.1	Vibrio harveyi	669	SAMN07211388	222297	GCF_002864745.1	ASM286474v1
NZ_MCSB02000001.1	Vibrio lentus	136468	SAMN05418242	1930412	GCF_002872535.2	ASM287253v2
NZ_CP170586.1	Vibrio cyclitrophicus	47951	SAMN05418245	1739435	GCF_002872565.2	ASM287256v2
NZ_MCSH01000197.1	Vibrio lentus	136468	SAMN05418238	27419	GCF_002872615.1	ASM287261v1
NZ_MCSG02000002.1	Vibrio cyclitrophicus	47951	SAMN05418239	1706477	GCF_002872625.2	ASM287262v2
NZ_CP169998.1	Vibrio cyclitrophicus	47951	SAMN05418240	1715328	GCF_002872705.2	ASM287270v2
NZ_MCRY01000024.1	Vibrio cyclitrophicus	47951	SAMN05418248	279211	GCF_002872755.1	ASM287275v1
NZ_MCWK01000168.1	Vibrio sp. 10N.286.45.B6	1880852	SAMN05418131	41653	GCF_002872765.1	ASM287276v1
NZ_MCWL02000026.1	Vibrio splendidus	29497	SAMN05418130	78566	GCF_002872775.2	ASM287277v2
NZ_CP170023.1	Vibrio cyclitrophicus	47951	SAMN05418132	1688114	GCF_002872815.2	ASM287281v2
NZ_MCWI02000002.1	Vibrio lentus	136468	SAMN05418133	1746808	GCF_002872835.2	ASM287283v2
NZ_MCWC02000001.1	Vibrio lentus	136468	SAMN05418139	1848499	GCF_002872855.2	ASM287285v2
NZ_MCWB02000002.1	Vibrio lentus	136468	SAMN05418140	1825517	GCF_002872865.2	ASM287286v2
NZ_MCWA02000002.1	Vibrio splendidus	29497	SAMN05418142	1936428	GCF_002872895.2	ASM287289v2
NZ_MCVZ02000046.1	Vibrio splendidus	29497	SAMN05418141	28239	GCF_002872905.2	ASM287290v2
NZ_MCVW02000004.1	Vibrio lentus	136468	SAMN05418145	407890	GCF_002872925.2	ASM287292v2
NZ_MCVR01000094.1	Enterovibrio norvegicus	188144	SAMN05418150	88893	GCF_002872975.1	ASM287297v1
NZ_MCVT01000106.1	Vibrio cyclitrophicus	47951	SAMN05418148	90018	GCF_002873015.1	ASM287301v1
NZ_MCVQ02000001.1	Enterovibrio norvegicus	188144	SAMN05418151	3889056	GCF_002873035.2	ASM287303v2
NZ_MCVM02000001.1	Vibrio lentus	136468	SAMN05418155	2087172	GCF_002873075.2	ASM287307v2
NZ_MCVL02000002.1	Vibrio cyclitrophicus	47951	SAMN05418156	1675486	GCF_002873095.2	ASM287309v2
NZ_MCVK02000002.1	Vibrio lentus	136468	SAMN05418157	1735374	GCF_002873115.2	ASM287311v2
NZ_MCVH02000002.1	Vibrio lentus	136468	SAMN05418160	1759492	GCF_002873185.2	ASM287318v2
NZ_MCVF02000002.1	Vibrio sp. 10N.286.48.B7	1880853	SAMN05418162	1993775	GCF_002873195.2	ASM287319v2
NZ_MCVD01000512.1	Vibrio cyclitrophicus	47951	SAMN05418164	9062	GCF_002873225.1	ASM287322v1
NZ_MCVE01000005.1	Vibrio cyclitrophicus	47951	SAMN05418163	527386	GCF_002873235.1	ASM287323v1
NZ_CP170020.1	Vibrio cyclitrophicus	47951	SAMN05418171	1660007	GCF_002873285.2	ASM287328v2
NZ_MCUW02000002.1	Vibrio sp. 10N.286.49.B1	1880854	SAMN05418170	1658989	GCF_002873335.2	ASM287333v2
NZ_MCUY02000001.1	Vibrio cyclitrophicus	47951	SAMN05418169	1472564	GCF_002873345.2	ASM287334v2
NZ_MCUR01000035.1	Vibrio cyclitrophicus	47951	SAMN05418176	316016	GCF_002873375.1	ASM287337v1
NZ_MCUN01000007.1	Vibrio splendidus	29497	SAMN05418179	452291	GCF_002873455.1	ASM287345v1
NZ_MCUL01000006.1	Vibrio lentus	136468	SAMN05418182	292937	GCF_002873475.1	ASM287347v1
NZ_MCUM01000046.1	Vibrio splendidus	29497	SAMN05418181	48446	GCF_002873485.1	ASM287348v1
NZ_MCUH02000002.1	Vibrio cyclitrophicus	47951	SAMN05418186	1781410	GCF_002873515.2	ASM287351v2
NZ_MCUD01000138.1	Vibrio lentus	136468	SAMN05418190	44679	GCF_002873555.1	ASM287355v1
NZ_MCUB01000080.1	Vibrio splendidus	29497	SAMN05418192	39889	GCF_002873565.1	ASM287356v1
NZ_MCUA01000088.1	Vibrio splendidus	29497	SAMN05418193	323875	GCF_002873645.1	ASM287364v1
NZ_MCTU01000106.1	Vibrio splendidus	29497	SAMN05418199	166375	GCF_002873695.1	ASM287369v1
NZ_MCTR01000012.1	Vibrio splendidus	29497	SAMN05418202	481715	GCF_002873735.1	ASM287373v1
NZ_CP170016.1	Vibrio cyclitrophicus	47951	SAMN05418203	1749993	GCF_002873745.2	ASM287374v2
NZ_MCTM02000001.1	Vibrio lentus	136468	SAMN05418205	1930409	GCF_002873755.2	ASM287375v2
NZ_MCTL02000002.1	Vibrio lentus	136468	SAMN05418208	1930412	GCF_002873795.2	ASM287379v2
NZ_MCTE02000002.1	Vibrio cyclitrophicus	47951	SAMN05418216	1701978	GCF_002873815.2	ASM287381v2
NZ_CP170014.1	Vibrio cyclitrophicus	47951	SAMN05418213	1711691	GCF_002873825.2	ASM287382v2
NZ_MCTK02000001.1	Vibrio lentus	136468	SAMN05418209	1931941	GCF_002873855.2	ASM287385v2
NZ_MCTC02000001.1	Vibrio lentus	136468	SAMN05418215	1931932	GCF_002873875.2	ASM287387v2
NZ_MCSZ02000001.1	Vibrio lentus	136468	SAMN05418220	1930409	GCF_002873895.2	ASM287389v2
NZ_MCSY02000001.1	Vibrio cyclitrophicus	47951	SAMN05418221	3569551	GCF_002873905.2	ASM287390v2
NZ_CP170012.1	Vibrio cyclitrophicus	47951	SAMN05418218	1693415	GCF_002873935.2	ASM287393v2
NZ_MCSP02000001.1	Vibrio lentus	136468	SAMN05418229	1930621	GCF_002873955.2	ASM287395v2
NZ_MCSQ02000002.1	Vibrio cyclitrophicus	47951	SAMN05418230	1717274	GCF_002873965.2	ASM287396v2
NZ_MCSO01000135.1	Vibrio lentus	136468	SAMN05418231	27421	GCF_002873995.1	ASM287399v1
NZ_CP170002.1	Vibrio cyclitrophicus	47951	SAMN05418233	1700815	GCF_002874015.2	ASM287401v2
NZ_CP170000.1	Vibrio cyclitrophicus	47951	SAMN05418235	1663857	GCF_002874035.2	ASM287403v2
NZ_MCSI01000142.1	Vibrio lentus	136468	SAMN05418234	27421	GCF_002874075.1	ASM287407v1
NZ_MCSJ01000007.1	Vibrio lentus	136468	SAMN05418237	591454	GCF_002874085.1	ASM287408v1
NZ_MCWH02000002.1	Vibrio lentus	136468	SAMN05418134	2139029	GCF_002874115.2	ASM287411v2
NZ_MCWF02000003.1	Vibrio lentus	136468	SAMN05418136	621424	GCF_002874135.2	ASM287413v2
NZ_MCWG02000002.1	Vibrio lentus	136468	SAMN05418135	2032437	GCF_002874155.2	ASM287415v2
NZ_MCWE02000002.1	Vibrio lentus	136468	SAMN05418137	2037870	GCF_002874165.2	ASM287416v2
NZ_MCVY02000002.1	Vibrio cyclitrophicus	47951	SAMN05418143	1738006	GCF_002874205.2	ASM287420v2
NZ_MCVX02000002.1	Vibrio lentus	136468	SAMN05418144	2092226	GCF_002874235.2	ASM287423v2
NZ_MCVV02000001.1	Vibrio splendidus	29497	SAMN05418146	1964159	GCF_002874245.2	ASM287424v2
NZ_MCVS02000004.1	Vibrio lentus	136468	SAMN05418149	518247	GCF_002874275.2	ASM287427v2
NZ_MCVP02000001.1	Vibrio splendidus	29497	SAMN05418152	1923434	GCF_002874335.2	ASM287433v2
NZ_MCVB02000001.1	Enterovibrio norvegicus	188144	SAMN05418166	4027506	GCF_002874375.2	ASM287437v2
NZ_MCUU01000009.1	Vibrio cyclitrophicus	47951	SAMN05418173	400875	GCF_002874385.1	ASM287438v1
NZ_MCUT01000105.1	Vibrio sp. 10N.286.49.C2	1880856	SAMN05418174	223195	GCF_002874415.1	ASM287441v1
NZ_MCUS01000007.1	Vibrio lentus	136468	SAMN05418175	300042	GCF_002874435.1	ASM287443v1
NZ_MCUO01000022.1	Vibrio lentus	136468	SAMN05418180	348938	GCF_002874445.1	ASM287444v1
NZ_MCUE01000041.1	Vibrio lentus	136468	SAMN05418189	304360	GCF_002874485.1	ASM287448v1
NZ_MCTZ01000084.1	Vibrio lentus	136468	SAMN05418194	136125	GCF_002874515.1	ASM287451v1
NZ_MCTT01000014.1	Vibrio lentus	136468	SAMN05418200	348730	GCF_002874555.1	ASM287455v1
NZ_MCTS01000313.1	Vibrio splendidus	29497	SAMN05418201	23385	GCF_002874595.1	ASM287459v1
NZ_CP170018.1	Vibrio cyclitrophicus	47951	SAMN05418196	1660467	GCF_002874615.2	ASM287461v2
NZ_MCTN02000001.1	Vibrio lentus	136468	SAMN05418207	1679577	GCF_002874655.2	ASM287465v2
NZ_MCTJ02000001.1	Vibrio lentus	136468	SAMN05418210	1930381	GCF_002874685.2	ASM287468v2
NZ_MCTI02000001.1	Vibrio lentus	136468	SAMN05418211	1930381	GCF_002874695.2	ASM287469v2
NZ_MCTF01000297.1	Vibrio lentus	136468	SAMN05418214	9065	GCF_002874745.1	ASM287474v1
NZ_CP170588.1	Vibrio cyclitrophicus	47951	SAMN05418219	1750948	GCF_002874765.2	ASM287476v2
NZ_MCTD02000001.1	Vibrio lentus	136468	SAMN05418217	2817922	GCF_002874785.2	ASM287478v2
NZ_MCSW01000175.1	Vibrio splendidus	29497	SAMN05418223	163466	GCF_002874795.1	ASM287479v1
NZ_CP170010.1	Vibrio cyclitrophicus	47951	SAMN05418222	1716965	GCF_002874845.2	ASM287484v2
NZ_MCST02000002.1	Vibrio lentus	136468	SAMN05418226	1930246	GCF_002874865.2	ASM287486v2
NZ_MCSU02000001.1	Vibrio lentus	136468	SAMN05418225	2322971	GCF_002874875.2	ASM287487v2
NZ_CP170008.1	Vibrio cyclitrophicus	47951	SAMN05418224	1744928	GCF_002874905.2	ASM287490v2
NZ_MCSS01000262.1	Vibrio lentus	136468	SAMN05418227	93255	GCF_002874925.1	ASM287492v1
NZ_CP170006.1	Vibrio cyclitrophicus	47951	SAMN05418228	1661275	GCF_002874945.2	ASM287494v2
NZ_MDBY01000069.1	Vibrio splendidus	29497	SAMN05417987	20748	GCF_002875005.1	ASM287500v1
NZ_CP170047.1	Vibrio cyclitrophicus	47951	SAMN05417988	1813171	GCF_002875015.2	ASM287501v2
NZ_MDBV01000115.1	Vibrio splendidus	29497	SAMN05417990	137025	GCF_002875045.1	ASM287504v1
NZ_MDBW01000157.1	Vibrio splendidus	29497	SAMN05417989	20858	GCF_002875065.1	ASM287506v1
NZ_MDBR01000149.1	Vibrio splendidus	29497	SAMN05417993	20842	GCF_002875085.1	ASM287508v1
NZ_MDBU01000167.1	Vibrio splendidus	29497	SAMN05417991	20857	GCF_002875095.1	ASM287509v1
NZ_MDBP01000032.1	Vibrio tasmaniensis	212663	SAMN05417996	277745	GCF_002875145.1	ASM287514v1
NZ_MDBK01000083.1	Vibrio splendidus	29497	SAMN05418001	20750	GCF_002875225.1	ASM287522v1
NZ_MDBE01000015.1	Vibrio splendidus	29497	SAMN05418007	107251	GCF_002875305.1	ASM287530v1
NZ_MDAZ01000016.1	Vibrio splendidus	29497	SAMN05418012	294416	GCF_002875345.1	ASM287534v1
NZ_MDAW01000098.1	Vibrio sp. 10N.222.52.B12	1880840	SAMN05418015	204836	GCF_002875385.1	ASM287538v1
NZ_MDAY01000002.1	Vibrio splendidus	29497	SAMN05418013	538411	GCF_002875395.1	ASM287539v1
NZ_MDAR01000105.1	Vibrio sp. 10N.222.54.B6	1884468	SAMN05418020	87408	GCF_002875485.1	ASM287548v1
NZ_MDAO01000068.1	Vibrio splendidus	29497	SAMN05418023	308137	GCF_002875495.1	ASM287549v1
NZ_MDAN01000186.1	Vibrio sp. 10N.222.55.C12	1884470	SAMN05418024	84713	GCF_002875525.1	ASM287552v1
NZ_MDAL01000040.1	Enterovibrio norvegicus	188144	SAMN05418027	98345	GCF_002875545.1	ASM287554v1
NZ_MDAK01000024.1	Vibrio sp. 10N.261.45.A1	1880841	SAMN05418026	41871	GCF_002875555.1	ASM287555v1
NZ_MDAJ01000003.1	Vibrio splendidus	29497	SAMN05418028	89189	GCF_002875585.1	ASM287558v1
NZ_MDAI01000138.1	Vibrio sp. 10N.261.45.A6	1880842	SAMN05418029	85299	GCF_002875605.1	ASM287560v1
NZ_MDAE01000002.1	Vibrio lentus	136468	SAMN05418033	427999	GCF_002875625.1	ASM287562v1
NZ_MDAD01000076.1	Enterovibrio norvegicus	188144	SAMN05418034	88184	GCF_002875635.1	ASM287563v1
NZ_MDAH01000001.1	Vibrio lentus	136468	SAMN05418030	348902	GCF_002875665.1	ASM287566v1
NZ_MDAB01000139.1	Vibrio sp. 10N.261.45.E11	1880843	SAMN05418036	41761	GCF_002875685.1	ASM287568v1
NZ_MCZZ01000089.1	Vibrio sp. 10N.261.45.E2	1880844	SAMN05418038	41871	GCF_002875705.1	ASM287570v1
NZ_MDAA01000045.1	Vibrio lentus	136468	SAMN05418037	584729	GCF_002875715.1	ASM287571v1
NZ_MCZY01000010.1	Vibrio lentus	136468	SAMN05418039	404992	GCF_002875745.1	ASM287574v1
NZ_CP170599.1	Vibrio cyclitrophicus	47951	SAMN05418041	1660545	GCF_002875755.2	ASM287575v2
NZ_MCZU01000018.1	Vibrio lentus	136468	SAMN05418043	67195	GCF_002875785.1	ASM287578v1
NZ_MCZR01000023.1	Vibrio lentus	136468	SAMN05418046	69661	GCF_002875805.1	ASM287580v1
NZ_MCZV01000001.1	Vibrio lentus	136468	SAMN05418042	419804	GCF_002875825.1	ASM287582v1
NZ_MCZT01000040.1	Vibrio lentus	136468	SAMN05418044	709268	GCF_002875845.1	ASM287584v1
NZ_MCZQ02000002.1	Vibrio lentus	136468	SAMN05418047	1936525	GCF_002875865.2	ASM287586v2
NZ_MCZN01000011.1	Vibrio sp. 10N.261.46.E8	1880845	SAMN05418050	42243	GCF_002875885.1	ASM287588v1
NZ_MCZL01000172.1	Vibrio sp. 10N.261.46.F12	1880846	SAMN05418052	41795	GCF_002875905.1	ASM287590v1
NZ_MCZK01000102.1	Vibrio lentus	136468	SAMN05418053	218172	GCF_002875945.1	ASM287594v1
NZ_MCZJ01000046.1	Vibrio lentus	136468	SAMN05418054	697877	GCF_002875965.1	ASM287596v1
NZ_MCZF01000272.1	Vibrio splendidus	29497	SAMN05418058	68002	GCF_002875995.1	ASM287599v1
NZ_MCZI01000034.1	Vibrio lentus	136468	SAMN05418055	660357	GCF_002876025.1	ASM287602v1
NZ_MCZE01000015.1	Vibrio splendidus	29497	SAMN05418059	129137	GCF_002876045.1	ASM287604v1
NZ_MCZD01000003.1	Vibrio lentus	136468	SAMN05418060	156855	GCF_002876065.1	ASM287606v1
NZ_MCZC01000014.1	Vibrio lentus	136468	SAMN05418061	304369	GCF_002876085.1	ASM287608v1
NZ_MCZB01000226.1	Vibrio lentus	136468	SAMN05418062	73436	GCF_002876105.1	ASM287610v1
NZ_MCYL01000024.1	Vibrio lentus	136468	SAMN05418078	794369	GCF_002876225.1	ASM287622v1
NZ_MCYJ01000090.1	Vibrio tasmaniensis	212663	SAMN05418080	59374	GCF_002876245.1	ASM287624v1
NZ_MCYK01000004.1	Vibrio lentus	136468	SAMN05418079	73878	GCF_002876255.1	ASM287625v1
NZ_MCYG01000017.1	Vibrio lentus	136468	SAMN05418083	232855	GCF_002876285.1	ASM287628v1
NZ_MCYC01000047.1	Vibrio tasmaniensis	212663	SAMN05418087	135695	GCF_002876335.1	ASM287633v1
NZ_MCYA01000054.1	Vibrio lentus	136468	SAMN05418089	647236	GCF_002876365.1	ASM287636v1
NZ_MCXX01000018.1	Vibrio lentus	136468	SAMN05418092	297068	GCF_002876405.1	ASM287640v1
NZ_MCXW01000009.1	Vibrio lentus	136468	SAMN05418093	388051	GCF_002876415.1	ASM287641v1
NZ_CP170032.1	Vibrio cyclitrophicus	47951	SAMN05418091	1669209	GCF_002876425.2	ASM287642v2
NZ_MDBT01000028.1	Vibrio splendidus	29497	SAMN05417992	20857	GCF_002876465.1	ASM287646v1
NZ_MDBG01000080.1	Vibrio tasmaniensis	212663	SAMN05418005	268288	GCF_002876485.1	ASM287648v1
NZ_CP170590.1	Vibrio cyclitrophicus	47951	SAMN05417994	1860313	GCF_002876525.2	ASM287652v2
NZ_MDAX01000020.1	Vibrio splendidus	29497	SAMN05418014	314243	GCF_002876565.1	ASM287656v1
NZ_MDAS01000047.1	Vibrio splendidus	29497	SAMN05418019	45272	GCF_002876645.1	ASM287664v1
NZ_MDAM01000139.1	Vibrio sp. 10N.222.55.F9	1884471	SAMN05418025	88765	GCF_002876665.1	ASM287666v1
NZ_MDAQ01000119.1	Vibrio sp. 10N.222.54.F10	1884469	SAMN05418021	87915	GCF_002876675.1	ASM287667v1
NZ_MDAG01000057.1	Enterovibrio norvegicus	188144	SAMN05418031	772457	GCF_002876705.1	ASM287670v1
NZ_MCZS01000014.1	Vibrio splendidus	29497	SAMN05418045	129141	GCF_002876745.1	ASM287674v1
NZ_MCZX01000227.1	Vibrio splendidus	29497	SAMN05418040	80227	GCF_002876785.1	ASM287678v1
NZ_MCZM01000070.1	Vibrio splendidus	29497	SAMN05418051	287540	GCF_002876825.1	ASM287682v1
NZ_MCZH01000002.1	Vibrio lentus	136468	SAMN05418057	321605	GCF_002876845.1	ASM287684v1
NZ_MCYW01000049.1	Vibrio kanaloae	170673	SAMN05418067	117667	GCF_002876865.1	ASM287686v1
NZ_MCYX01000240.1	Vibrio splendidus	29497	SAMN05418066	38265	GCF_002876905.1	ASM287690v1
NZ_MCYT01000042.1	Vibrio sp. 10N.261.49.E11	1880848	SAMN05418070	18157	GCF_002876915.1	ASM287691v1
NZ_MCYV02000001.1	Vibrio splendidus	29497	SAMN05418069	2648944	GCF_002876945.2	ASM287694v2
NZ_MCYP02000002.1	Vibrio lentus	136468	SAMN05418074	1945085	GCF_002877005.2	ASM287700v2
NZ_MCYQ01000040.1	Enterovibrio norvegicus	188144	SAMN05418073	84983	GCF_002877015.1	ASM287701v1
NZ_MCYN02000001.1	Vibrio lentus	136468	SAMN05418076	1961454	GCF_002877065.2	ASM287706v2
NZ_MCYF01000001.1	Vibrio lentus	136468	SAMN05418084	304357	GCF_002877115.1	ASM287711v1
NZ_MCXP02000001.1	Vibrio splendidus	29497	SAMN05418100	1832390	GCF_002877195.2	ASM287719v2
NZ_MCXK02000001.1	Vibrio splendidus	29497	SAMN05418105	1913284	GCF_002877225.2	ASM287722v2
NZ_MCXJ01000021.1	Vibrio lentus	136468	SAMN05418106	419970	GCF_002877235.1	ASM287723v1
NZ_MCXG02000002.1	Vibrio sp. 10N.261.54.C3	1884474	SAMN05418109	1655473	GCF_002877245.2	ASM287724v2
NZ_MCXD01000131.1	Vibrio splendidus	29497	SAMN05418112	102708	GCF_002877315.1	ASM287731v1
NZ_MCXB02000001.1	Vibrio splendidus	29497	SAMN05418114	1961140	GCF_002877345.2	ASM287734v2
NZ_MCXC01000001.1	Vibrio cyclitrophicus	47951	SAMN05418113	190841	GCF_002877375.1	ASM287737v1
NZ_MCWY02000013.1	Vibrio lentus	136468	SAMN05418117	160424	GCF_002877415.2	ASM287741v2
NZ_MCWX02000053.1	Vibrio lentus	136468	SAMN05418118	36434	GCF_002877445.2	ASM287744v2
NZ_CP170029.1	Vibrio cyclitrophicus	47951	SAMN05418119	1704215	GCF_002877465.2	ASM287746v2
NZ_MCWT02000002.1	Vibrio lentus	136468	SAMN05418122	2058037	GCF_002877485.2	ASM287748v2
NZ_CP170026.1	Vibrio cyclitrophicus	47951	SAMN05418123	1762888	GCF_002877505.2	ASM287750v2
NZ_MCWO01000183.1	Vibrio splendidus	29497	SAMN05418127	39347	GCF_002877525.1	ASM287752v1
NZ_MCWR02000002.1	Vibrio lentus	136468	SAMN05418124	2067687	GCF_002877535.2	ASM287753v2
