Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min
WP_317199288.1	259303	uncultured Psychrobacter sp.	8066	9829	+	NZ_CANLXO010000004.1	GCF_947495055.1	1764	588	WP_317199288.1	OBi1_02316	44.637	578	303	4	11	588	10	570	2.57e-169	504	hydroxylase	0
WP_298920544.1	114847	uncultured Roseobacter sp.	35067	36542	+	NZ_CANLYL010000009.1	GCF_947495275.1	1476	492	WP_298920544.1	OBi1_02319	61.441	472	182	0	17	488	16	487	0	600	aminoaldehyde dehydrogenase	2449
WP_298920233.1	114847	uncultured Roseobacter sp.	36542	37519	+	NZ_CANLYL010000009.1	GCF_947495275.1	978	326	WP_298920233.1	OBi1_02318	61.076	316	123	0	6	321	1	316	1.32e-143	418	aminohydrolase	974
WP_298920237.1	114847	uncultured Roseobacter sp.	39198	39830	+	NZ_CANLYL010000009.1	GCF_947495275.1	633	211	WP_298920237.1	SPO3188	49.048	210	107	0	1	210	1	210	7.46e-61	199	dehydrogenase	1682
WP_298920236.1	114847	uncultured Roseobacter sp.	37516	39201	+	NZ_CANLYL010000009.1	GCF_947495275.1	1686	562	WP_298920236.1	OBi1_02316	41.786	560	308	7	18	570	9	557	5.1e-128	397	hydroxylase	0
WP_298920239.1	114847	uncultured Roseobacter sp.	39952	41784	+	NZ_CANLYL010000009.1	GCF_947495275.1	1833	611	WP_298920239.1	OBi1_02317	27.105	487	267	13	99	502	100	581	7.15e-31	138	permease	2436
WP_299002241.1	173975	uncultured Shewanella sp.	97666	98064	-	NZ_CANLZC010000003.1	GCF_947495455.1	399	133	WP_299002241.1	OBi1_02314	66.116	121	41	0	3	123	8	128	2.54e-54	176	RidA	4189
WP_299002240.1	173975	uncultured Shewanella sp.	96159	97607	-	NZ_CANLZC010000003.1	GCF_947495455.1	1449	483	WP_299002240.1	OBi1_02319	63.136	472	174	0	16	487	9	480	0	625	aminoaldehyde dehydrogenase	2682
WP_299002239.1	173975	uncultured Shewanella sp.	95145	96149	-	NZ_CANLZC010000003.1	GCF_947495455.1	1005	335	WP_299002239.1	OBi1_02318	60.671	328	129	0	1	328	1	328	3.49e-150	435	aminohydrolase	1668
WP_299002234.1	173975	uncultured Shewanella sp.	90941	91702	-	NZ_CANLZC010000003.1	GCF_947495455.1	762	254	WP_299002234.1	OBi1_02315	26.538	260	172	5	1	260	10	250	6.14e-15	83.2	dehydrogenase	2536
WP_299002236.1	173975	uncultured Shewanella sp.	91725	93416	-	NZ_CANLZC010000003.1	GCF_947495455.1	1692	564	WP_299002236.1	OBi1_02316	46.809	564	284	4	11	574	8	555	1.89e-174	516	hydroxylase	1752
WP_299002238.1	173975	uncultured Shewanella sp.	93477	95063	-	NZ_CANLZC010000003.1	GCF_947495455.1	1587	529	WP_299002238.1	OBi1_02317	50.201	498	245	1	25	522	32	526	4.4e-172	506	permease	0
WP_282152693.1	81569	Ruegeria atlantica	175964	177409	+	NZ_CANLZK010000006.1	GCF_947495585.1	1446	482	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	1445
WP_282152694.1	81569	Ruegeria atlantica	177409	178386	+	NZ_CANLZK010000006.1	GCF_947495585.1	978	326	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_282152696.1	81569	Ruegeria atlantica	180065	180694	+	NZ_CANLZK010000006.1	GCF_947495585.1	630	210	WP_058275407.1	SPO3188	53.81	210	96	1	1	210	1	209	3.96e-57	189	dehydrogenase	2656
WP_282152695.1	81569	Ruegeria atlantica	178383	180068	+	NZ_CANLZK010000006.1	GCF_947495585.1	1686	562	WP_170560497.1	OBi1_02316	43.063	555	304	5	20	570	11	557	3.45e-129	400	hydroxylase	974
WP_298723370.1	353858	uncultured Oceanisphaera sp.	14689	15063	+	NZ_CANLZU010000032.1	GCF_947495715.1	375	125	WP_106454525.1	OBi1_02314	64.754	122	43	0	1	122	1	122	4.02e-50	165	RidA	4180
WP_298723361.1	353858	uncultured Oceanisphaera sp.	10509	11951	+	NZ_CANLZU010000032.1	GCF_947495715.1	1443	481	WP_106454527.1	OBi1_02319	71.61	472	134	0	17	488	9	480	0	701	aminoaldehyde dehydrogenase	0
WP_298723364.1	353858	uncultured Oceanisphaera sp.	11965	12975	+	NZ_CANLZU010000032.1	GCF_947495715.1	1011	337	WP_071472083.1	OBi1_02318	76.22	328	78	0	1	328	5	332	0	532	aminohydrolase	1456
WP_298723352.1	353858	uncultured Oceanisphaera sp.	6700	7449	-	NZ_CANLZU010000032.1	GCF_947495715.1	750	250	WP_202082440.1	OBi1_02315	32.549	255	163	3	1	255	1	246	1.55e-35	137	dehydrogenase	3809
WP_298723355.1	353858	uncultured Oceanisphaera sp.	7449	9170	-	NZ_CANLZU010000032.1	GCF_947495715.1	1722	574	WP_071472080.1	OBi1_02316	49.389	573	274	5	9	573	3	567	8.24e-177	523	hydroxylase	3060
WP_298723367.1	353858	uncultured Oceanisphaera sp.	13033	14595	+	NZ_CANLZU010000032.1	GCF_947495715.1	1563	521	WP_107850725.1	OBi1_02317	55.23	478	211	1	45	522	46	520	0	531	permease	2524
WP_289032999.1	1936171	uncultured Roseibium sp.	648948	650402	+	NZ_CANMAL010000001.1	GCF_947495835.1	1455	485	WP_289032999.1	OBi1_02319	58.635	469	194	0	18	486	10	478	0	596	aminoaldehyde dehydrogenase	0
WP_289033001.1	1936171	uncultured Roseibium sp.	650399	651403	+	NZ_CANMAL010000001.1	GCF_947495835.1	1005	335	WP_289033001.1	OBi1_02318	59.306	317	129	0	8	324	5	321	1.47e-138	405	aminohydrolase	1451
WP_289033005.1	1936171	uncultured Roseibium sp.	653076	653762	+	NZ_CANMAL010000001.1	GCF_947495835.1	687	229	WP_289033005.1	SPO3188	31.963	219	128	9	3	210	20	228	6.12e-11	70.5	dehydrogenase	4128
WP_289033003.1	1936171	uncultured Roseibium sp.	651400	653079	+	NZ_CANMAL010000001.1	GCF_947495835.1	1680	560	WP_289033003.1	OBi1_02316	42.752	545	294	7	20	554	17	553	1.39e-125	391	hydroxylase	2452
WP_282169051.1	81569	Ruegeria atlantica	491466	492911	+	NZ_CANMAM010000002.1	GCF_947495815.1	1446	482	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	1445
WP_282169052.1	81569	Ruegeria atlantica	492911	493888	+	NZ_CANMAM010000002.1	GCF_947495815.1	978	326	WP_037308798.1	OBi1_02318	60.317	315	123	2	8	321	7	320	2.15e-139	407	aminohydrolase	0
WP_282169054.1	81569	Ruegeria atlantica	495567	496196	+	NZ_CANMAM010000002.1	GCF_947495815.1	630	210	WP_058275407.1	SPO3188	53.81	210	96	1	1	210	1	209	3.96e-57	189	dehydrogenase	2656
WP_282169053.1	81569	Ruegeria atlantica	493885	495570	+	NZ_CANMAM010000002.1	GCF_947495815.1	1686	562	WP_170560497.1	OBi1_02316	43.063	555	304	5	20	570	11	557	3.45e-129	400	hydroxylase	974
WP_299733670.1	432652	uncultured Endozoicomonas sp.	74964	75338	+	NZ_CANMAO010000020.1	GCF_947495845.1	375	125	WP_261842791.1	OBi1_02314	61.905	126	48	0	1	126	1	126	3.35e-49	163	RidA	4212
WP_299733666.1	432652	uncultured Endozoicomonas sp.	70752	72197	+	NZ_CANMAO010000020.1	GCF_947495845.1	1446	482	WP_299733666.1	OBi1_02319	69.767	473	142	1	17	488	9	481	0	698	aminoaldehyde dehydrogenase	0
WP_299733668.1	432652	uncultured Endozoicomonas sp.	72213	73214	+	NZ_CANMAO010000020.1	GCF_947495845.1	1002	334	WP_067587117.1	OBi1_02318	71.341	328	94	0	1	328	5	332	6.92e-179	508	aminohydrolase	1461
WP_299733660.1	432652	uncultured Endozoicomonas sp.	67044	67793	-	NZ_CANMAO010000020.1	GCF_947495845.1	750	250	WP_067587129.1	OBi1_02315	30.62	258	168	5	1	256	1	249	1.02e-36	140	dehydrogenase	3708
WP_299733662.1	432652	uncultured Endozoicomonas sp.	67790	69568	-	NZ_CANMAO010000020.1	GCF_947495845.1	1779	593	WP_067587126.1	OBi1_02316	48.754	562	274	6	17	574	17	568	1.15e-168	503	hydroxylase	2962
WP_299733679.1	432652	uncultured Endozoicomonas sp.	73367	74875	+	NZ_CANMAO010000020.1	GCF_947495845.1	1509	503	WP_095211440.1	OBi1_02317	55.172	522	225	2	1	522	9	521	0	548	permease	2615
WP_299641645.1	259304	uncultured Ruegeria sp.	5092	6534	-	NZ_CANMAZ010000084.1	GCF_947495935.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	2667
WP_299641643.1	259304	uncultured Ruegeria sp.	4118	5092	-	NZ_CANMAZ010000084.1	GCF_947495935.1	975	325	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	1693
WP_299641639.1	259304	uncultured Ruegeria sp.	1799	2428	-	NZ_CANMAZ010000084.1	GCF_947495935.1	630	210	WP_117871116.1	SPO3188	50.476	210	103	1	1	210	1	209	9.33e-56	186	dehydrogenase	626
WP_299641641.1	259304	uncultured Ruegeria sp.	2425	4113	-	NZ_CANMAZ010000084.1	GCF_947495935.1	1689	563	WP_170345752.1	OBi1_02316	41.982	555	310	5	20	570	12	558	2.38e-129	400	hydroxylase	0
WP_271949981.1	686389	Ruegeria faecimaris	79658	81100	-	NZ_CANMDC010000006.1	GCF_947496565.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	974
WP_271949980.1	686389	Ruegeria faecimaris	78684	79658	-	NZ_CANMDC010000006.1	GCF_947496565.1	975	325	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_271949978.1	686389	Ruegeria faecimaris	76365	76994	-	NZ_CANMDC010000006.1	GCF_947496565.1	630	210	WP_142637755.1	SPO3188	54.762	210	94	1	1	210	1	209	1.26e-59	196	dehydrogenase	2319
WP_271949979.1	686389	Ruegeria faecimaris	76991	78679	-	NZ_CANMDC010000006.1	GCF_947496565.1	1689	563	WP_142637757.1	OBi1_02316	40.966	559	318	5	20	574	12	562	3.67e-122	382	hydroxylase	1693
WP_271949981.1	686389	Ruegeria faecimaris	89228	90670	+	NZ_CANMET010000013.1	GCF_947496935.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	1442
WP_281973181.1	686389	Ruegeria faecimaris	90670	91644	+	NZ_CANMET010000013.1	GCF_947496935.1	975	325	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_281995503.1	686389	Ruegeria faecimaris	93334	93963	+	NZ_CANMET010000013.1	GCF_947496935.1	630	210	WP_142637755.1	SPO3188	54.762	210	94	1	1	210	1	209	1.26e-59	196	dehydrogenase	2664
WP_281995504.1	686389	Ruegeria faecimaris	91649	93337	+	NZ_CANMET010000013.1	GCF_947496935.1	1689	563	WP_142637757.1	OBi1_02316	40.966	559	318	5	20	574	12	562	3.67e-122	382	hydroxylase	979
WP_298851191.1	259304	uncultured Ruegeria sp.	130471	131913	+	NZ_CANMFF010000008.1	GCF_947497005.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	1442
WP_298851193.1	259304	uncultured Ruegeria sp.	131913	132887	+	NZ_CANMFF010000008.1	GCF_947497005.1	975	325	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_298851197.1	259304	uncultured Ruegeria sp.	134577	135206	+	NZ_CANMFF010000008.1	GCF_947497005.1	630	210	WP_298851197.1	SPO3188	50	210	104	1	1	210	1	209	1.06e-57	191	dehydrogenase	2664
WP_298851194.1	259304	uncultured Ruegeria sp.	132892	134580	+	NZ_CANMFF010000008.1	GCF_947497005.1	1689	563	WP_298851194.1	OBi1_02316	44.424	547	293	5	20	560	12	553	2.1e-136	419	hydroxylase	979
WP_089887217.1	1434014	Lentibacter algarum	53648	55099	-	NZ_CANMFH010000008.1	GCF_947497165.1	1452	484	WP_298675420.1	OBi1_02319	61.359	471	182	0	18	488	9	479	0	603	aminoaldehyde dehydrogenase	2646
WP_271437333.1	1434014	Lentibacter algarum	52666	53643	-	NZ_CANMFH010000008.1	GCF_947497165.1	978	326	WP_298675423.1	OBi1_02318	60	320	126	2	5	323	1	319	3.57e-141	412	aminohydrolase	1664
WP_089887211.1	1434014	Lentibacter algarum	50442	51005	-	NZ_CANMFH010000008.1	GCF_947497165.1	564	188	WP_089887211.1	SPO3188	32.547	212	114	5	1	209	1	186	2.9e-10	67.8	dehydrogenase	560
WP_271437332.1	1434014	Lentibacter algarum	51002	52669	-	NZ_CANMFH010000008.1	GCF_947497165.1	1668	556	WP_089887213.1	OBi1_02316	43.58	553	294	6	17	560	4	547	1.7e-125	390	hydroxylase	0
WP_282096221.1	1156985	Epibacterium ulvae	70088	71539	-	NZ_CANMHN010000014.1	GCF_947497685.1	1452	484	WP_039019875.1	OBi1_02319	61.146	471	183	0	18	488	9	479	0	608	aminoaldehyde dehydrogenase	2567
WP_282096220.1	1156985	Epibacterium ulvae	69114	70088	-	NZ_CANMHN010000014.1	GCF_947497685.1	975	325	WP_228848081.1	OBi1_02318	61.538	312	120	0	6	317	1	312	1.7e-143	418	aminohydrolase	1593
WP_282096217.1	1156985	Epibacterium ulvae	65111	65758	-	NZ_CANMHN010000014.1	GCF_947497685.1	648	216	WP_090218025.1	SPO3188	44.186	215	115	2	1	210	1	215	1.83e-42	152	dehydrogenase	2410
WP_282096218.1	1156985	Epibacterium ulvae	65762	67468	-	NZ_CANMHN010000014.1	GCF_947497685.1	1707	569	WP_090218026.1	OBi1_02316	41.049	553	314	7	16	560	10	558	3.94e-120	377	hydroxylase	1759
WP_282096219.1	1156985	Epibacterium ulvae	67521	69056	-	NZ_CANMHN010000014.1	GCF_947497685.1	1536	512	WP_090218029.1	OBi1_02317	50.305	491	241	1	20	507	8	498	1.24e-154	461	permease	0
WP_299178829.1	502143	uncultured Neptuniibacter sp.	231226	231600	-	NZ_CANMIR010000003.1	GCF_947498015.1	375	125	WP_106454525.1	OBi1_02314	64.754	122	43	0	1	122	1	122	4.02e-50	165	RidA	3133
WP_299178835.1	502143	uncultured Neptuniibacter sp.	234359	235801	-	NZ_CANMIR010000003.1	GCF_947498015.1	1443	481	WP_138986028.1	OBi1_02319	70.613	473	138	1	17	488	9	481	0	698	aminoaldehyde dehydrogenase	0
WP_299178833.1	502143	uncultured Neptuniibacter sp.	233346	234335	-	NZ_CANMIR010000003.1	GCF_947498015.1	990	330	WP_299178833.1	OBi1_02318	72.561	328	90	0	1	328	1	328	0	518	aminohydrolase	1013
WP_299178842.1	502143	uncultured Neptuniibacter sp.	240424	241173	+	NZ_CANMIR010000003.1	GCF_947498015.1	750	250	WP_299178842.1	OBi1_02315	30.469	256	168	4	1	255	1	247	7.25e-35	135	dehydrogenase	6065
WP_299178841.1	502143	uncultured Neptuniibacter sp.	238703	240427	+	NZ_CANMIR010000003.1	GCF_947498015.1	1725	575	WP_299178841.1	OBi1_02316	47.78	563	284	5	14	574	14	568	2.36e-178	526	hydroxylase	4344
WP_299178831.1	502143	uncultured Neptuniibacter sp.	231673	233256	-	NZ_CANMIR010000003.1	GCF_947498015.1	1584	528	WP_217647455.1	OBi1_02317	57.315	499	209	2	25	522	11	506	0	548	permease	2686
WP_299141786.1	455651	uncultured Tateyamaria sp.	320113	321564	-	NZ_CANMJF010000003.1	GCF_947498165.1	1452	484	WP_147125441.1	OBi1_02319	60.297	471	187	0	18	488	9	479	0	590	aminoaldehyde dehydrogenase	2696
WP_299141784.1	455651	uncultured Tateyamaria sp.	319118	320113	-	NZ_CANMJF010000003.1	GCF_947498165.1	996	332	WP_299141784.1	OBi1_02318	59.215	331	133	2	4	333	2	331	4.65e-139	407	aminohydrolase	1701
WP_299164999.1	455651	uncultured Tateyamaria sp.	316785	317417	-	NZ_CANMJF010000003.1	GCF_947498165.1	633	211	WP_299295181.1	SPO3188	43.75	208	109	4	3	203	2	208	1.14e-29	119	dehydrogenase	632
WP_299165001.1	455651	uncultured Tateyamaria sp.	317417	319099	-	NZ_CANMJF010000003.1	GCF_947498165.1	1683	561	WP_299295183.1	OBi1_02316	43.165	556	298	6	19	570	13	554	3.97e-129	400	hydroxylase	0
WP_299900292.1	259304	uncultured Ruegeria sp.	111804	113261	+	NZ_CANMJO010000008.1	GCF_947498275.1	1458	486	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	1457
WP_299900295.1	259304	uncultured Ruegeria sp.	113261	114235	+	NZ_CANMJO010000008.1	GCF_947498275.1	975	325	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_299900302.1	259304	uncultured Ruegeria sp.	115925	116554	+	NZ_CANMJO010000008.1	GCF_947498275.1	630	210	WP_117871116.1	SPO3188	50.476	210	103	1	1	210	1	209	9.33e-56	186	dehydrogenase	2664
WP_299900299.1	259304	uncultured Ruegeria sp.	114240	115928	+	NZ_CANMJO010000008.1	GCF_947498275.1	1689	563	WP_170345752.1	OBi1_02316	41.982	555	310	5	20	570	12	558	2.38e-129	400	hydroxylase	979
WP_299932111.1	1618102	uncultured Pelagimonas sp.	453272	454723	+	NZ_CANMKO010000001.1	GCF_947498515.1	1452	484	WP_283425335.1	OBi1_02319	61.864	472	180	0	17	488	8	479	0	610	aminoaldehyde dehydrogenase	1451
WP_299932536.1	1618102	uncultured Pelagimonas sp.	454723	455700	+	NZ_CANMKO010000001.1	GCF_947498515.1	978	326	WP_283425336.1	OBi1_02318	59.621	317	128	0	6	322	1	317	1.33e-142	416	aminohydrolase	0
WP_299932116.1	1618102	uncultured Pelagimonas sp.	457379	458005	+	NZ_CANMKO010000001.1	GCF_947498515.1	627	209	WP_299932116.1	SPO3188	47.907	215	100	3	1	210	1	208	3.52e-50	171	dehydrogenase	2656
WP_299932113.1	1618102	uncultured Pelagimonas sp.	455745	457382	+	NZ_CANMKO010000001.1	GCF_947498515.1	1638	546	WP_299932113.1	OBi1_02316	41.367	556	308	6	26	574	1	545	8.22e-126	391	hydroxylase	1022
WP_062687720.1	875932	Photobacterium sanguinicancri	404121	404522	+	NZ_CANMLA010000001.1	GCF_947498665.1	402	134	WP_303556119.1	OBi1_02314	71.667	120	34	0	3	122	8	127	1.93e-57	184	RidA	491
WP_281221884.1	875932	Photobacterium sanguinicancri	404612	406072	+	NZ_CANMLA010000001.1	GCF_947498665.1	1461	487	WP_171330090.1	OBi1_02319	64.557	474	168	0	12	485	9	482	0	665	aminoaldehyde dehydrogenase	0
WP_281221826.1	875932	Photobacterium sanguinicancri	406174	407163	+	NZ_CANMLA010000001.1	GCF_947498665.1	990	330	WP_017051352.1	OBi1_02318	61.42	324	125	0	1	324	1	324	1.33e-153	444	aminohydrolase	1562
WP_281221828.1	875932	Photobacterium sanguinicancri	410816	411544	+	NZ_CANMLA010000001.1	GCF_947498665.1	729	243	WP_094957555.1	OBi1_02315	27.692	260	162	7	1	255	1	239	5.69e-14	80.5	dehydrogenase	6204
WP_281221827.1	875932	Photobacterium sanguinicancri	409062	410816	+	NZ_CANMLA010000001.1	GCF_947498665.1	1755	585	WP_239928795.1	OBi1_02316	45.983	585	300	6	12	589	6	581	2.55e-176	522	hydroxylase	4450
WP_062687723.1	875932	Photobacterium sanguinicancri	407337	408929	+	NZ_CANMLA010000001.1	GCF_947498665.1	1593	531	WP_303556122.1	OBi1_02317	48.846	520	257	2	4	523	20	530	3.99e-170	501	permease	2725
WP_299295188.1	455651	uncultured Tateyamaria sp.	167388	168839	+	NZ_CANMNJ010000003.1	GCF_947499225.1	1452	484	WP_147125441.1	OBi1_02319	60.297	471	187	0	18	488	9	479	0	590	aminoaldehyde dehydrogenase	2465
WP_299295186.1	455651	uncultured Tateyamaria sp.	168839	169834	+	NZ_CANMNJ010000003.1	GCF_947499225.1	996	332	WP_299141784.1	OBi1_02318	59.215	331	133	2	4	333	2	331	4.65e-139	407	aminohydrolase	1014
WP_299295181.1	455651	uncultured Tateyamaria sp.	171535	172167	+	NZ_CANMNJ010000003.1	GCF_947499225.1	633	211	WP_299295181.1	SPO3188	43.75	208	109	4	3	203	2	208	1.14e-29	119	dehydrogenase	1682
WP_299295183.1	455651	uncultured Tateyamaria sp.	169853	171535	+	NZ_CANMNJ010000003.1	GCF_947499225.1	1683	561	WP_299295183.1	OBi1_02316	43.165	556	298	6	19	570	13	554	3.97e-129	400	hydroxylase	0
WP_299920946.1	1618102	uncultured Pelagimonas sp.	140224	141675	-	NZ_CANMPW010000001.1	GCF_947499865.1	1452	484	WP_283425335.1	OBi1_02319	61.864	472	180	0	17	488	8	479	0	610	aminoaldehyde dehydrogenase	2659
WP_299920944.1	1618102	uncultured Pelagimonas sp.	139247	140224	-	NZ_CANMPW010000001.1	GCF_947499865.1	978	326	WP_283425336.1	OBi1_02318	59.621	317	128	0	6	322	1	317	1.33e-142	416	aminohydrolase	1682
WP_299920939.1	1618102	uncultured Pelagimonas sp.	136942	137568	-	NZ_CANMPW010000001.1	GCF_947499865.1	627	209	WP_299932116.1	SPO3188	47.907	215	100	3	1	210	1	208	3.52e-50	171	dehydrogenase	623
WP_299920942.1	1618102	uncultured Pelagimonas sp.	137565	139202	-	NZ_CANMPW010000001.1	GCF_947499865.1	1638	546	WP_299932113.1	OBi1_02316	41.367	556	308	6	26	574	1	545	8.22e-126	391	hydroxylase	0
WP_271949981.1	686389	Ruegeria faecimaris	50718	52160	-	NZ_CANMQC010000007.1	GCF_947499915.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	974
WP_281973181.1	686389	Ruegeria faecimaris	49744	50718	-	NZ_CANMQC010000007.1	GCF_947499915.1	975	325	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_142637755.1	686389	Ruegeria faecimaris	47425	48054	-	NZ_CANMQC010000007.1	GCF_947499915.1	630	210	WP_142637755.1	SPO3188	54.762	210	94	1	1	210	1	209	1.26e-59	196	dehydrogenase	2319
WP_282022027.1	686389	Ruegeria faecimaris	48051	49739	-	NZ_CANMQC010000007.1	GCF_947499915.1	1689	563	WP_142637757.1	OBi1_02316	40.966	559	318	5	20	574	12	562	3.67e-122	382	hydroxylase	1693
WP_299948099.1	259304	uncultured Ruegeria sp.	34680	36122	-	NZ_CANMQQ010000006.1	GCF_947500045.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	2659
WP_299948097.1	259304	uncultured Ruegeria sp.	33703	34680	-	NZ_CANMQQ010000006.1	GCF_947500045.1	978	326	WP_170333556.1	OBi1_02318	60.308	325	127	2	6	329	1	324	1.62e-144	421	aminohydrolase	1682
WP_299948093.1	259304	uncultured Ruegeria sp.	31395	32024	-	NZ_CANMQQ010000006.1	GCF_947500045.1	630	210	WP_299985395.1	SPO3188	49.048	210	106	1	1	210	1	209	1.01e-52	178	dehydrogenase	626
WP_299948095.1	259304	uncultured Ruegeria sp.	32021	33706	-	NZ_CANMQQ010000006.1	GCF_947500045.1	1686	562	WP_299985394.1	OBi1_02316	41.982	555	315	4	10	560	1	552	5.67e-126	392	hydroxylase	0
WP_299872238.1	191468	uncultured Sulfitobacter sp.	470509	471960	-	NZ_CANMQS010000001.1	GCF_947500075.1	1452	484	WP_114884515.1	OBi1_02319	62.553	470	176	0	17	486	8	477	0	622	aminoaldehyde dehydrogenase	974
WP_299873663.1	191468	uncultured Sulfitobacter sp.	469535	470509	-	NZ_CANMQS010000001.1	GCF_947500075.1	975	325	WP_108813995.1	OBi1_02318	61.661	313	118	2	6	317	1	312	2e-141	412	aminohydrolase	0
WP_299872232.1	191468	uncultured Sulfitobacter sp.	467170	467820	-	NZ_CANMQS010000001.1	GCF_947500075.1	651	217	WP_299872232.1	SPO3188	42.544	228	101	6	1	210	1	216	4e-37	138	dehydrogenase	2365
WP_299872235.1	191468	uncultured Sulfitobacter sp.	467817	469520	-	NZ_CANMQS010000001.1	GCF_947500075.1	1704	568	WP_299872235.1	OBi1_02316	41.416	565	317	6	11	570	5	560	1.85e-126	394	hydroxylase	1718
WP_299082382.1	259304	uncultured Ruegeria sp.	145619	147121	+	NZ_CANMQY010000011.1	GCF_947500155.1	1503	501	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	1502
WP_299082384.1	259304	uncultured Ruegeria sp.	147121	148098	+	NZ_CANMQY010000011.1	GCF_947500155.1	978	326	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_299082387.1	259304	uncultured Ruegeria sp.	149777	150406	+	NZ_CANMQY010000011.1	GCF_947500155.1	630	210	WP_298936513.1	SPO3188	50	210	104	1	1	210	1	209	1.33e-51	175	dehydrogenase	2656
WP_299082385.1	259304	uncultured Ruegeria sp.	148095	149780	+	NZ_CANMQY010000011.1	GCF_947500155.1	1686	562	WP_299082385.1	OBi1_02316	40.541	555	323	4	10	560	1	552	9.85e-128	397	hydroxylase	974
WP_299664112.1	259304	uncultured Ruegeria sp.	34673	36115	-	NZ_CANMRX010000007.1	GCF_947500455.1	1443	481	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	2659
WP_299664111.1	259304	uncultured Ruegeria sp.	33696	34673	-	NZ_CANMRX010000007.1	GCF_947500455.1	978	326	WP_299664111.1	OBi1_02318	62.461	317	117	2	6	321	1	316	2.42e-147	427	aminohydrolase	1682
WP_299664109.1	259304	uncultured Ruegeria sp.	31388	32017	-	NZ_CANMRX010000007.1	GCF_947500455.1	630	210	WP_299985395.1	SPO3188	49.048	210	106	1	1	210	1	209	1.01e-52	178	dehydrogenase	626
WP_299664110.1	259304	uncultured Ruegeria sp.	32014	33699	-	NZ_CANMRX010000007.1	GCF_947500455.1	1686	562	WP_299985394.1	OBi1_02316	41.982	555	315	4	10	560	1	552	5.67e-126	392	hydroxylase	0
WP_300071410.1	259304	uncultured Ruegeria sp.	13483	14985	-	NZ_CANMSC010000011.1	GCF_947500465.1	1503	501	WP_217356369.1	OBi1_02319	61.996	471	179	0	18	488	11	481	0	607	aminoaldehyde dehydrogenase	977
WP_300071407.1	259304	uncultured Ruegeria sp.	12506	13483	-	NZ_CANMSC010000011.1	GCF_947500465.1	978	326	WP_170469017.1	OBi1_02318	62.776	317	116	2	6	321	1	316	4.4e-147	427	aminohydrolase	0
WP_300071402.1	259304	uncultured Ruegeria sp.	10198	10827	-	NZ_CANMSC010000011.1	GCF_947500465.1	630	210	WP_298936513.1	SPO3188	50	210	104	1	1	210	1	209	1.33e-51	175	dehydrogenase	2308
WP_300071404.1	259304	uncultured Ruegeria sp.	10824	12509	-	NZ_CANMSC010000011.1	GCF_947500465.1	1686	562	WP_299082385.1	OBi1_02316	40.541	555	323	4	10	560	1	552	9.85e-128	397	hydroxylase	1682
WP_298734715.1	259303	uncultured Psychrobacter sp.	206998	208473	-	NZ_CANMUH010000001.1	GCF_947501075.1	1476	492	WP_201587089.1	OBi1_02319	64.256	484	173	0	5	488	3	486	0	667	aminoaldehyde dehydrogenase	4967
