Protein	ncbi.taxid	Organism	Start	Stop	Strand	Nucleotide.Accession	Assembly	gene.length	protein.length	cluster.representative	query	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	protein.function	distance.to.min	superkingdom	phylum	class	order	family	genus	species
MBV8767117.1	1909294	Hyphomicrobiales bacterium	1161	2126	-	JAFAOJ010000659.1	GCA_019237835.1	966	322	MBV8767117.1	OBi1_02318	42.357	314	179	2	6	318	1	313	3.27e-86	272	aminohydrolase	1017	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV8767118.1	1909294	Hyphomicrobiales bacterium	2178	2810	-	JAFAOJ010000659.1	GCA_019237835.1	633	211	MBV9433714.1	SPO3188	36.239	218	123	8	1	210	1	210	1.16e-12	74.7	dehydrogenase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV8767119.1	1909294	Hyphomicrobiales bacterium	2807	4489	-	JAFAOJ010000659.1	GCA_019237835.1	1683	561	MBV9738575.1	OBi1_02316	44.404	545	296	4	17	557	10	551	2.26e-134	414	hydroxylase	629	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV9221008.1	2021371	Methylobacteriaceae bacterium	2258	3247	-	JAFAQL010000737.1	GCA_019246425.1	990	330	MBV8564199.1	OBi1_02318	53.797	316	141	1	6	321	8	318	2.8e-122	364	aminohydrolase	1812	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9221006.1	2021371	Methylobacteriaceae bacterium	1	446	-	JAFAQL010000737.1	GCA_019246425.1	446	148.666666666667	MBV9221006.1	SPO3188	42.969	128	71	2	1	127	1	127	8.19e-15	79	dehydrogenase	445	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9221007.1	2021371	Methylobacteriaceae bacterium	446	2158	-	JAFAQL010000737.1	GCA_019246425.1	1713	571	MBV9221007.1	OBi1_02316	44.324	555	297	5	19	569	16	562	1.29e-125	391	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9244366.1	2021371	Methylobacteriaceae bacterium	2057	2335	-	JAFARF010000289.1	GCA_019245565.1	279	93	MBV9244366.1	OBi1_02318	44.186	86	43	1	236	321	1	81	9.42e-15	79.7	aminohydrolase	1812	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9244364.1	2021371	Methylobacteriaceae bacterium	1	245	-	JAFARF010000289.1	GCA_019245565.1	245	81.6666666666667	MBV9244364.1	SPO3188	46.914	81	42	1	1	81	1	80	7.83e-09	61.6	dehydrogenase	244	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9244365.1	2021371	Methylobacteriaceae bacterium	245	1957	-	JAFARF010000289.1	GCA_019245565.1	1713	571	MBV9221007.1	OBi1_02316	44.324	555	297	5	19	569	16	562	1.29e-125	391	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9433713.1	1909294	Hyphomicrobiales bacterium	3144	4109	-	JAFARQ010000543.1	GCA_019245375.1	966	322	MBV8767117.1	OBi1_02318	42.357	314	179	2	6	318	1	313	3.27e-86	272	aminohydrolase	1017	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV9433714.1	1909294	Hyphomicrobiales bacterium	4161	4793	-	JAFARQ010000543.1	GCA_019245375.1	633	211	MBV9433714.1	SPO3188	36.239	218	123	8	1	210	1	210	1.16e-12	74.7	dehydrogenase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV9433715.1	1909294	Hyphomicrobiales bacterium	4790	6472	-	JAFARQ010000543.1	GCA_019245375.1	1683	561	MBV9738575.1	OBi1_02316	44.404	545	296	4	17	557	10	551	2.26e-134	414	hydroxylase	629	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV9637752.1	2021371	Methylobacteriaceae bacterium	3779	4768	-	JAFAXB010000965.1	GCA_019241415.1	990	330	MBV8564199.1	OBi1_02318	53.797	316	141	1	6	321	8	318	2.8e-122	364	aminohydrolase	1812	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9637750.1	2021371	Methylobacteriaceae bacterium	1314	1967	-	JAFAXB010000965.1	GCA_019241415.1	654	218	MBV8564201.1	SPO3188	39.64	222	117	6	1	210	1	217	1.42e-24	106	dehydrogenase	653	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9637751.1	2021371	Methylobacteriaceae bacterium	1967	3679	-	JAFAXB010000965.1	GCA_019241415.1	1713	571	MBV9221007.1	OBi1_02316	44.324	555	297	5	19	569	16	562	1.29e-125	391	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	NA	Methylobacteriaceae bacterium
MBV9738573.1	1909294	Hyphomicrobiales bacterium	577	1542	-	JAFAXT010000094.1	GCA_019240785.1	966	322	MBV8767117.1	OBi1_02318	42.357	314	179	2	6	318	1	313	3.27e-86	272	aminohydrolase	1017	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV9738574.1	1909294	Hyphomicrobiales bacterium	1594	2226	-	JAFAXT010000094.1	GCA_019240785.1	633	211	MBV9433714.1	SPO3188	36.239	218	123	8	1	210	1	210	1.16e-12	74.7	dehydrogenase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBV9738575.1	1909294	Hyphomicrobiales bacterium	2223	3905	-	JAFAXT010000094.1	GCA_019240785.1	1683	561	MBV9738575.1	OBi1_02316	44.404	545	296	4	17	557	10	551	2.26e-134	414	hydroxylase	629	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBW0002406.1	1909294	Hyphomicrobiales bacterium	49051	50016	-	JAFBAS010000023.1	GCA_019247605.1	966	322	MBV8767117.1	OBi1_02318	42.357	314	179	2	6	318	1	313	3.27e-86	272	aminohydrolase	1017	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBW0002407.1	1909294	Hyphomicrobiales bacterium	50068	50700	-	JAFBAS010000023.1	GCA_019247605.1	633	211	MBV9433714.1	SPO3188	36.239	218	123	8	1	210	1	210	1.16e-12	74.7	dehydrogenase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBW0002408.1	1909294	Hyphomicrobiales bacterium	50697	52379	-	JAFBAS010000023.1	GCA_019247605.1	1683	561	MBV9738575.1	OBi1_02316	44.404	545	296	4	17	557	10	551	2.26e-134	414	hydroxylase	629	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MCC5984059.1	1904441	Paracoccaceae bacterium	10606	12057	+	JAFIEE010000043.1	GCA_020832705.1	1452	484	WP_142085902.1	OBi1_02319	60.426	470	186	0	17	486	8	477	0	607	aminoaldehyde dehydrogenase	1448	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCC5984060.1	1904441	Paracoccaceae bacterium	12054	13058	+	JAFIEE010000043.1	GCA_020832705.1	1005	335	MCC5984060.1	OBi1_02318	61.006	318	122	2	8	324	5	321	5.97e-143	417	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCC5984061.1	1904441	Paracoccaceae bacterium	13079	14737	+	JAFIEE010000043.1	GCA_020832705.1	1659	553	MCC5984061.1	OBi1_02316	43.636	550	286	6	20	556	9	547	1.61e-124	388	hydroxylase	1025	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCC5965110.1	2497628	Natronohydrobacter sp.	32022	33473	+	JAFIEM010000008.1	GCA_020832555.1	1452	484	WP_142085902.1	OBi1_02319	60.426	470	186	0	17	486	8	477	0	607	aminoaldehyde dehydrogenase	2473	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Natronohydrobacter	Natronohydrobacter sp.
MCC5965113.1	2497628	Natronohydrobacter sp.	36143	36760	+	JAFIEM010000008.1	GCA_020832555.1	618	206	MCC5965113.1	SPO3188	33.333	219	113	4	1	210	11	205	5.13e-09	65.1	dehydrogenase	1648	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Natronohydrobacter	Natronohydrobacter sp.
MCC5965112.1	2497628	Natronohydrobacter sp.	34495	36153	+	JAFIEM010000008.1	GCA_020832555.1	1659	553	WP_296643347.1	OBi1_02316	43.818	550	285	6	20	556	17	555	6.99e-128	397	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Natronohydrobacter	Natronohydrobacter sp.
MBN9524840.1	1913988	Alphaproteobacteria bacterium	307901	308278	+	JAFKFH010000003.1	GCA_017307375.1	378	126	MBN9524840.1	OBi1_02314	32.787	122	81	1	1	121	1	122	6.18e-17	81.3	RidA	2412	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	Alphaproteobacteria bacterium
MBN9524838.1	1913988	Alphaproteobacteria bacterium	305489	306916	+	JAFKFH010000003.1	GCA_017307375.1	1428	476	MBN9524838.1	OBi1_02319	35.282	479	291	9	10	482	3	468	2.49e-73	249	aminoaldehyde dehydrogenase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	Alphaproteobacteria bacterium
MBN9524837.1	1913988	Alphaproteobacteria bacterium	304301	305341	-	JAFKFH010000003.1	GCA_017307375.1	1041	347	MBN9524837.1	OBi1_02318	38.095	336	199	4	3	332	8	340	1.5e-71	235	aminohydrolase	1188	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	Alphaproteobacteria bacterium
MBN9033251.1	1909294	Hyphomicrobiales bacterium	7913	9364	-	JAFKJU010000034.1	GCA_017305935.1	1452	484	WP_257951244.1	OBi1_02319	61.571	471	181	0	18	488	9	479	0	582	aminoaldehyde dehydrogenase	1001	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBN9033250.1	1909294	Hyphomicrobiales bacterium	6912	7907	-	JAFKJU010000034.1	GCA_017305935.1	996	332	MBN9033250.1	OBi1_02318	58.991	317	130	0	8	324	10	326	5.89e-137	401	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBN9033249.1	1909294	Hyphomicrobiales bacterium	5224	6915	-	JAFKJU010000034.1	GCA_017305935.1	1692	564	MBN9033249.1	OBi1_02316	46.239	545	285	5	19	560	16	555	1.41e-137	422	hydroxylase	1688	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MBR2514686.1	1486246	Halomonas sp.	176036	176419	+	JAFWFN010000049.1	GCA_017515565.1	384	128	WP_160419425.1	OBi1_02314	75.806	124	30	0	1	124	1	124	4.32e-62	196	RidA	4173	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp.
MBR2514681.1	1486246	Halomonas sp.	169307	170746	+	JAFWFN010000049.1	GCA_017515565.1	1440	480	WP_009096463.1	OBi1_02319	77.801	473	105	0	16	488	7	479	0	782	aminoaldehyde dehydrogenase	2556	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp.
MBR2514683.1	1486246	Halomonas sp.	171863	173440	+	JAFWFN010000049.1	GCA_017515565.1	1578	526	WP_250083413.1	OBi1_02317	78.363	513	111	0	17	529	10	522	0	761	permease	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp.
MBP7490732.1	50421	Rhodoferax sp.	4378	5832	+	JAGODZ010000008.1	GCA_017997975.1	1455	485	MBP7490732.1	OBi1_02319	63.771	472	171	0	17	488	9	480	0	624	aminoaldehyde dehydrogenase	1451	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sp.
MBP7490733.1	50421	Rhodoferax sp.	5829	6815	+	JAGODZ010000008.1	GCA_017997975.1	987	329	MBP7490733.1	OBi1_02318	61.61	323	122	2	1	322	1	322	2.85e-144	420	aminohydrolase	0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sp.
MBP7490735.1	50421	Rhodoferax sp.	8428	10749	+	JAGODZ010000008.1	GCA_017997975.1	2322	774	MBP7490735.1	OBi1_02316	44.444	549	288	6	19	558	6	546	5.59e-140	435	hydroxylase	2599	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sp.
MBP7490734.1	50421	Rhodoferax sp.	6881	8431	+	JAGODZ010000008.1	GCA_017997975.1	1551	517	MBP7490734.1	OBi1_02317	48.936	517	256	3	8	521	2	513	5.16e-155	462	permease	1052	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sp.
MBP9047365.1	2005166	Tabrizicola sp.	2071	3522	-	JAGPEG010000026.1	GCA_018057165.1	1452	484	WP_202687370.1	OBi1_02319	57.627	472	200	0	17	488	8	479	0	555	aminoaldehyde dehydrogenase	1004	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tabrizicola	Tabrizicola sp.
MBP9047364.1	2005166	Tabrizicola sp.	1067	2074	-	JAGPEG010000026.1	GCA_018057165.1	1008	336	MBP9047364.1	OBi1_02318	60.736	326	126	1	6	331	3	326	4.4e-141	412	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tabrizicola	Tabrizicola sp.
MBP9047363.1	2005166	Tabrizicola sp.	1	1070	-	JAGPEG010000026.1	GCA_018057165.1	1070	356.666666666667	MBP9047363.1	OBi1_02316	49.822	281	136	1	10	285	1	281	1.58e-74	252	hydroxylase	1066	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tabrizicola	Tabrizicola sp.
MCA8879158.1	1904441	Paracoccaceae bacterium	45630	47081	-	JAGQRV010000008.1	GCA_020425125.1	1452	484	MCA8879158.1	OBi1_02319	62.579	473	177	0	16	488	7	479	0	604	aminoaldehyde dehydrogenase	2605	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8879157.1	1904441	Paracoccaceae bacterium	44620	45633	-	JAGQRV010000008.1	GCA_020425125.1	1014	338	MCA8879157.1	OBi1_02318	59.568	324	131	0	8	331	5	328	7.92e-140	409	aminohydrolase	1595	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8879154.1	1904441	Paracoccaceae bacterium	40565	41281	-	JAGQRV010000008.1	GCA_020425125.1	717	239	MCA8879154.1	SPO3188	39.269	219	121	6	2	210	22	238	5.86e-22	100	dehydrogenase	2460	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8879155.1	1904441	Paracoccaceae bacterium	41278	42957	-	JAGQRV010000008.1	GCA_020425125.1	1680	560	MCA8879155.1	OBi1_02316	42.831	551	289	6	20	556	17	555	8.97e-128	397	hydroxylase	1747	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8879156.1	1904441	Paracoccaceae bacterium	43025	44575	-	JAGQRV010000008.1	GCA_020425125.1	1551	517	MCA8879156.1	OBi1_02317	51.497	501	232	7	25	518	18	514	2.74e-165	489	permease	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8868130.1	1904441	Paracoccaceae bacterium	3391	4842	+	JAGQRW010000007.1	GCA_020425085.1	1452	484	MCA8868130.1	OBi1_02319	60.842	475	186	0	14	488	5	479	0	600	aminoaldehyde dehydrogenase	1451	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8868131.1	1904441	Paracoccaceae bacterium	4842	5819	+	JAGQRW010000007.1	GCA_020425085.1	978	326	MCA8868131.1	OBi1_02318	61.342	313	119	2	6	317	1	312	1.89e-139	407	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8868128.1	1904441	Paracoccaceae bacterium	754	1368	-	JAGQRW010000007.1	GCA_020425085.1	615	205	MCA8868128.1	SPO3188	30.973	226	113	5	3	210	4	204	1.65e-19	92.8	dehydrogenase	4088	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCA8868129.1	1904441	Paracoccaceae bacterium	1365	3071	-	JAGQRW010000007.1	GCA_020425085.1	1707	569	MCA8868129.1	OBi1_02316	41.421	577	320	7	1	572	1	564	4.35e-136	418	hydroxylase	3477	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2129939.1	1904441	Paracoccaceae bacterium	47431	48882	-	JAGRDO010000078.1	GCA_020447005.1	1452	484	MCB2129939.1	OBi1_02319	60.888	473	185	0	16	488	7	479	0	587	aminoaldehyde dehydrogenase	2661	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2129938.1	1904441	Paracoccaceae bacterium	46451	47434	-	JAGRDO010000078.1	GCA_020447005.1	984	328	MCB2129938.1	OBi1_02318	60	315	124	2	8	321	5	318	3.03e-137	402	aminohydrolase	1681	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2129936.1	1904441	Paracoccaceae bacterium	44063	44773	-	JAGRDO010000078.1	GCA_020447005.1	711	237	MCB2129936.1	SPO3188	40.541	222	113	5	1	210	22	236	8.27e-26	110	dehydrogenase	707	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2129937.1	1904441	Paracoccaceae bacterium	44770	46380	-	JAGRDO010000078.1	GCA_020447005.1	1611	537	MCB2129937.1	OBi1_02316	43.551	535	295	4	26	556	1	532	2.38e-115	364	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2093965.1	1904441	Paracoccaceae bacterium	45182	46633	+	JAGRDY010000018.1	GCA_020446815.1	1452	484	MCB2093965.1	OBi1_02319	59.831	473	190	0	16	488	7	479	0	591	aminoaldehyde dehydrogenase	1448	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2093966.1	1904441	Paracoccaceae bacterium	46630	47607	+	JAGRDY010000018.1	GCA_020446815.1	978	326	MCB2093966.1	OBi1_02318	60.748	321	124	2	8	327	5	324	5.13e-143	417	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2093968.1	1904441	Paracoccaceae bacterium	49332	50036	+	JAGRDY010000018.1	GCA_020446815.1	705	235	MCB2093968.1	SPO3188	36.667	210	108	6	1	194	19	219	6.04e-17	86.7	dehydrogenase	2702	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB2093967.1	1904441	Paracoccaceae bacterium	47662	49335	+	JAGRDY010000018.1	GCA_020446815.1	1674	558	MCB2093967.1	OBi1_02316	43.352	549	288	6	20	556	16	553	3.75e-132	408	hydroxylase	1032	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	Paracoccaceae bacterium
MCB1883241.1	2448052	Geminicoccaceae bacterium	12380	13834	+	JAGRGG010000034.1	GCA_020445645.1	1455	485	MCB1883241.1	OBi1_02319	65.063	478	167	0	11	488	2	479	0	607	aminoaldehyde dehydrogenase	2465	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	NA	Geminicoccaceae bacterium
MCB1883242.1	2448052	Geminicoccaceae bacterium	13837	14823	+	JAGRGG010000034.1	GCA_020445645.1	987	329	MCB1883242.1	OBi1_02318	58.514	323	134	0	6	328	5	327	2.54e-138	405	aminohydrolase	1008	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	NA	Geminicoccaceae bacterium
MCB1883245.1	2448052	Geminicoccaceae bacterium	18178	18825	+	JAGRGG010000034.1	GCA_020445645.1	648	216	MCB1883245.1	SPO3188	40.455	220	113	6	2	210	3	215	1.7e-21	98.2	dehydrogenase	3333	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	NA	Geminicoccaceae bacterium
MCB1883244.1	2448052	Geminicoccaceae bacterium	16484	18181	+	JAGRGG010000034.1	GCA_020445645.1	1698	566	MCB1883244.1	OBi1_02316	45.617	559	284	7	19	569	15	561	1.64e-143	437	hydroxylase	1639	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	NA	Geminicoccaceae bacterium
MCB1883243.1	2448052	Geminicoccaceae bacterium	14845	16389	+	JAGRGG010000034.1	GCA_020445645.1	1545	515	MCB1883243.1	OBi1_02317	54.321	486	219	1	34	519	29	511	1.69e-170	502	permease	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	NA	Geminicoccaceae bacterium
MCC2098533.1	1909294	Hyphomicrobiales bacterium	5187	5395	-	JAGRKH010000706.1	GCA_020682725.1	209	69.6666666666667	MCC2098533.1	SPO3190	64.286	56	20	0	267	322	1	56	8.49e-13	73.6	aminohydrolase	1676	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MCC2098531.1	1909294	Hyphomicrobiales bacterium	2837	3514	-	JAGRKH010000706.1	GCA_020682725.1	678	226	MCC2098531.1	SPO3188	34.815	135	70	4	1	127	11	135	3.16e-07	60.5	dehydrogenase	674	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MCC2098532.1	1909294	Hyphomicrobiales bacterium	3511	5190	-	JAGRKH010000706.1	GCA_020682725.1	1680	560	MCC2098532.1	OBi1_02316	43.273	550	290	5	20	557	17	556	2.53e-118	372	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	Hyphomicrobiales bacterium
MCB1472920.1	2026785	Rhodobiaceae bacterium	12733	14184	+	JAGRLE010000126.1	GCA_020441965.1	1452	484	MCC0014833.1	OBi1_02319	65.89	472	161	0	17	488	8	479	0	617	aminoaldehyde dehydrogenase	1448	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	NA	Rhodobiaceae bacterium
MCB1472921.1	2026785	Rhodobiaceae bacterium	14181	15179	+	JAGRLE010000126.1	GCA_020441965.1	999	333	MCC0014832.1	OBi1_02318	61.27	315	122	0	8	322	11	325	1.91e-137	403	aminohydrolase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	NA	Rhodobiaceae bacterium
MCB1472923.1	2026785	Rhodobiaceae bacterium	16885	17532	+	JAGRLE010000126.1	GCA_020441965.1	648	216	MCC0014830.1	SPO3188	46.296	216	109	4	1	210	1	215	5.44e-35	133	dehydrogenase	2704	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	NA	Rhodobiaceae bacterium
MCB1472922.1	2026785	Rhodobiaceae bacterium	15176	16888	+	JAGRLE010000126.1	GCA_020441965.1	1713	571	MCB1472922.1	OBi1_02316	40.105	571	328	6	10	575	7	568	1.41e-124	389	hydroxylase	995	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	NA	Rhodobiaceae bacterium
MCB1464200.1	1872084	Nitratireductor sp.	7504	7881	+	JAGRLL010000256.1	GCA_020441855.1	378	126	MCB1464200.1	OBi1_02314	34.677	124	80	1	1	123	1	124	2.39e-15	77.4	RidA	4239	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.
MCB1464196.1	1872084	Nitratireductor sp.	2194	3165	+	JAGRLL010000256.1	GCA_020441855.1	972	324	MCB1464196.1	OBi1_02318	35.35	314	201	2	6	318	1	313	9.68e-63	212	aminohydrolase	1071	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.
MCB1464197.1	1872084	Nitratireductor sp.	3265	5802	+	JAGRLL010000256.1	GCA_020441855.1	2538	846	MCB1464197.1	OBi1_02316	31.148	549	358	9	22	556	2	544	2.16e-62	231	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.
MCB1448767.1	1872084	Nitratireductor sp.	5059	6036	-	JAGRLM010000036.1	GCA_020441795.1	978	326	MCB1448767.1	OBi1_02318	58.805	318	131	0	5	322	1	318	3.42e-133	392	aminohydrolase	1697	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.
MCB1448765.1	1872084	Nitratireductor sp.	2712	3365	-	JAGRLM010000036.1	GCA_020441795.1	654	218	MCB1448765.1	SPO3188	42.922	219	109	5	3	210	4	217	2.84e-33	129	dehydrogenase	650	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.
MCB1448766.1	1872084	Nitratireductor sp.	3362	5062	-	JAGRLM010000036.1	GCA_020441795.1	1701	567	MCB1448766.1	OBi1_02316	41.026	546	313	5	20	560	14	555	8.24e-122	381	hydroxylase	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.
