Assembly_Accession,Accession,Genome_Size_bp
GCA_900110705.1,GCA_900110705.1,3417479
GCA_900110785.1,GCA_900110785.1,6883168
GCA_900111095.1,GCA_900111095.1,4735181
GCA_900111855.1,GCA_900111855.1,6841688
GCA_900112755.1,GCA_900112755.1,4236215
GCA_900113265.1,GCA_900113265.1,3552645
GCA_900113275.1,GCA_900113275.1,4449795
GCA_900113345.1,GCA_900113345.1,4056899
GCA_900113795.1,GCA_900113795.1,6959206
GCA_900114245.1,GCA_900114245.1,5845495
GCA_900114415.1,GCA_900114415.1,3995969
GCA_900114815.1,GCA_900114815.1,6997636
GCA_900115165.1,GCA_900115165.1,4283675
GCA_900115495.1,GCA_900115495.1,5449689
GCA_900115555.1,GCA_900115555.1,5270473
GCA_900115865.1,GCA_900115865.1,4426466
GCA_900111945.1,GCA_900111945.1,3754758
GCA_900116405.1,GCA_900116405.1,3681289
GCA_900116455.1,GCA_900116455.1,4890154
GCA_900116505.1,GCA_900116505.1,6844013
GCA_900116725.1,GCA_900116725.1,3662395
GCA_900119575.1,GCA_900119575.1,6960462
GCA_900119635.1,GCA_900119635.1,6843884
GCA_900119675.1,GCA_900119675.1,6842543
GCA_900120035.1,GCA_900120035.1,5311144
GCA_900119985.1,GCA_900119985.1,4957201
GCA_900120015.1,GCA_900120015.1,5010399
GCA_900120065.1,GCA_900120065.1,5165999
GCA_900120075.1,GCA_900120075.1,5227706
GCA_900128925.1,GCA_900128925.1,3960292
GCA_900129845.1,GCA_900129845.1,3257490
GCA_900141625.1,GCA_900141625.1,3503407
GCA_900142625.1,GCA_900142625.1,4080216
GCA_900142665.1,GCA_900142665.1,4547027
GCA_900142755.1,GCA_900142755.1,4957973
GCA_900142765.1,GCA_900142765.1,3932137
GCA_900120145.1,GCA_900120145.1,5080936
GCA_900120025.1,GCA_900120025.1,5207744
GCA_900155885.1,GCA_900155885.1,4526531
GCA_900155945.1,GCA_900155945.1,4680330
GCA_900156535.1,GCA_900156535.1,3698163
GCA_900156595.1,GCA_900156595.1,3405551
GCA_900156635.1,GCA_900156635.1,4569005
GCA_900156805.1,GCA_900156805.1,4439333
GCA_900163545.1,GCA_900163545.1,3326555
GCA_900167155.1,GCA_900167155.1,5037269
GCA_900172365.1,GCA_900172365.1,4130403
GCA_900172295.1,GCA_900172295.1,3998736
GCA_900172225.1,GCA_900172225.1,4691634
GCA_900172215.1,GCA_900172215.1,4543068
GCA_900172235.1,GCA_900172235.1,3691014
GCA_900172255.1,GCA_900172255.1,3725543
GCA_900172335.1,GCA_900172335.1,4287842
GCA_900172285.1,GCA_900172285.1,4810238
GCA_900177525.1,GCA_900177525.1,5759395
GCA_900182615.1,GCA_900182615.1,4115084
GCA_900182765.1,GCA_900182765.1,3067455
GCA_900182805.1,GCA_900182805.1,4849775
GCA_900182745.1,GCA_900182745.1,4496706
GCA_900184145.1,GCA_900184145.1,3397723
GCA_900184825.1,GCA_900184825.1,4814893
GCA_900184815.1,GCA_900184815.1,4001270
GCA_900184945.1,GCA_900184945.1,5313976
GCA_900185035.1,GCA_900185035.1,3871907
GCA_900185055.1,GCA_900185055.1,4897107
GCA_900185565.1,GCA_900185565.1,4306099
GCA_900185625.1,GCA_900185625.1,4455676
GCA_000161775.1,GCA_000161775.1,3523710
GCA_000148725.1,GCA_000148725.1,5696886
GCA_000219565.1,GCA_000219565.1,4091699
GCA_905175355.2,GCA_905175355.2,6337616
GCA_905175335.2,GCA_905175335.2,5809603
GCA_009905395.1,GCA_009905395.1,5754181
GCA_009905675.1,GCA_009905675.1,9409464
GCA_009905435.1,GCA_009905435.1,6009073
GCA_009908205.1,GCA_009908205.1,7204762
GCA_009908285.1,GCA_009908285.1,7330768
GCA_009908305.1,GCA_009908305.1,5291230
GCA_009908315.1,GCA_009908315.1,3958066
GCA_009925085.1,GCA_009925085.1,4590930
GCA_011777125.1,GCA_011777125.1,4761534
GCA_011776105.1,GCA_011776105.1,2288386
GCA_011775955.1,GCA_011775955.1,3952722
GCA_011775375.1,GCA_011775375.1,5441380
GCA_011775145.1,GCA_011775145.1,4510068
GCA_011774945.1,GCA_011774945.1,4711840
GCA_011774245.1,GCA_011774245.1,4761534
GCA_009936825.1,GCA_009936825.1,2151708
GCA_009937615.1,GCA_009937615.1,3364165
GCA_029237275.1,GCA_029237275.1,6730217
GCA_010092875.1,GCA_010092875.1,5515790
GCA_010179695.1,GCA_010179695.1,3803384
GCA_024224295.1,GCA_024224295.1,4560452
GCA_024244705.1,GCA_024244705.1,4506003
GCA_024223095.1,GCA_024223095.1,7628434
GCA_024230335.1,GCA_024230335.1,5557869
GCA_024230155.1,GCA_024230155.1,4293237
GCA_024229755.1,GCA_024229755.1,4672664
GCA_024229255.1,GCA_024229255.1,3305950
GCA_024227655.1,GCA_024227655.1,4980280
GCA_018223235.1,GCA_018223235.1,5060736
GCA_018223265.1,GCA_018223265.1,4674610
GCA_018223185.1,GCA_018223185.1,4607040
GCA_018223135.1,GCA_018223135.1,4597263
GCA_018223085.1,GCA_018223085.1,3016074
GCA_018223065.1,GCA_018223065.1,3446652
GCA_018222745.1,GCA_018222745.1,3709492
GCA_018222515.1,GCA_018222515.1,4622467
GCA_010550425.1,GCA_010550425.1,10100803
GCA_010500245.1,GCA_010500245.1,5069803
GCA_020539545.1,GCA_020539545.1,5842174
GCA_020539555.1,GCA_020539555.1,5932792
GCA_020539585.1,GCA_020539585.1,5911544
GCA_011008935.1,GCA_011008935.1,3850476
GCA_011045095.1,GCA_011045095.1,5135518
GCA_011059185.1,GCA_011059185.1,4464082
GCA_013523055.1,GCA_013523055.1,5966503
GCA_021322875.1,GCA_021322875.1,5283465
GCA_011601345.1,GCA_011601345.1,3378519
GCA_012986065.1,GCA_012986065.1,6930863
GCA_012986115.1,GCA_012986115.1,6926615
GCA_011806535.1,GCA_011806535.1,5659024
GCA_013416725.1,GCA_013416725.1,7358313
GCA_021404545.1,GCA_021404545.1,4819802
GCA_014921955.1,GCA_014921955.1,5020327
GCA_014921525.1,GCA_014921525.1,5140965
GCA_014964125.1,GCA_014964125.1,5074967
GCA_014964055.1,GCA_014964055.1,5214567
GCA_014921125.1,GCA_014921125.1,5115401
GCA_014920885.1,GCA_014920885.1,5018538
GCA_014920715.1,GCA_014920715.1,5153121
GCA_014920675.1,GCA_014920675.1,5065181
GCA_014920565.1,GCA_014920565.1,5111352
GCA_014920385.1,GCA_014920385.1,5296835
GCA_014920335.1,GCA_014920335.1,5293586
GCA_014920245.1,GCA_014920245.1,5109089
GCA_014920185.1,GCA_014920185.1,5040459
GCA_014919965.1,GCA_014919965.1,5051169
GCA_014919835.1,GCA_014919835.1,5244487
GCA_014919435.1,GCA_014919435.1,5195223
GCA_014919355.1,GCA_014919355.1,5153630
GCA_014918585.1,GCA_014918585.1,5072454
GCA_014918575.1,GCA_014918575.1,5146631
GCA_014918485.1,GCA_014918485.1,5299784
GCA_014918335.1,GCA_014918335.1,5271322
GCA_012952265.1,GCA_012952265.1,4957925
GCA_012956055.1,GCA_012956055.1,4050555
GCA_012956205.1,GCA_012956205.1,6174540
GCA_012955645.1,GCA_012955645.1,5978475
GCA_013003505.1,GCA_013003505.1,2732459
GCA_013002465.1,GCA_013002465.1,3681879
GCA_013002305.1,GCA_013002305.1,2936636
GCA_013002025.1,GCA_013002025.1,2998685
GCA_013001845.1,GCA_013001845.1,2257315
GCA_013001565.1,GCA_013001565.1,2604658
GCA_013001295.1,GCA_013001295.1,3488918
GCA_013042895.1,GCA_013042895.1,2286023
GCA_013042105.1,GCA_013042105.1,3055784
GCA_029285475.1,GCA_029285475.1,4099707
GCA_029285405.1,GCA_029285405.1,4067897
GCA_029285395.1,GCA_029285395.1,4067670
GCA_029285375.1,GCA_029285375.1,4067897
GCA_029285315.1,GCA_029285315.1,4067897
GCA_029285275.1,GCA_029285275.1,4067669
GCA_029285175.1,GCA_029285175.1,4073478
GCA_029285205.1,GCA_029285205.1,4069337
GCA_029285135.1,GCA_029285135.1,3909518
GCA_029285115.1,GCA_029285115.1,4067898
GCA_029285085.1,GCA_029285085.1,4067734
GCA_029285075.1,GCA_029285075.1,4067669
GCA_029285035.1,GCA_029285035.1,4067442
GCA_029285045.1,GCA_029285045.1,4067441
GCA_029285015.1,GCA_029285015.1,4067227
GCA_029284935.1,GCA_029284935.1,4067897
GCA_029284995.1,GCA_029284995.1,4067811
GCA_029284945.1,GCA_029284945.1,4067896
GCA_029284975.1,GCA_029284975.1,4055413
GCA_029284915.1,GCA_029284915.1,4067056
GCA_029285675.1,GCA_029285675.1,4067669
GCA_029284775.1,GCA_029284775.1,4067669
GCA_029284755.1,GCA_029284755.1,4067898
GCA_029284815.1,GCA_029284815.1,4067456
GCA_029284795.1,GCA_029284795.1,4073504
GCA_029284825.1,GCA_029284825.1,4067724
GCA_013002825.1,GCA_013002825.1,4867710
GCA_013393465.1,GCA_013393465.1,3445213
GCA_013074385.2,GCA_013074385.2,4371716
GCA_030505135.1,GCA_030505135.1,6530287
GCA_030505105.1,GCA_030505105.1,6090782
GCA_030505095.1,GCA_030505095.1,6090004
GCA_019685535.1,GCA_019685535.1,5438185
GCA_018647895.1,GCA_018647895.1,3422248
GCA_018647765.1,GCA_018647765.1,2487997
GCA_018647685.1,GCA_018647685.1,1253516
GCA_018647485.1,GCA_018647485.1,1354355
GCA_018645985.1,GCA_018645985.1,1984253
GCA_018645905.1,GCA_018645905.1,2418168
GCA_018676055.1,GCA_018676055.1,2205808
GCA_018675455.1,GCA_018675455.1,2190733
GCA_018674675.1,GCA_018674675.1,2101706
GCA_018674575.1,GCA_018674575.1,1370712
GCA_018674455.1,GCA_018674455.1,1269869
GCA_018673615.1,GCA_018673615.1,1238018
GCA_018672695.1,GCA_018672695.1,1266352
GCA_018672615.1,GCA_018672615.1,1941354
GCA_018672095.1,GCA_018672095.1,3234604
GCA_018671715.1,GCA_018671715.1,2202363
GCA_018670635.1,GCA_018670635.1,1821593
GCA_018692065.1,GCA_018692065.1,2202840
GCA_018692145.1,GCA_018692145.1,2139059
GCA_018692625.1,GCA_018692625.1,2390102
GCA_018695715.1,GCA_018695715.1,2224902
GCA_018670025.1,GCA_018670025.1,2392481
GCA_018697475.1,GCA_018697475.1,1443026
GCA_018657775.1,GCA_018657775.1,1269578
GCA_018657085.1,GCA_018657085.1,2401880
GCA_018656945.1,GCA_018656945.1,1309755
GCA_018656145.1,GCA_018656145.1,2631908
GCA_018652285.1,GCA_018652285.1,2518930
GCA_018652035.1,GCA_018652035.1,1308249
GCA_018651805.1,GCA_018651805.1,2061295
GCA_018651315.1,GCA_018651315.1,2326579
GCA_018650505.1,GCA_018650505.1,2408344
GCA_018655335.1,GCA_018655335.1,1155396
GCA_018654575.1,GCA_018654575.1,2419146
GCA_018653905.1,GCA_018653905.1,2301342
GCA_018697925.1,GCA_018697925.1,1307109
GCA_018698245.1,GCA_018698245.1,1281820
GCA_018698755.1,GCA_018698755.1,2432361
GCA_018699035.1,GCA_018699035.1,2638510
GCA_018699435.1,GCA_018699435.1,2522508
GCA_018699455.1,GCA_018699455.1,2234091
GCA_018699695.1,GCA_018699695.1,2107457
GCA_018699835.1,GCA_018699835.1,3624049
GCA_018667775.1,GCA_018667775.1,1792958
GCA_018700495.1,GCA_018700495.1,1963892
GCA_018667095.1,GCA_018667095.1,2031575
GCA_018701145.1,GCA_018701145.1,2878504
GCA_018664935.1,GCA_018664935.1,2560353
GCA_018701675.1,GCA_018701675.1,2084864
GCA_018702675.1,GCA_018702675.1,2882041
GCA_018702795.1,GCA_018702795.1,3515987
GCA_018666335.1,GCA_018666335.1,1154231
GCA_018666295.1,GCA_018666295.1,2256293
GCA_018666025.1,GCA_018666025.1,1918405
GCA_018665985.1,GCA_018665985.1,1267071
GCA_018668795.1,GCA_018668795.1,2279634
GCA_018668735.1,GCA_018668735.1,1660184
GCA_018665465.1,GCA_018665465.1,1962958
GCA_018663035.1,GCA_018663035.1,2018530
GCA_018662745.1,GCA_018662745.1,1240020
GCA_018662565.1,GCA_018662565.1,3121427
GCA_018661165.1,GCA_018661165.1,3328387
GCA_018661085.1,GCA_018661085.1,2650248
GCA_018660785.1,GCA_018660785.1,2067183
GCA_018659905.1,GCA_018659905.1,1616397
GCA_018659785.1,GCA_018659785.1,2051305
GCA_018659705.1,GCA_018659705.1,2407122
GCA_018664805.1,GCA_018664805.1,1942505
GCA_018664075.1,GCA_018664075.1,2056470
GCA_018664005.1,GCA_018664005.1,2697722
GCA_018669325.1,GCA_018669325.1,2231613
GCA_013155465.1,GCA_013155465.1,4071611
GCA_040750475.1,GCA_040750475.1,5663630
GCA_013248905.1,GCA_013248905.1,5172704
GCA_013266605.1,GCA_013266605.1,5470918
GCA_013266555.1,GCA_013266555.1,5295939
GCA_013266595.1,GCA_013266595.1,5407000
GCA_013266565.1,GCA_013266565.1,5408122
GCA_013266615.1,GCA_013266615.1,5171573
GCA_013266665.1,GCA_013266665.1,5552652
GCA_013266655.1,GCA_013266655.1,5551897
GCA_013215215.1,GCA_013215215.1,3631262
GCA_013214215.1,GCA_013214215.1,5023558
GCA_013215505.1,GCA_013215505.1,5731702
GCA_013214965.1,GCA_013214965.1,4252014
GCA_013214905.1,GCA_013214905.1,3886875
GCA_013214045.1,GCA_013214045.1,5150206
GCA_013332575.1,GCA_013332575.1,4707906
GCA_013349955.1,GCA_013349955.1,3836276
GCA_017960245.1,GCA_017960245.1,7235675
GCA_017960295.1,GCA_017960295.1,7302681
GCA_017960285.1,GCA_017960285.1,7383803
GCA_017960325.1,GCA_017960325.1,7346542
GCA_017960365.1,GCA_017960365.1,7434488
GCA_017960345.1,GCA_017960345.1,7176918
GCA_017960375.1,GCA_017960375.1,6926996
GCA_014269115.1,GCA_014269115.1,5891462
GCA_014269165.1,GCA_014269165.1,5898593
GCA_014269105.1,GCA_014269105.1,5729881
GCA_022627985.1,GCA_022627985.1,6305064
GCA_013364395.1,GCA_013364395.1,5651202
GCA_013364385.1,GCA_013364385.1,5430111
GCA_013373325.1,GCA_013373325.1,4513919
GCA_013373165.1,GCA_013373165.1,5626562
GCA_013372865.1,GCA_013372865.1,1317461
GCA_013373705.1,GCA_013373705.1,4541830
GCA_013373735.1,GCA_013373735.1,4511740
GCA_013377785.1,GCA_013377785.1,4811426
GCA_013388965.1,GCA_013388965.1,4076276
GCA_013387005.1,GCA_013387005.1,6086944
GCA_016876455.1,GCA_016876455.1,4935375
GCA_016876415.1,GCA_016876415.1,5032845
GCA_016877695.1,GCA_016877695.1,5077159
GCA_016877735.1,GCA_016877735.1,5047992
GCA_016878105.1,GCA_016878105.1,5132117
GCA_016878235.1,GCA_016878235.1,5152045
GCA_016878195.1,GCA_016878195.1,5128881
GCA_016878495.1,GCA_016878495.1,5158626
GCA_016878515.1,GCA_016878515.1,5128566
GCA_016878535.1,GCA_016878535.1,5221305
GCA_016878565.1,GCA_016878565.1,5180661
GCA_016878555.1,GCA_016878555.1,5130724
GCA_016878595.1,GCA_016878595.1,5220433
GCA_016878615.1,GCA_016878615.1,5127305
GCA_016878635.1,GCA_016878635.1,5127365
GCA_016878655.1,GCA_016878655.1,5132236
GCA_016879975.1,GCA_016879975.1,5137014
GCA_020295325.1,GCA_020295325.1,6237544
GCA_013415485.1,GCA_013415485.1,4062557
GCA_013415115.1,GCA_013415115.1,3724647
GCA_013608135.1,GCA_013608135.1,3080493
GCA_024530995.1,GCA_024530995.1,5561594
GCA_024531115.1,GCA_024531115.1,5682451
GCA_024531135.1,GCA_024531135.1,5057945
GCA_024531155.1,GCA_024531155.1,4986601
GCA_024531215.1,GCA_024531215.1,5223817
GCA_024531195.1,GCA_024531195.1,5096293
GCA_024531205.1,GCA_024531205.1,4986756
GCA_024531295.1,GCA_024531295.1,5078322
GCA_024531375.1,GCA_024531375.1,5484330
GCA_013911345.1,GCA_013911345.1,1181771
GCA_014050145.1,GCA_014050145.1,4588813
GCA_014200165.1,GCA_014200165.1,8730687
GCA_014207495.1,GCA_014207495.1,6541127
GCA_014202315.1,GCA_014202315.1,11651000
GCA_014192055.1,GCA_014192055.1,4801488
GCA_014192215.1,GCA_014192215.1,4168933
GCA_014195655.1,GCA_014195655.1,5030725
GCA_014197665.1,GCA_014197665.1,3908741
GCA_014197785.1,GCA_014197785.1,5156171
GCA_014199445.1,GCA_014199445.1,3243171
GCA_014163665.1,GCA_014163665.1,4649514
GCA_014164465.1,GCA_014164465.1,5963089
GCA_014164585.1,GCA_014164585.1,5624038
GCA_014138625.1,GCA_014138625.1,6774758
GCA_014138635.1,GCA_014138635.1,6776230
GCA_020637985.1,GCA_020637985.1,3044095
GCA_020637865.1,GCA_020637865.1,2286879
GCA_024236535.1,GCA_024236535.1,2600541
GCA_024235595.1,GCA_024235595.1,3934510
GCA_024235555.1,GCA_024235555.1,4056947
GCA_014212355.1,GCA_014212355.1,3490400
GCA_015351605.1,GCA_015351605.1,6905873
GCA_014384565.1,GCA_014384565.1,1474271
GCA_014382875.1,GCA_014382875.1,4525403
GCA_014381985.1,GCA_014381985.1,2516332
GCA_014349205.1,GCA_014349205.1,6588237
GCA_014384845.1,GCA_014384845.1,8866612
GCA_014859505.1,GCA_014859505.1,3359532
GCA_017776525.1,GCA_017776525.1,3335703
GCA_020740875.1,GCA_020740875.1,5036395
GCA_020740925.1,GCA_020740925.1,5529422
GCA_020740955.1,GCA_020740955.1,5496836
GCA_014700075.1,GCA_014700075.1,5792966
GCA_014779595.1,GCA_014779595.1,4804400
GCA_014863355.1,GCA_014863355.1,6291275
GCA_016123485.1,GCA_016123485.1,3724544
GCA_044904505.1,GCA_044904505.1,5555098
GCA_015163535.1,GCA_015163535.1,6243356
GCA_015163545.1,GCA_015163545.1,4926672
GCA_015163555.1,GCA_015163555.1,5363590
GCA_015163635.1,GCA_015163635.1,4995789
GCA_015209595.1,GCA_015209595.1,4639006
GCA_015234205.1,GCA_015234205.1,6861219
GCA_022566015.1,GCA_022566015.1,2967631
GCA_016613355.1,GCA_016613355.1,3202336
GCA_019690035.1,GCA_019690035.1,3375606
GCA_016106655.1,GCA_016106655.1,3321734
GCA_015234355.1,GCA_015234355.1,3388464
GCA_015277735.1,GCA_015277735.1,3331467
GCA_016780765.1,GCA_016780765.1,2246947
GCA_016780775.1,GCA_016780775.1,2210623
GCA_016780675.1,GCA_016780675.1,2118584
GCA_016780525.1,GCA_016780525.1,1344186
GCA_016779465.1,GCA_016779465.1,1786025
GCA_016778915.1,GCA_016778915.1,2066283
GCA_016778825.1,GCA_016778825.1,1100928
GCA_016777745.1,GCA_016777745.1,1178826
GCA_016777505.1,GCA_016777505.1,900109
GCA_016777095.1,GCA_016777095.1,2365223
GCA_016776945.1,GCA_016776945.1,2469022
GCA_016704435.1,GCA_016704435.1,4362972
GCA_016711185.1,GCA_016711185.1,4238992
GCA_026933185.1,GCA_026933185.1,5027175
GCA_015351755.1,GCA_015351755.1,3287185
GCA_016649255.1,GCA_016649255.1,9164775
GCA_015680235.1,GCA_015680235.1,5065022
GCA_015680285.1,GCA_015680285.1,5288587
GCA_015680295.1,GCA_015680295.1,5460287
GCA_015680325.1,GCA_015680325.1,5288548
GCA_015680735.1,GCA_015680735.1,5186597
GCA_018780345.1,GCA_018780345.1,6637194
GCA_018219815.1,GCA_018219815.1,4333180
GCA_015595025.1,GCA_015595025.1,3725077
GCA_015645095.1,GCA_015645095.1,3873803
GCA_015752055.1,GCA_015752055.1,7133522
GCA_015751945.1,GCA_015751945.1,7004028
GCA_018398425.1,GCA_018398425.1,4583128
GCA_018398405.1,GCA_018398405.1,4614903
GCA_022129265.1,GCA_022129265.1,2731348
GCA_018524345.1,GCA_018524345.1,4000144
GCA_016008995.1,GCA_016008995.1,6400559
GCA_016009055.1,GCA_016009055.1,6036535
GCA_016009195.1,GCA_016009195.1,6565966
GCA_015864805.1,GCA_015864805.1,3984344
GCA_015864565.1,GCA_015864565.1,3302509
GCA_015864635.1,GCA_015864635.1,3515978
GCA_015999685.1,GCA_015999685.1,7473686
GCA_016000165.1,GCA_016000165.1,6454405
GCA_019691255.1,GCA_019691255.1,5906080
GCA_016337225.1,GCA_016337225.1,7108691
GCA_019845595.1,GCA_019845595.1,4986964
GCA_028309885.1,GCA_028309885.1,4952408
GCA_016758285.1,GCA_016758285.1,4732670
GCA_016758325.1,GCA_016758325.1,4732670
GCA_029428955.1,GCA_029428955.1,5708170
GCA_046635885.1,GCA_046635885.1,5804923
GCA_019846405.1,GCA_019846405.1,5145513
GCA_019846825.1,GCA_019846825.1,5659237
GCA_019846235.1,GCA_019846235.1,5175065
GCA_019846195.1,GCA_019846195.1,5067895
GCA_017643905.1,GCA_017643905.1,4441742
GCA_017643845.1,GCA_017643845.1,3186848
GCA_017643115.1,GCA_017643115.1,4207062
GCA_022603415.1,GCA_022603415.1,5275089
GCA_016746085.1,GCA_016746085.1,4223911
GCA_016763475.1,GCA_016763475.1,3279388
GCA_016765775.1,GCA_016765775.1,4219778
GCA_016793705.1,GCA_016793705.1,3835440
GCA_016909095.1,GCA_016909095.1,2711036
GCA_016819485.1,GCA_016819485.1,4822413
GCA_016819515.1,GCA_016819515.1,4820451
GCA_016819535.1,GCA_016819535.1,4820671
GCA_016819555.1,GCA_016819555.1,4819705
GCA_016819575.1,GCA_016819575.1,4821175
GCA_016819585.1,GCA_016819585.1,4821101
GCA_016819615.1,GCA_016819615.1,4821208
GCA_016817315.1,GCA_016817315.1,4819875
GCA_016817295.1,GCA_016817295.1,4822426
GCA_016817335.1,GCA_016817335.1,4823822
GCA_016819635.1,GCA_016819635.1,4819402
GCA_016819655.1,GCA_016819655.1,4823161
GCA_016819665.1,GCA_016819665.1,4823376
GCA_016819695.1,GCA_016819695.1,4820922
GCA_016819735.1,GCA_016819735.1,4819028
GCA_016819715.1,GCA_016819715.1,4821367
GCA_016819755.1,GCA_016819755.1,4820155
GCA_016819765.1,GCA_016819765.1,4821486
GCA_016819795.1,GCA_016819795.1,4821535
GCA_016819815.1,GCA_016819815.1,4829468
GCA_016819875.1,GCA_016819875.1,4820694
GCA_016819855.1,GCA_016819855.1,4827495
GCA_016819835.1,GCA_016819835.1,4820461
GCA_016819885.1,GCA_016819885.1,4821065
GCA_016819955.1,GCA_016819955.1,4820405
GCA_016819915.1,GCA_016819915.1,4819983
GCA_016819995.1,GCA_016819995.1,4823277
GCA_016819935.1,GCA_016819935.1,4820993
GCA_016819975.1,GCA_016819975.1,4820479
GCA_018304845.1,GCA_018304845.1,3184602
GCA_016924145.1,GCA_016924145.1,4702884
GCA_016924235.1,GCA_016924235.1,4695522
GCA_016937625.1,GCA_016937625.1,5057045
GCA_017051735.1,GCA_017051735.1,5275089
GCA_017051775.1,GCA_017051775.1,5276515
GCA_017051795.1,GCA_017051795.1,5276531
GCA_017051655.1,GCA_017051655.1,5273268
GCA_017051665.1,GCA_017051665.1,4964135
GCA_020832705.1,GCA_020832705.1,3642879
GCA_020832555.1,GCA_020832555.1,3904375
GCA_019846575.1,GCA_019846575.1,7301422
GCA_017305935.1,GCA_017305935.1,6549139
GCA_017313425.1,GCA_017313425.1,5360365
GCA_017313445.1,GCA_017313445.1,5540169
GCA_017313525.1,GCA_017313525.1,5762605
GCA_017313505.1,GCA_017313505.1,5327684
GCA_017313585.1,GCA_017313585.1,5359286
GCA_017313625.1,GCA_017313625.1,5509932
GCA_017313705.1,GCA_017313705.1,5341523
GCA_017313645.1,GCA_017313645.1,6057133
GCA_017313725.1,GCA_017313725.1,5458535
GCA_018555685.1,GCA_018555685.1,6717907
GCA_017515565.1,GCA_017515565.1,3755276
GCA_017498085.1,GCA_017498085.1,3054724
GCA_040148675.1,GCA_040148675.1,4286852
GCA_017498065.1,GCA_017498065.1,3109059
GCA_018458705.1,GCA_018458705.1,5118744
GCA_018458675.1,GCA_018458675.1,5104232
GCA_018458625.1,GCA_018458625.1,5123385
GCA_018458635.1,GCA_018458635.1,5090839
GCA_018458585.1,GCA_018458585.1,5097523
GCA_018458565.1,GCA_018458565.1,5269427
GCA_018458525.1,GCA_018458525.1,5546188
GCA_018458545.1,GCA_018458545.1,5070984
GCA_018458485.1,GCA_018458485.1,5477015
GCA_018458505.1,GCA_018458505.1,5099711
GCA_018458465.1,GCA_018458465.1,5156175
GCA_018458445.1,GCA_018458445.1,5108450
GCA_018458425.1,GCA_018458425.1,5096080
GCA_018458385.1,GCA_018458385.1,5075336
GCA_018458405.1,GCA_018458405.1,5380668
GCA_018458355.1,GCA_018458355.1,5082042
GCA_018458325.1,GCA_018458325.1,5197973
GCA_018458285.1,GCA_018458285.1,5059225
GCA_018458345.1,GCA_018458345.1,5185162
GCA_018458305.1,GCA_018458305.1,5147080
GCA_018458265.1,GCA_018458265.1,5081161
GCA_018458215.1,GCA_018458215.1,5147913
GCA_018458205.1,GCA_018458205.1,5029473
GCA_018458225.1,GCA_018458225.1,5238214
GCA_018458185.1,GCA_018458185.1,5335337
GCA_018458145.1,GCA_018458145.1,5090191
GCA_018458165.1,GCA_018458165.1,5059621
GCA_018458105.1,GCA_018458105.1,5040179
GCA_018458125.1,GCA_018458125.1,5264528
GCA_018458085.1,GCA_018458085.1,5114859
GCA_018458065.1,GCA_018458065.1,4988002
GCA_018458035.1,GCA_018458035.1,5157536
GCA_018458025.1,GCA_018458025.1,5121585
GCA_018458005.1,GCA_018458005.1,5283352
GCA_018457985.1,GCA_018457985.1,5168030
GCA_018457935.1,GCA_018457935.1,5228081
GCA_018457965.1,GCA_018457965.1,5103239
GCA_018457905.1,GCA_018457905.1,5187408
GCA_018457925.1,GCA_018457925.1,5199128
GCA_018457885.1,GCA_018457885.1,5289338
GCA_018457805.1,GCA_018457805.1,5038516
GCA_018457855.1,GCA_018457855.1,5228320
GCA_018457845.1,GCA_018457845.1,5158188
GCA_018457825.1,GCA_018457825.1,5284224
GCA_018457785.1,GCA_018457785.1,5178714
GCA_018457755.1,GCA_018457755.1,5157699
GCA_018457725.1,GCA_018457725.1,5137445
GCA_018457745.1,GCA_018457745.1,5136446
GCA_018457705.1,GCA_018457705.1,5199877
GCA_018457685.1,GCA_018457685.1,5236241
GCA_018457625.1,GCA_018457625.1,5056621
GCA_018457635.1,GCA_018457635.1,5150533
GCA_018457665.1,GCA_018457665.1,5056738
GCA_018457585.1,GCA_018457585.1,5162552
GCA_018457595.1,GCA_018457595.1,5124024
GCA_018457545.1,GCA_018457545.1,5129291
GCA_018457565.1,GCA_018457565.1,5323436
GCA_018457505.1,GCA_018457505.1,5210542
GCA_018457485.1,GCA_018457485.1,5155808
GCA_018457525.1,GCA_018457525.1,5087011
GCA_018457465.1,GCA_018457465.1,5393508
GCA_018457405.1,GCA_018457405.1,5298446
GCA_018457415.1,GCA_018457415.1,5198559
GCA_018457425.1,GCA_018457425.1,5315051
GCA_018457365.1,GCA_018457365.1,5097490
GCA_018457385.1,GCA_018457385.1,5097313
GCA_049116415.1,GCA_049116415.1,2905185
GCA_018101215.1,GCA_018101215.1,4174113
GCA_018101115.1,GCA_018101115.1,4173585
GCA_018101175.1,GCA_018101175.1,5031843
GCA_018457175.1,GCA_018457175.1,3903639
GCA_017653575.1,GCA_017653575.1,3988725
GCA_028888725.1,GCA_028888725.1,5656690
GCA_017875115.1,GCA_017875115.1,6848429
GCA_017875165.1,GCA_017875165.1,6796030
GCA_017744095.1,GCA_017744095.1,4368618
GCA_017743995.1,GCA_017743995.1,4687149
GCA_017743975.1,GCA_017743975.1,4659537
GCA_017744045.1,GCA_017744045.1,5039176
GCA_017743935.1,GCA_017743935.1,5238434
GCA_017743945.1,GCA_017743945.1,4024906
GCA_017743815.1,GCA_017743815.1,4194401
GCA_017743795.1,GCA_017743795.1,4185571
GCA_017743755.1,GCA_017743755.1,4643978
GCA_017744435.1,GCA_017744435.1,5639801
