dataset,taxon_id,assembly_accession,isolation_source,geo_loc_name,env_broad_scale,env_local_scale,env_medium,geographic location (latitude),geographic location (longitude),lat_lon,geographic location (region and locality)
324,1913988,GCA_017470165.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017470585.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017471265.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017471445.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017471705.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017471805.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017472065.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017472515.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017474005.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017475525.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017475605.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017475705.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017475935.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017475965.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017476085.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017476145.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017476285.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017476405.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017477035.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017477185.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017478425.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017479785.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017479985.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017480385.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017480745.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017480825.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017480965.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017480995.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017481035.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017481685.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017483515.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017484225.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017501665.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017502645.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017502865.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017503685.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017503725.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017504425.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017505315.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017505365.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017505705.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017505825.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017507765.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017511715.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017513285.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017513345.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017513365.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017516405.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017517785.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017520675.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017521165.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017522445.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017524525.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017525635.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017527025.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017528045.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017528205.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017528285.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017530515.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017533065.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017533325.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017534945.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017535105.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017539265.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017539865.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017540065.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017542665.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017543205.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017543505.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017543835.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017544485.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017546085.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017546265.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017546315.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017546885.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017546925.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017549165.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017549445.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017552575.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017554025.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017554365.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017554665.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017555325.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017555405.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017557925.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017559525.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017613075.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017613115.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017614525.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017615655.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017616015.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017616785.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017616975.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017617275.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017617915.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017617975.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017618175.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017618595.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017621635.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017624295.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017625985.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017626035.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017628355.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017628695.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017628815.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017629245.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017630405.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017631895.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017632555.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017633295.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017635595.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017635795.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017640645.1,non-axenic culture inoculated from ocean water sample,not applicable,,,,,,20 N 127 E,
324,1913988,GCA_017641145.1,non-axenic culture inoculated from ocean water sample,not applicable,,,,,,18 N 129 E,
324,1913988,GCA_017642565.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017642585.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017642625.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017643325.1,non-axenic culture inoculated from ocean water sample,not applicable,,,,,,22.4 N 122.85 E,
324,1913988,GCA_017643635.1,non-axenic culture inoculated from ocean water sample,not applicable,,,,,,20 N 123 E,
324,1913988,GCA_017643735.1,non-axenic culture inoculated from ocean water sample,not applicable,,,,,,18 N 129 E,
324,1913988,GCA_017645485.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017647405.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017647465.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017648565.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017649895.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017650255.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017650375.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017650505.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017650945.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017650965.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017651845.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017651905.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017651925.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017652045.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017847695.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017852355.1,Bay water,USA: Delaware Bay,estuarine biome [ENVO:01000020],bay [ENVO:00000032],estuarine water [ENVO:01000301],,,39.283 N 75.3633 W,
324,1913988,GCA_017853315.1,Bay water,USA: Delaware Bay,estuarine biome [ENVO:01000020],bay [ENVO:00000032],estuarine water [ENVO:01000301],,,39.283 N 75.3633 W,
324,1913988,GCA_017855485.1,bay water,USA: Chesapeake Bay,estuarine biome [ENVO:01000020],bay [ENVO:00000032],estuarine water [ENVO:01000301],,,37.1849 N 76.1104 W,
324,1913988,GCA_017855955.1,bay water,USA: Chesapeake Bay,estuarine biome [ENVO:01000020],bay [ENVO:00000032],estuarine water [ENVO:01000301],,,37.5161 N 76.1223 W,
324,1913988,GCA_017856895.1,Chesapeake Bay,USA: Chesapeake Bay,estuarine biome [ENVO:01000020],bay [ENVO:00000032],estuarine water [ENVO:01000301],,,37.1043 N 76.1811 W,
324,1913988,GCA_017857715.1,Chesapeake Bay,USA: Chesapeake Bay,estuarine biome [ENVO:01000020],bay [ENVO:00000032],estuarine water [ENVO:01000301],,,37.1043 N 76.1811 W,
324,1913988,GCA_017935245.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017935465.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017935485.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017936145.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017936185.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017936325.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017937465.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017937705.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017937735.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017938435.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017939155.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017958225.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017958895.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017960645.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017960745.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017960855.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017961285.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017962125.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017962565.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017963715.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017964705.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017964865.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017965645.1,ruminant gastrointestinal tract,not collected,,,,,,not collected,
324,1913988,GCA_017983635.1,wastewater,Germany: Goettingen,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,51.554015 N 9.916879 E,
324,1913988,GCA_017992885.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00000890,,,54.115085 N 13.438934 E,
324,1913988,GCA_017993335.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00000890,,,54.115085 N 13.438934 E,
324,1913988,GCA_017996055.1,wastewater,Germany: Goettingen,ENVO:00002043,ENVO:00002044,ENVO:00002046,,,51.554117 N 9.916972 E,
324,1913988,GCA_017999645.1,wastewater,Germany: Goettingen,ENVO:00002043,ENVO:00002044,ENVO:00002046,,,51.554117 N 9.916972 E,
324,1913988,GCA_017999935.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,54.115328 N 13.432986 E,
324,1913988,GCA_018000175.1,wastewater,Germany: Goettingen,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,51.554015 N 9.916879 E,
324,1913988,GCA_018000295.1,wastewater,Germany: Goettingen,ENVO:00002043,ENVO:00002044,ENVO:00002046,,,51.554117 N 9.916972 E,
324,1913988,GCA_018002605.1,wastewater,Germany: Goettingen,ENVO:00002043,ENVO:00002044,ENVO:00003965,,,51.554753 N 9.918294 E,
324,1913988,GCA_018057185.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002044,ENVO:00002046,,,54.114685 N 13.431538 E,
324,1913988,GCA_018060745.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,54.115328 N 13.432986 E,
324,1913988,GCA_018060795.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,54.115328 N 13.432986 E,
324,1913988,GCA_018062025.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,54.115328 N 13.432986 E,
324,1913988,GCA_018063145.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002018,ENVO:00002018,,,54.115328 N 13.432986 E,
324,1913988,GCA_018063245.1,wastewater,Germany: Greifswald,ENVO:00002043,ENVO:00002044,ENVO:00002046,,,54.114685 N 13.431538 E,
324,1913988,GCA_018222605.1,surface seawater,China: The East China Sea,seawater biome,coastal zone,surface seawater,,,31.003 N 123.000 E,
324,1913988,GCA_018222725.1,oxic surface sediment,China: The East China Sea,sediment biome,coastal zone,oxic surface sediment,,,31.003 N 123.000 E,
324,1913988,GCA_018222865.1,oxic surface sediment,China: The East China Sea,sediment biome,coastal zone,oxic surface sediment,,,31.003 N 123.000 E,
324,1913988,GCA_018336035.1,well water,USA:California,ENVO:01000216,ENVO:01001004,ENVO:01000002,,,38.8257 N 122.35152 W,
324,1913988,GCA_018383165.1,porcine fecal sample,"United Kingdom: Sparsholt, Hampshire",Faecal biome,ENVO_00000078,ENVO:00002003,,,51.08 N 1.38 W,
324,1913988,GCA_018399685.1,5.5 m monimolimnion layer of meromictic lake,"Russia: Republic of Khakassia, Shirinsky District, Lake Shunet",meromictic lake,monimolimnion,saline lake water,,,54.25 N 90.13 E,
324,1913988,GCA_018401675.1,3.0 m mixolimnion layer of meromictic lake,"Russia: Republic of Khakassia, Shirinsky District, Lake Shunet",meromictic lake,mixolimnion,saline lake water,,,54.25 N 90.13 E,
324,1913988,GCA_018608245.1,10 sea water samples from phytoplankton spring bloom collected during Heincke cruise HE327,Germany: North Sea,temperate shelf and sea biome,surface,sea water,,,54.4 N 8.2 E,
324,1913988,GCA_018609605.1,salt flat sediment sample,USA: Utah Bonneville Salt Flats,salt flats sediment,not applicaple,salty sediments,,,40.75934984 N 113.901557 W,
324,1913988,GCA_018645605.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018648005.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018648935.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018650035.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018650465.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018654365.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018654745.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018657445.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018658465.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018658635.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018658685.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018659965.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018661565.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018661745.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018662925.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018663705.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018664325.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018664645.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018664685.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018665465.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018665505.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018665915.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018666135.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018666195.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018666845.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018666955.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018667095.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018667735.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018668475.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018669075.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018670635.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018672995.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018673135.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018678915.1,Beach sand,Australia: Port Phillip Bay,intertidal zone [ENVO:00000316],intertidal zone [ENVO:00000316],Permeable sediment,,,37.86 S 144.96 E,
324,1913988,GCA_018678995.1,Beach sand,Australia: Port Phillip Bay,intertidal zone [ENVO:00000316],intertidal zone [ENVO:00000316],Permeable sediment,,,37.86 S 144.96 E,
324,1913988,GCA_018679155.1,beach sand,"Australia: Cummings Reserve, Port Phillip Bay site B shallow",intertidal zone [ENVO:00000316],intertidal zone [ENVO:00000316],Permeable sediment,,,37.8562 S 144.9642 E,
324,1913988,GCA_018699195.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018700125.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018700515.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018701255.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018701595.1,hypoxic seawater,"Canada: Vancouver, Saanich Inlet",marine biome [ENVO:00000447],,,,,48.36 N 123.30 W,
324,1913988,GCA_018813115.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018813365.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018814005.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018814135.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018814275.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018814725.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018814845.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815025.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815065.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815215.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815305.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815425.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815445.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815455.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815485.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815505.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815535.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815605.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815705.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815745.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815785.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
324,1913988,GCA_018815845.1,Aspo HRL,Sweden,aquatic biome,groundwater,water,,,57.264 N 16.3936 E,
