mass_feature,RT,mz,MS2,add_annotation,sample_fraction,replicate_name,adjusted_area,sample_set,treatment
HILICPos_92,4.746,141.04686,53.77457:6850 59.34272:9482 60.73433:7942 84.12716:7883 85.07664:9699 112.08717:19833 123.0239:11434 141.04706:2708402 141.11362:26766,[M+H]+,Particulate,211202_Smp_OBi1_8,18712458.842741203,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_92,4.746,141.04686,53.77457:6850 59.34272:9482 60.73433:7942 84.12716:7883 85.07664:9699 112.08717:19833 123.0239:11434 141.04706:2708402 141.11362:26766,[M+H]+,Particulate,211202_Smp_OBi1_9,11527808.249433652,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_1,8208117.1986788595,OBi1_set2,Glucose + NH4
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_2,6356756.196997908,OBi1_set2,Glucose + NH4
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_3,7781788.037397421,OBi1_set2,Glucose + NH4
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_4,2942097.128005368,OBi1_set2,Homarine
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_5,2035070.059093023,OBi1_set2,Homarine
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_6,1586024.7933811082,OBi1_set2,Homarine
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_7,13554685.380202478,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_8,13039557.404476112,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_93,8.016,141.06578,53.48712:6576 55.68821:6196 57.41047:6865 59.60603:6457 63.21587:6434 76.0934:7147 78.33517:6424 81.04565:9029 94.67507:6658 95.06089:9464 111.05565:51412 123.05558:54688 124.33475:7917 141.04697:14542 141.06598:103314 141.07396:26167,NA,Particulate,211202_Smp_OBi1_9,15464279.692928849,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_1,139200728.85737485,OBi1_set2,Glucose + NH4
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_2,72825441.48226073,OBi1_set2,Glucose + NH4
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_3,135178005.78973752,OBi1_set2,Glucose + NH4
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_4,1321509.7996720483,OBi1_set2,Homarine
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_5,1560955.9695437176,OBi1_set2,Homarine
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_6,1027347.3298016709,OBi1_set2,Homarine
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_7,67528550.27242231,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_8,68818614.2637591,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_95,10.263,142.0975,NA,NA,Particulate,211202_Smp_OBi1_9,82055636.70234652,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_1,33075393.076797884,OBi1_set2,Glucose + NH4
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_2,23766307.95346946,OBi1_set2,Glucose + NH4
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_3,22696746.26369439,OBi1_set2,Glucose + NH4
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_4,1795346.653429355,OBi1_set2,Homarine
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_5,1797927.8459583106,OBi1_set2,Homarine
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_6,1413392.8130651463,OBi1_set2,Homarine
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_7,12232356.702123446,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_8,12608200.415486708,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_96,9.536,142.63747,NA,NA,Particulate,211202_Smp_OBi1_9,11519959.319407716,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_1,2741240.2802075697,OBi1_set2,Glucose + NH4
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_2,2509178.412237768,OBi1_set2,Glucose + NH4
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_3,3260228.7960031116,OBi1_set2,Glucose + NH4
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_4,1230836.2904715862,OBi1_set2,Homarine
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_5,1395230.224891048,OBi1_set2,Homarine
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_6,774822.9024543504,OBi1_set2,Homarine
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_7,4415763.60519267,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_8,6208973.478923858,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_97,9.612,142.9214,NA,NA,Particulate,211202_Smp_OBi1_9,3952367.879139409,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_1,15101189.63753567,OBi1_set2,Glucose + NH4
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_2,10783573.39606894,OBi1_set2,Glucose + NH4
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_3,16142183.576229224,OBi1_set2,Glucose + NH4
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_4,1109017.6438909306,OBi1_set2,Homarine
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_5,1250380.792450336,OBi1_set2,Homarine
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_6,836923.1720198549,OBi1_set2,Homarine
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_7,6596312.874153859,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_8,6260906.118655677,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_98,9.556,142.95486,NA,NA,Particulate,211202_Smp_OBi1_9,4321396.074932922,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_1,14368897902.941792,OBi1_set2,Glucose + NH4
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_2,12136257446.9266,OBi1_set2,Glucose + NH4
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_3,13570995439.024992,OBi1_set2,Glucose + NH4
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_4,7433743913.727935,OBi1_set2,Homarine
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_5,7857019301.691492,OBi1_set2,Homarine
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_6,5898713762.747335,OBi1_set2,Homarine
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_7,26379706451.19824,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_8,27002493938.057903,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_99,9.485,143.08125,52.63223:53143 56.05029:307164 57.9426:66462 59.50026:55689 68.05022:1115518 73.07678:601672 74.62395:56584 84.04512:60000 97.07657:28685500 100.59557:52865 101.07145:4369642 102.05542:209082 103.03145:56327 125.07126:241098 137.26804:59517 142.63597:53867,[M+H]+,Particulate,211202_Smp_OBi1_9,21584218107.399887,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_1,9066606,OBi1_set2,Glucose + NH4
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_2,2584632,OBi1_set2,Glucose + NH4
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_3,14027149,OBi1_set2,Glucose + NH4
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_4,1461153,OBi1_set2,Homarine
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_5,1940298,OBi1_set2,Homarine
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_6,1695273,OBi1_set2,Homarine
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_7,3712870,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_8,4344316,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_105,9.491,143.16971,NA,NA,Particulate,211202_Smp_OBi1_9,2382159,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_1,15862512.812645825,OBi1_set2,Glucose + NH4
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_2,13141411.163698858,OBi1_set2,Glucose + NH4
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_3,18388980.131477155,OBi1_set2,Glucose + NH4
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_4,2009196.0745915736,OBi1_set2,Homarine
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_5,1913441.968731664,OBi1_set2,Homarine
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_6,1141548.0632605962,OBi1_set2,Homarine
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_7,7007975.89603895,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_8,7269217.660983088,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_106,9.433,143.2063,NA,NA,Particulate,211202_Smp_OBi1_9,4478484.505652244,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_1,28512958.21965176,OBi1_set2,Glucose + NH4
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_2,21556467.417327393,OBi1_set2,Glucose + NH4
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_3,20470571.227890603,OBi1_set2,Glucose + NH4
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_4,1447165.2373675022,OBi1_set2,Homarine
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_5,1642805.4088198878,OBi1_set2,Homarine
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_6,1338577.9778692422,OBi1_set2,Homarine
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_7,11317353.268163808,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_8,10793482.421048714,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_107,9.485,143.52701,NA,NA,Particulate,211202_Smp_OBi1_9,10742526.052477004,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_1,4576921.715538123,OBi1_set2,Glucose + NH4
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_2,5803945.303309869,OBi1_set2,Glucose + NH4
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_3,3639931.7717977273,OBi1_set2,Glucose + NH4
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_4,3748670.0503304647,OBi1_set2,Homarine
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_5,3967567.9752462497,OBi1_set2,Homarine
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_6,3856812.683830066,OBi1_set2,Homarine
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_7,3872234.254073219,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_8,3983772.011820662,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_109,10.694,145.04965,NA,NA,Particulate,211202_Smp_OBi1_9,1633270.3488826596,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_1,9821689.238042517,OBi1_set2,Glucose + NH4
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_2,8642478.117181325,OBi1_set2,Glucose + NH4
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_3,8886550.360848809,OBi1_set2,Glucose + NH4
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_4,5448296.909732736,OBi1_set2,Homarine
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_5,5573634.973332696,OBi1_set2,Homarine
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_6,4597360.483584836,OBi1_set2,Homarine
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_7,7233130.618084762,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_8,6750393.863642483,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_110,10.33,146.0811,NA,NA,Particulate,211202_Smp_OBi1_9,4749568.762204529,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_1,3853712,OBi1_set2,Glucose + NH4
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_2,5705232,OBi1_set2,Glucose + NH4
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_3,5431849,OBi1_set2,Glucose + NH4
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_4,3890820,OBi1_set2,Homarine
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_5,1750582,OBi1_set2,Homarine
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_6,4901024,OBi1_set2,Homarine
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_7,5157292,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_8,4143007,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_111,11.358,146.09261,NA,NA,Particulate,211202_Smp_OBi1_9,2598837,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_1,2215316,OBi1_set2,Glucose + NH4
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_2,1889054,OBi1_set2,Glucose + NH4
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_3,1889147,OBi1_set2,Glucose + NH4
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_4,1981829,OBi1_set2,Homarine
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_5,1828981,OBi1_set2,Homarine
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_6,1859975,OBi1_set2,Homarine
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_7,1932192,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_8,1627394,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_112,9.829,146.11729,NA,NA,Particulate,211202_Smp_OBi1_9,1559427,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_1,534311789.5101116,OBi1_set2,Glucose + NH4
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_2,491501818.8781566,OBi1_set2,Glucose + NH4
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_3,484408999.5025488,OBi1_set2,Glucose + NH4
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_4,42835506.88194863,OBi1_set2,Homarine
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_5,132866804.75280456,OBi1_set2,Homarine
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_6,106800973.647944,OBi1_set2,Homarine
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_7,1429695140.6835678,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_8,1603474683.9731116,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_113,10.713,147.07625,55.01005:6994 64.92803:16196 75.87686:8433 83.17699:7405 83.72128:6893 84.04502:351482 91.19932:6347 101.07143:57161 102.0554:8760 105.95438:7637 112.00097:6298 114.82079:7519 119.65422:7336 123.96468:149971 130.05008:576944 141.99438:6509 146.57248:7884 146.98041:14164 147.0555:23486,[M+H]+,Particulate,211202_Smp_OBi1_9,1402119980.752398,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_1,22536509.15023805,OBi1_set2,Glucose + NH4
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_2,18288415.74166809,OBi1_set2,Glucose + NH4
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_3,21681186.375715617,OBi1_set2,Glucose + NH4
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_4,11381532.499180611,OBi1_set2,Homarine
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_5,10823490.205905594,OBi1_set2,Homarine
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_6,7752166.414672489,OBi1_set2,Homarine
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_7,17655569.3305634,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_8,17711103.673158456,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_114,18.146,147.1127,NA,[M+H]+,Particulate,211202_Smp_OBi1_9,15065294.1525039,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_1,2837977.657186292,OBi1_set2,Glucose + NH4
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_2,1928307.0704448372,OBi1_set2,Glucose + NH4
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_3,1477178.235785022,OBi1_set2,Glucose + NH4
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_4,293495.08259758074,OBi1_set2,Homarine
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_5,282778.5832720561,OBi1_set2,Homarine
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_6,291977.5238277125,OBi1_set2,Homarine
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_7,2116281.3869033228,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_8,1562124.0041968091,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_115,11.501,147.5939,NA,NA,Particulate,211202_Smp_OBi1_9,2170600.795282307,OBi1_set2,Glucose + NH4 + Homarine
HILICPos_116,11.458,147.92912,NA,NA,Particulate,211202_Smp_OBi1_1,1005087.8728611688,OBi1_set2,Glucose + NH4
HILICPos_116,11.458,147.92912,NA,NA,Particulate,211202_Smp_OBi1_2,848122.953681047,OBi1_set2,Glucose + NH4
HILICPos_116,11.458,147.92912,NA,NA,Particulate,211202_Smp_OBi1_3,1231243.3821660774,OBi1_set2,Glucose + NH4
HILICPos_116,11.458,147.92912,NA,NA,Particulate,211202_Smp_OBi1_4,218331.9501962553,OBi1_set2,Homarine
