ID,RT,mz,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,211207_Blk_BlankTube_1,211207_Blk_BlankTube_2,211207_Blk_BlankTube_3,211207_Poo_TruePooBacteria_DDApos20,211207_Poo_TruePooBacteria_DDApos35,211207_Poo_TruePooBacteria_DDApos50,211207_Poo_TruePooBacteria_Full1,211207_Poo_TruePooBacteria_Full2,211207_Poo_TruePooBacteria_Full3,211207_Poo_TruePooBacteria_Half1,211207_Poo_TruePooBacteria_Half2,211207_Poo_TruePooBacteria_Half3,211207_Smp_OBi1_1,211207_Smp_OBi1_2,211207_Smp_OBi1_3,211207_Smp_OBi1_4,211207_Smp_OBi1_5,211207_Smp_OBi1_6,211207_Smp_OBi1_7,211207_Smp_OBi1_8,211207_Smp_OBi1_9
RPPos_148,5.453,568.78375,NA,NA,NA,NA,NA,0,0,0,59568,47261,49907,40732,58375,45555,23420,29485,24599,149435,102379,91904,220506,98040,52035,64019,67199,32132
RPPos_149,5.755,569.7807,NA,NA,NA,NA,NA,0,0,0,14933,8905,14972,9677,14678,14754,7333,7948,3378,45036,41464,26972,48362,56815,17362,20977,26221,23300
RPPos_150,2.798,572.17877,NA,NA,NA,NA,NA,0,0,0,1659,6303,0,4488,4320,4060,0,3066,0,65626,35119,22581,35119,20410,6665,25560,17506,23864
RPPos_152,5.685,587.3233,NA,NA,NA,NA,NA,0,956,0,28593,33446,26202,25505,36906,27541,11433,16832,11163,151936,58183,53866,65282,51316,26507,48980,62714,117501
RPPos_153,5.244,601.29675,NA,NA,NA,NA,NA,0,0,1059,15972,15878,12621,15118,17170,15011,9728,8829,6030,29014,24102,25570,31019,34683,20206,32089,20802,26981
RPPos_154,5.015,608.38531,NA,NA,NA,NA,NA,18088,2444,4136,35091,31446,30534,39743,35884,20368,24497,30258,15468,61606,70530,57530,60517,54246,20995,37966,37038,24875
RPPos_155,6.933,612.30878,NA,NA,NA,NA,NA,0,0,1608,9702,7988,5898,6413,9988,8582,4756,4830,3225,17692,15238,12601,22087,14241,18851,14232,16096,15484
RPPos_156,5.672,615.29602,NA,NA,NA,NA,NA,0,0,0,94308,88405,86575,54051,102217,78896,20884,37082,40586,183553,167450,99621,135818,132683,57558,82354,119365,49791
RPPos_157,5.678,615.63092,NA,NA,NA,NA,NA,0,0,0,97317,91225,95460,46141,93739,75025,19470,52187,36107,185859,162330,96917,151708,128767,64891,73438,111786,65082
RPPos_158,5.65,615.96643,NA,NA,NA,NA,NA,0,908,974,34854,37368,43035,24471,47928,33909,6928,16907,18762,98040,76697,49651,74597,59574,38227,50579,54653,22320
RPPos_159,10.115,616.17767,NA,NA,NA,NA,NA,0,0,0,180862,170855,170710,154248,185235,169762,89525,116871,80299,550910,158931,343787,571544,456558,18878,999390,103390,75062
RPPos_160,5.844,618.28906,NA,NA,NA,NA,NA,0,0,0,15954,10523,5767,3934,10817,9144,1298,2456,4069,131517,20803,9887,78264,239737,1346,9405,13741,9677
RPPos_161,5.783,620.30457,NA,NA,NA,NA,NA,0,0,0,58919,54584,49696,23417,61591,38421,10627,26991,20713,325201,88101,49536,215336,407241,18522,47177,54992,56155
RPPos_162,5.058,623.26746,NA,NA,NA,NA,NA,0,0,0,16548,18349,15114,19532,20781,20110,7159,16016,6314,40385,33838,33493,38402,33566,36804,33613,28951,32913
RPPos_163,3.964,625.31458,NA,[M+H],RPPos_163,6,624.307303545,0,0,0,1655346,1661804,1642156,1325010,1529562,1439306,853022,856651,761108,3679051,3434212,3399279,3672794,3427407,2786214,2846074,2988054,2634510
RPPos_164,4.39,638.27313,NA,in adduct group of RPPos_61,RPPos_61,17,318.632833545,0,0,0,67535,65030,66184,56115,75533,61721,37815,42026,31299,217517,217308,181357,172566,124153,58420,220923,143305,118080
RPPos_165,2.241,643.32489,50.32638:6864 61.9685:6890 63.88099:7335 71.87769:7154 88.27235:6890 88.86901:7446 92.37736:7275 94.43053:6420 101.76237:8114 105.42522:7978 115.71153:7244 123.83031:6926 159.90369:7634 176.97031:7529 189.8197:6582 222.51497:29633 222.52795:16103 222.53796:8734 245.6281:8639 287.76093:6994 316.00082:7260 330.30911:7592 413.16995:6832 508.06439:9235 543.30811:37233,in adduct group of RPPos_63,RPPos_63,7,321.158773545,0,0,0,5386675,5458646,5370979,4656095,5450252,4922987,2912934,3019520,2486879,14296053,11841918,10375185,12058162,10534733,8469190,10271136,10281708,8510079
RPPos_166,4.633,645.27277,NA,NA,NA,NA,NA,0,0,0,87874,101260,97568,90295,98409,79057,54771,49555,43350,236819,233639,197875,338415,49477,243177,217463,153068,207065
RPPos_167,5.026,646.82874,NA,NA,NA,NA,NA,0,0,979,7197,13631,11463,9707,14091,11968,7542,3958,2376,0,14562,13869,70267,27775,73152,2093,6395,11527
RPPos_168,3.961,647.29626,NA,in adduct group of RPPos_163,RPPos_163,6,624.307303545,0,0,0,250030,272909,254616,156760,234570,228153,108541,142370,132661,497381,499238,418134,526239,466023,412183,388973,381773,377138
RPPos_169,4.184,652.27252,NA,NA,NA,NA,NA,0,0,0,23610,17692,11219,20419,21165,19218,10557,10244,3104,31971,11801,13959,138765,161849,93163,21718,6059,11838
RPPos_170,5.208,652.41229,NA,NA,NA,NA,NA,2723,1142,1197,7401,12579,4479,12994,9761,10497,9571,9879,1059,25004,29191,19820,20550,29740,11802,11598,12262,10714
RPPos_171,4.183,654.26801,NA,[M+H],RPPos_171,8,653.260733545,0,943,1129,561115,510438,502146,398253,500090,437068,248706,240643,235298,609507,362077,315328,2367538,2632429,1634489,494142,241171,296457
RPPos_172,2.238,665.30695,NA,in adduct group of RPPos_63,RPPos_63,7,321.158773545,0,0,0,64503,50697,52764,57769,62031,68824,36245,31237,21418,221987,188276,152578,166509,138470,114730,164967,140711,123788
RPPos_173,5.414,665.32623,NA,NA,NA,NA,NA,0,0,0,11031,7728,11825,9634,7738,10578,3191,6743,6314,15774,18569,19909,23627,21674,13009,30380,23744,20516
RPPos_174,2.625,670.2832,NA,NA,NA,NA,NA,0,0,0,14364,14613,7706,17921,26535,13488,10409,8882,3786,56892,20846,33134,140317,128809,69345,64922,9835,15811
RPPos_175,3.987,670.37152,NA,NA,NA,NA,NA,0,0,0,271808,264070,253436,133486,178113,195542,74284,95635,113682,480714,517077,439078,466066,495253,428368,375847,395138,386778
RPPos_176,2.634,672.27844,NA,in adduct group of RPPos_70,RPPos_70,18,335.635483545,0,0,0,660165,676540,663257,485601,606857,568066,303768,357773,303483,1249405,694774,679136,2429542,2359174,1372006,1322854,377336,607103
RPPos_177,4.183,676.25006,NA,in adduct group of RPPos_171,RPPos_171,8,653.260733545,0,0,0,72693,62591,33870,38842,64361,47758,20793,22941,21102,65799,42850,32442,262009,307667,187338,48209,21822,32745
RPPos_178,4.144,687.22968,NA,in adduct group of RPPos_74,RPPos_74,19,343.111523545,0,0,0,30461,44483,47478,45185,55079,41318,27152,28202,18591,162138,120326,131529,124980,129594,85549,113238,96413,89957
RPPos_179,2.408,692.80237,NA,NA,NA,NA,NA,0,0,0,13718,8110,7017,19549,24420,13618,8166,9159,2778,81449,51948,73363,102596,54110,5476,90415,52930,18481
RPPos_180,4.185,699.32581,NA,NA,NA,NA,NA,0,0,0,59028,58795,56485,34322,50935,43157,16089,17153,26059,65773,38014,23028,253375,327736,193827,45948,23946,34915
RPPos_181,4.198,702.24854,NA,in adduct group of RPPos_77,RPPos_77,20,350.620713545,0,0,0,46441,36896,50233,35373,48655,39477,16851,20408,16409,41496,41534,37092,16874,5305,18736,33080,48778,30827
RPPos_182,4.83,702.36011,NA,NA,NA,NA,NA,0,0,0,10105,7658,9991,9126,10695,11660,5734,7304,2474,41445,29733,27597,42909,27775,4323,28938,44356,15113
RPPos_183,2.378,716.26392,NA,NA,NA,NA,NA,0,0,0,2109,0,8297,1965,13430,6567,2747,1220,0,74839,61913,64463,32156,16914,1364,29659,38113,40283
RPPos_184,1.947,716.26416,NA,NA,NA,NA,NA,0,0,1590,36475,16963,25228,46733,51630,40717,37376,30180,14177,86506,57334,81042,43960,28942,9750,41496,186965,82357
RPPos_185,4.218,716.2644,NA,in adduct group of RPPos_82,RPPos_82,21,357.628613545,0,0,0,5793,4704,9171,12535,15581,8429,5348,7277,3183,72858,45197,45357,25738,1280,6154,69295,41899,32347
RPPos_186,2.356,718.27991,NA,in adduct group of RPPos_83,RPPos_83,9,358.636403545,0,0,0,366248,384139,369993,267325,373231,333883,159227,206989,159599,1239363,857893,987930,716887,411604,202407,765660,651812,749462
RPPos_187,3.958,728.22772,NA,NA,NA,NA,NA,0,0,0,37094,40769,34357,20786,40154,30158,16004,17318,13455,37293,55603,38832,36238,57333,53822,15612,19254,24296
RPPos_188,3.882,730.24384,NA,in adduct group of RPPos_85,RPPos_85,10,364.61845354499997,931,0,0,550026,544184,551075,413994,588087,485018,260330,322990,258141,1017250,814053,817249,787284,945980,931602,597269,597963,570586
RPPos_189,2.622,732.25873,NA,NA,NA,NA,NA,0,0,0,12720,16151,13571,16983,30473,33557,6742,10564,6402,56366,36123,69221,41885,38171,20213,58981,67202,60888
RPPos_190,2.361,740.26227,NA,in adduct group of RPPos_83,RPPos_83,9,358.636403545,0,0,0,5077,3705,5634,13478,19940,5676,1240,10249,4294,87007,59096,73205,37831,8151,2529,49398,43458,44537
RPPos_193,3.883,752.22559,NA,in adduct group of RPPos_85,RPPos_85,10,364.61845354499997,0,0,2150,53451,50813,65932,44769,61942,55985,22455,35238,28398,110741,96089,80155,87398,103094,97582,69771,58627,67640
RPPos_194,3.884,774.20844,NA,in adduct group of RPPos_85,RPPos_85,10,364.61845354499997,0,0,0,16006,7666,16662,10071,18905,15177,5379,8037,2730,44134,32894,23244,28859,27343,39505,19699,21055,18962
RPPos_195,1.667,775.263,NA,[M+H],RPPos_195,12,774.255723545,0,0,0,82304,64915,74465,52152,83968,67449,38160,48290,35572,188504,135719,130067,45029,11927,13225,216004,202418,175864
RPPos_196,4.315,779.99359,NA,NA,NA,NA,NA,0,0,0,10068,6133,7239,10018,14049,18469,8347,6698,4226,31721,17681,14641,28515,21141,14203,28471,11846,10212
RPPos_197,1.684,790.34784,NA,NA,NA,NA,NA,0,0,0,39859,31249,32089,33737,53988,39769,30554,23657,12243,231612,138878,169295,0,0,0,122336,116646,134627
RPPos_198,1.662,792.28967,NA,in adduct group of RPPos_195,RPPos_195,12,774.255723545,0,0,0,6591,8356,8828,14792,24089,20303,8651,15102,0,53653,39092,44814,10089,1749,0,59480,70615,59368
RPPos_199,1.664,797.24573,NA,in adduct group of RPPos_195,RPPos_195,12,774.255723545,0,0,0,2137,10563,7997,9089,12667,8593,5610,5895,5530,51148,30522,29273,9315,0,0,66877,63616,49813
RPPos_200,4.33,798.66644,NA,NA,NA,NA,NA,0,0,0,7134,1061,3028,8023,10052,6062,4607,5588,1316,26052,18885,15162,28362,20703,8477,23677,16872,12217
RPPos_201,4.331,799.00049,NA,NA,NA,NA,NA,0,0,0,5503,9625,12817,11076,11193,9433,5619,4433,8422,25528,15793,16343,34855,35176,20060,34197,17063,18113
