Assembly,Nucleotide Accesion,homA_location,homB_location,homC_location,homD_location,homE_location,gene_arrangement,Kingdom,Phylum,Class,Order,Family,Genus,Species,Biosample ID,Bioproject Accession,Geographic Location,Isolation Source,Isolation Source Standardized,Environmental Source Standardized,Latitude,Longitude,Notes
GCA_900109535.1,FOAQ01000003.1,885971-886624,884296-885990,881564-882613,880116-881567,886656-887027,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP10,SAMN03159355,PRJEB16822,missing,NA,unknown,NA,NA,NA,NA
GCA_900110135.1,FOCO01000026.1,42054-42773,40381-42057,37720-38733,36272-37723,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudorhodobacter,Pseudorhodobacter antarcticus,SAMN05216227,PRJEB16911,missing,missing,unknown,NA,NA,NA,NA
GCA_900110585.1,FOEG01000003.1,2288-3040,3037-4755,4766-5794,5800-7239,NA,homABCD,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Aquisalimonas,Aquisalimonas asiatica,SAMN04488052,PRJEB16949,missing,NA,unknown,NA,30.329215,119.435344,NA
GCA_900110705.1,FOEJ01000010.1,6857-7594,7591-9279,10938-11948,11945-13396,6493-6843,homDCBAE,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Loktanella,Loktanella sp. DSM 29012,SAMN05428995,PRJEB16974,missing,missing,unknown,NA,NA,NA,NA
GCA_900110785.1,FOEY01000002.1,885442-886095,883767-885461,881035-882084,879587-881038,886127-886498,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP19,SAMN03159354,PRJEB16966,missing,NA,unknown,NA,NA,NA,NA
GCA_900111095.1,FOGB01000009.1,196199-196948,194478-196199,190625-191653,191666-193111,188405-188785,homABDCE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea atlantica,SAMN03080615,PRJEB17012,Atlantic Ocean:Logatchev hydrothermal vent field at the Mid-Atlantic Ridge,NA,unknown,NA,NA,NA,NA
GCA_900111855.1,FOJR01000003.1,62432-63085,63066-64760,66443-67492,67489-68940,62029-62400,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP13,SAMN03159320,PRJEB17098,missing,NA,unknown,NA,NA,NA,NA
GCA_900112755.1,FOMW01000005.1,11648-12292,9948-11651,8476-9483,7010-8479,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter brevis,SAMN04488523,PRJEB17229,missing,NA,unknown,NA,NA,NA,NA
GCA_900113265.1,FOOS01000001.1,303251-303967,303964-305640,307300-308313,308310-309761,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Jannaschia,Jannaschia rubra,SAMN04488517,PRJEB17300,missing,NA,unknown,NA,NA,NA,NA
GCA_900113275.1,FOOU01000004.1,196632-197381,194868-196622,191067-192077,192092-193537,188949-189326,homABDCE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas,Neptunomonas qingdaonensis,SAMN05216175,PRJEB17302,missing,missing,unknown,NA,NA,NA,NA
GCA_900113345.1,FOOZ01000008.1,2138-2788,2785-4476,6195-7178,7257-8708,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter italicus,SAMN04488019,PRJEB17312,missing,NA,unknown,NA,NA,NA,NA
GCA_900113795.1,FOQR01000003.1,886073-886726,884398-886092,881666-882715,880218-881669,886758-887129,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP08,SAMN03159416,PRJEB17366,missing,NA,unknown,NA,NA,NA,NA
GCA_900114245.1,FOSK01000022.1,42089-42736,42737-44437,46090-47121,47121-48572,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Pseudovibrio,Pseudovibrio ascidiaceicola,SAMN04488518,PRJEB17418,missing,NA,unknown,NA,NA,NA,NA
GCA_900114415.1,FOSZ01000001.1,273718-274344,272042-273721,271068-272045,269617-271068,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia haliotis,SAMN04488036,PRJEB17441,missing,NA,unknown,NA,NA,NA,NA
GCA_900114815.1,FOUH01000003.1,886013-886666,884338-886032,881606-882655,880158-881609,886698-887069,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP05,SAMN03159476,PRJEB17484,missing,NA,unknown,NA,NA,NA,NA
GCA_900115165.1,FOVP01000003.1,63271-63921,64559-65608,65686-66642,66639-68021,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius lutimaris,SAMN04487859,PRJEB17149,missing,NA,unknown,NA,NA,NA,NA
GCA_900115495.1,FOWR01000023.1,11158-11877,11874-13607,15382-16371,16488-17936,17998-18408,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Enterovibrio norvegicus,SAMN03084138,PRJEB17269,Norway:Aquaculture Research Station of Austevoll,NA,unknown,NA,NA,NA,NA
GCA_900115555.1,FOWX01000004.1,13838-14584,12117-13838,8490-9479,9490-10932,6436-6807,homABDCE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas borbori,SAMN05216190,PRJEB17301,missing,missing,unknown,NA,NA,NA,NA
GCA_900115865.1,FOXY01000006.1,272315-273322,269937-271628,268643-269644,267195-268643,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Donghicola,Donghicola eburneus,SAMN05421764,PRJEB17141,missing,missing,unknown,NA,NA,NA,NA
GCA_900111945.1,FOYO01000001.1,946100-946693,944460-946103,943480-944463,941944-943386,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Litoreibacter,Litoreibacter janthinus,SAMN04488002,PRJEB17108,missing,NA,unknown,NA,NA,NA,NA
GCA_900116405.1,FPAQ01000009.1,27188-27955,25440-27191,22785-23792,21320-22762,27983-28369,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas saccharevitans,SAMN04487956,PRJEB17565,missing,NA,unknown,NA,NA,NA,NA
GCA_900116455.1,FPAW01000036.1,24552-25277,22879-24555,20201-21214,18753-20204,25294-25653,homDCBAE,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Sedimentitalea,Sedimentitalea nanhaiensis,SAMN05216236,PRJEB17570,missing,missing,unknown,NA,NA,NA,NA
GCA_900116505.1,FPBG01000003.1,62433-63086,63067-64761,66444-67493,67490-68941,62030-62401,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP25,SAMN03159492,PRJEB17563,missing,NA,unknown,NA,NA,NA,NA
GCA_900116725.1,FPBS01000019.1,50455-51084,51081-52766,52763-53740,53740-55188,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius crassostreae,SAMN04488527,PRJEB17594,missing,NA,unknown,NA,NA,NA,NA
GCA_900119575.1,FPJV01000003.1,886013-886666,884338-886032,881606-882655,880158-881609,886698-887069,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP09,SAMN03159479,PRJEB17894,missing,NA,unknown,NA,NA,NA,NA
GCA_900119635.1,FPKG01000003.1,62445-63098,63079-64773,66456-67505,67502-68953,62042-62413,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP14,SAMN03159345,PRJEB17895,missing,NA,unknown,NA,NA,NA,NA
GCA_900119675.1,FPKJ01000003.1,833482-834135,831807-833501,829075-830124,827627-829078,834167-834538,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NFPP16,SAMN03159327,PRJEB17897,missing,NA,unknown,NA,NA,NA,NA
GCA_900120035.1,FPLD01000091.1,123235-123966,121529-123238,118745-119734,117237-118700,116753-117154,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520415,PRJEB16014,Norway,NA,unknown,NA,62,10,lat lon derived from geographic location name
GCA_900119985.1,FPLE01000097.1,62883-63614,61177-62886,58393-59382,56885-58348,56401-56802,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520416,PRJEB16014,Norway,NA,unknown,NA,62,10,lat lon derived from geographic location name
GCA_900120015.1,FPLF01000104.1,98018-98749,96312-98021,93528-94517,92020-93483,91536-91937,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520417,PRJEB16014,Iceland,NA,unknown,NA,NA,NA,NA
GCA_900120065.1,FPLG01000105.1,99619-100350,97913-99622,95129-96118,93621-95084,93137-93538,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520406,PRJEB16014,Norway,NA,unknown,NA,62,10,lat lon derived from geographic location name
GCA_900120075.1,FPLJ01000069.1,120937-121668,119231-120940,116447-117436,114939-116402,114455-114856,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520411,PRJEB16014,United Kingdom,NA,unknown,NA,NA,NA,NA
GCA_900128925.1,FQUJ01000004.1,284628-285395,282849-284600,280215-281207,278617-280065,NA,homABCD,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Modicisalibacter,Modicisalibacter ilicicola,SAMN02745148,PRJEB18151,"Spain:Santa Pola, Mediterranean coast",NA,unknown,NA,NA,NA,NA
GCA_900129845.1,FQXB01000008.1,81992-82567,80310-81992,79339-80313,77894-79339,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cognatiyoonia,Cognatiyoonia sediminum,SAMN05444003,PRJEB18236,missing,missing,unknown,NA,NA,NA,NA
GCA_900141625.1,FQYJ01000006.1,19999-20628,18320-20002,17343-18320,15898-17343,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria lacuscaerulensis,SAMN05444404,PRJEB18277,"Iceland:Blue Lagoon, Iceland",missing,unknown,NA,63.879,-22.434,NA
GCA_900142625.1,FRBN01000003.1,79551-80201,80198-81889,83550-84545,84542-85993,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius marisflavi,SAMN05444414,PRJEB18372,missing,missing,unknown,NA,NA,NA,NA
GCA_900142665.1,FRBR01000001.1,844213-844869,842522-844216,839852-840847,838395-839846,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius pacificus,SAMN05444398,PRJEB18376,missing,missing,unknown,NA,NA,NA,NA
GCA_900142755.1,FRCA01000007.1,229668-230462,227881-229671,225132-226142,223681-225120,230521-230907,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas cupida,SAMN05660971,PRJEB18385,missing,missing,unknown,NA,NA,NA,NA
GCA_900142765.1,FRCB01000003.1,142194-142847,142844-144538,146204-147199,147205-148656,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius litoreus,SAMN05443432,PRJEB18386,missing,missing,unknown,NA,NA,NA,NA
GCA_900120145.1,FRDV01000133.1,99770-100501,98064-99773,95280-96269,93772-95235,93288-93689,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520410,PRJEB16014,Iceland,NA,unknown,NA,NA,NA,NA
GCA_900120025.1,FRDW01000061.1,120580-121311,118874-120583,116090-117079,114582-116045,114098-114499,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella viscosa,SAMEA4520407,PRJEB16014,Norway,NA,unknown,NA,62,10,lat lon derived from geographic location name
GCA_900155885.1,FTMB01000008.1,145439-145984,143748-145442,142756-143751,141300-142751,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. RU20A,SAMN05880582,PRJEB18857,missing,missing,unknown,NA,NA,NA,NA
GCA_900155945.1,FTMN01000002.1,346714-347451,344993-346702,341272-342270,342284-343726,339138-339515,homABDCE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri,SAMN05421647,PRJEB18844,missing,missing,unknown,NA,NA,NA,NA
GCA_900156535.1,FTNV01000001.1,1204339-1204980,1204977-1206668,1208339-1209352,1209414-1210865,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius nanhaiticus,SAMN05421666,PRJEB18908,missing,missing,unknown,NA,NA,NA,NA
GCA_900156595.1,FTNX01000001.1,164632-165282,165279-166982,168706-169686,169686-171134,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea,SAMN05421685,PRJEB18818,missing,missing,unknown,NA,NA,NA,NA
GCA_900156635.1,FTOE01000001.1,829940-830689,828200-829930,824522-825532,825546-826991,822429-822803,homABDCE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas,Neptunomonas antarctica,SAMN05421760,PRJEB18820,missing,missing,unknown,NA,NA,NA,NA
GCA_900156805.1,FTOQ01000005.1,180712-181446,181443-183122,184785-185798,185795-187240,180340-180693,homDCBAE,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseivivax,Roseivivax lentus,SAMN05421759,PRJEB18839,missing,missing,unknown,NA,NA,NA,NA
GCA_900163545.1,FUHW01000007.1,18233-19000,15523-17256,17253-18233,14052-15521,NA,homACBD,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter rhombi,SAMEA80377168,PRJEB19158,France,cheese,non-environmental,other,46,2,lat lon derived from geographic location name
GCA_900167155.1,FUXU01000065.1,14848-15555,13109-14842,10405-11394,8923-10371,8501-8911,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Enterovibrio nigricans,SAMN02745132,PRJEB19574,Mediterranean Sea:Spanish Mediterranean coast,NA,unknown,NA,NA,NA,NA
GCA_900172365.1,FWFJ01000013.1,6019-6669,4331-6022,1674-2669,226-1677,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius gaetbuli,SAMEA102342418,PRJEB19738,South Korea,NA,unknown,NA,35,123,NA
GCA_900172295.1,FWFL01000003.1,296683-297339,297336-299033,299082-300065,300062-301513,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius litorisediminis,SAMEA102326668,PRJEB19736,South Korea,NA,unknown,NA,35,127,NA
GCA_900172225.1,FWFO01000001.1,2227837-2228457,2228454-2230139,2230145-2231128,2231322-2232821,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Falsiruegeria,Falsiruegeria litorea,SAMEA103892645,PRJEB19729,Spain,NA,unknown,NA,39.28,0.19,NA
GCA_900172215.1,FWFP01000002.1,453125-453754,451443-453128,450469-451446,449024-450469,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria meonggei,SAMEA102343918,PRJEB19742,South Korea,NA,unknown,NA,35,123,NA
GCA_900172235.1,FWFQ01000021.1,5177-5806,5803-7491,7496-8473,8473-9963,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pseudoruegeria,Pseudoruegeria aquimaris,SAMEA102067918,PRJEB19730,South Korea,NA,unknown,NA,38.46,128.43,NA
GCA_900172255.1,FWFU01000001.1,282474-283130,283127-284821,286501-287496,287502-288953,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius halotolerans,SAMEA102125668,PRJEB19735,South Korea,NA,unknown,NA,40,135,NA
GCA_900172335.1,FWFX01000005.1,212746-213375,211061-212749,210079-211053,208628-210079,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius albus,SAMEA102067168,PRJEB19728,Spain,NA,unknown,NA,40.27,31.36,NA
GCA_900172285.1,FWXB01000008.1,144942-145592,145589-147286,147330-148316,148313-149764,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius aestuarii,SAMEA102070918,PRJEB19732,South Korea,NA,unknown,NA,35,123,NA
GCA_900177525.1,FXAD01000021.1,97080-97775,95383-97077,92764-93750,91308-92750,97804-98175,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. URMO17WK12:I5,SAMN02745903,PRJEB20442,missing,NA,unknown,NA,NA,NA,NA
GCA_900182615.1,FXTE01000007.1,78604-79233,79230-80918,80923-81897,81897-83339,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria faecimaris,SAMN06265380,PRJEB20677,missing,missing,unknown,NA,NA,NA,NA
GCA_900182765.1,FXTR01000008.1,30650-31597,28932-30650,27670-28803,31856-33310,NA,homCBAD,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus salinus,SAMN06265347,PRJEB20694,missing,missing,unknown,NA,NA,NA,NA
GCA_900182805.1,FXTT01000010.1,10527-11165,8848-10530,7871-8851,6420-7871,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium denhamense,SAMN06265374,PRJEB20691,missing,missing,unknown,NA,NA,NA,NA
GCA_900182745.1,FXTY01000002.1,620896-621534,619214-620899,618240-619217,616789-618240,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Shimia,Shimia sagamensis,SAMN06265373,PRJEB20689,missing,missing,unknown,NA,NA,NA,NA
GCA_900184145.1,FXWW01000001.1,1468007-1468654,1468658-1470364,1470637-1471617,1471617-1473065,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius halocynthiae,SAMN04488030,PRJEB20923,missing,NA,unknown,NA,NA,NA,NA
GCA_900184825.1,FXXP01000003.1,97418-98002,97999-99663,99656-100654,100654-102096,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pelagimonas,Pelagimonas phthalicica,SAMEA104098305,PRJEB21020,Japan,NA,unknown,NA,24.4,124.1,NA
GCA_900184815.1,FXXQ01000006.1,61655-62245,59964-61658,58944-59927,57496-58947,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Boseongicola,Boseongicola aestuarii,SAMEA104098235,PRJEB21017,South Korea,NA,unknown,NA,34,127,NA
GCA_900184945.1,FXYF01000026.1,21693-22427,20017-21696,17339-18352,15897-17342,22446-22799,homDCBAE,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Maliponia,Maliponia aquimaris,SAMEA104102235,PRJEB21023,South Korea,NA,unknown,NA,36.78,126.14,NA
GCA_900185035.1,FXYG01000001.1,1210931-1211560,1211557-1213146,1213239-1214216,1214216-1215661,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria arenilitoris,SAMEA104102142,PRJEB21021,South Korea,NA,unknown,NA,34.51,128.37,NA
GCA_900185055.1,FXYH01000036.1,698-1423,1420-3096,4757-5767,5764-7215,319-684,homDCBAE,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pelagimonas,Pelagimonas varians,SAMEA104102140,PRJEB21049,North Sea,NA,unknown,NA,54.42,6.48,NA
GCA_900185565.1,FYAH01000005.1,199154-199891,197460-199157,194767-195759,193286-194755,192840-193232,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium aquimaris,SAMEA104106936,PRJEB19610,Spain,NA,unknown,NA,NA,NA,NA
GCA_900185625.1,FYAJ01000003.1,276074-276811,276808-278505,280240-281232,281244-282713,282767-283159,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium andalusiense,SAMEA104113107,PRJEB19608,Spain,NA,unknown,NA,NA,NA,NA
GCA_000161775.1,GG704596.1,1152045-1152674,1152671-1154353,1154353-1155330,1155330-1156775,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria lacuscaerulensis,SAMN02436218,PRJNA37681,NA,"blue lagoon, iceland at 20 cm",environmental,other,NA,NA,NA
GCA_000148725.1,GL476320.1,1016836-1017486,1015136-1016839,1012136-1013164,1010688-1012136,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium sp. TrichSKD4,SAMN02436310,PRJNA46497,NA,NA,unknown,NA,NA,NA,NA
GCA_000219565.1,GL949755.1,233108-233875,231267-233111,228665-229654,227215-228654,233897-234280,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. TD01,SAMN02471291,PRJNA67453,"China: Xinjiang Province, Aydingkol Lake",NA,unknown,NA,NA,NA,NA
GCA_905175355.2,HG992743.1,822721-823452,820985-822724,818167-819153,816639-818099,816146-816544,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. B1ASS3,SAMEA7746098,PRJEB42241,Atlantic Ocean,NA,unknown,NA,-4.6,-37.3,NA
GCA_905175335.2,HG992752.1,835245-835976,833512-835245,830657-831646,829129-830589,828637-829035,homABCDE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. B1FIG11,SAMEA7746104,PRJEB42241,India,NA,unknown,NA,0,0,NA
GCA_009905395.1,JAAAKU010000004.1,165705-166400,164008-165702,161389-162375,159933-161375,166428-166799,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,SAMN13494100,PRJNA593853,USA: Lake Erie,lake water,environmental,freshwater,NA,NA,NA
GCA_009905675.1,JAAAKX010000107.1,18519-19232,16802-18517,14112-15098,12656-14098,19261-19653,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. ODNR1LW,SAMN13494103,PRJNA593853,USA: Lake Erie,lake water,environmental,freshwater,NA,NA,NA
GCA_009905435.1,JAAAMT010000027.1,38894-39589,37189-38892,34564-35550,33108-34550,39620-40009,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. R5(2019),SAMN13831444,PRJNA600793,China: Soil,soil,environmental,soil,NA,NA,NA
GCA_009908205.1,JAAARL010000005.1,308075-308728,306400-308094,303668-304717,302220-303671,308760-309119,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. Fl5BN2,SAMN13831441,PRJNA601118,France: Vosges mountain,runoff water,environmental,other,NA,NA,NA
GCA_009908285.1,JAAARM010000029.1,62939-63592,63573-65267,66950-67999,67996-69447,62548-62907,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. Fl4BN1,SAMN13831440,PRJNA601118,France: Vosges mountain,runoff water,environmental,other,NA,NA,NA
GCA_009908305.1,JAAARN010000010.1,87877-88530,86202-87896,83469-84518,82021-83472,88564-88923,homDCBAE,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. Fl4BN2,SAMN13831439,PRJNA601118,France: Vosges mountain,runoff water,environmental,other,NA,NA,NA
GCA_009908315.1,JAAATW010000004.1,12827-13414,13414-15078,15075-16085,16082-17533,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paragemmobacter,Paragemmobacter ruber,SAMN13841217,PRJNA601062,Taiwan,water,environmental,other,24,121,lat lon derived from geographic location name
GCA_009925085.1,JAABNR010000018.1,7037-7642,5382-7040,4396-5385,2948-4399,NA,homABCD,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Stagnihabitans,Stagnihabitans tardus,SAMN13870798,PRJNA601602,Taiwan,water,environmental,other,24,121,lat lon derived from geographic location name
GCA_011777125.1,JAABVX010000009.1,11290-11746,15434-15640,8100-9188,6739-8181,NA,homBACD,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,Gammaproteobacteria bacterium,SAMN13684204,PRJNA598416,India: Gulf of Kutch,pelagic sediment,environmental,sediment,22.6,69.5,NA
